arm,alpha,eta,N_streams,DetRate,DetRate_CI_low,DetRate_CI_high,ADD,SEM
CUSUM,0.10000000000000001,0.02,2000,0.097000000000000003,0.084791316151077489,0.11075382395761238,1222.3711340206185,48.921506274111422
CUSUM,0.10000000000000001,0.040000000000000001,2000,0.26500000000000001,0.24612187863881452,0.28477913358337437,1210.4698113207546,28.67136907841747
CUSUM,0.10000000000000001,0.059999999999999998,2000,0.625,0.60356212907995666,0.64595860909973002,1081.6568,19.126085722149419
CUSUM,0.10000000000000001,0.080000000000000002,2000,0.88049999999999995,0.86554933595117045,0.8939917910677958,788.30323679727428,14.035651927628601
CUSUM,0.10000000000000001,0.10000000000000001,2000,0.94199999999999995,0.93088340165738614,0.95142192854598617,466.97186836518046,8.7026777523828187
CUSUM,0.10000000000000001,0.12,2000,0.9425,0.93142372618951663,0.95187968696657443,281.32095490716182,4.7841886161083291
CUSUM,0.10000000000000001,0.14000000000000001,2000,0.9425,0.93142372618951663,0.95187968696657443,188.54111405835545,2.6949954081778489
CUSUM,0.10000000000000001,0.16,2000,0.9425,0.93142372618951663,0.95187968696657443,138.20159151193633,1.7343114981613164
CUSUM,0.10000000000000001,0.17999999999999999,2000,0.9425,0.93142372618951663,0.95187968696657443,109.76127320954907,1.2584275158104916
CUSUM,0.10000000000000001,0.20000000000000001,2000,0.9425,0.93142372618951663,0.95187968696657443,90.140053050397881,0.95196526284281624
CUSUM,0.070000000000000007,0.02,2000,0.076499999999999999,0.065645927247587443,0.088977811799633794,1278.9869281045751,55.271935774578559
CUSUM,0.070000000000000007,0.040000000000000001,2000,0.23000000000000001,0.21208456215584898,0.24895064337602757,1227.4000000000001,30.83914762870447
CUSUM,0.070000000000000007,0.059999999999999998,2000,0.57799999999999996,0.55622592722367159,0.59947501340045295,1124.8728373702422,19.939791602200327
CUSUM,0.070000000000000007,0.080000000000000002,2000,0.875,0.85978304349725476,0.88877917104180548,847.75657142857142,14.571829331177202
CUSUM,0.070000000000000007,0.10000000000000001,2000,0.95750000000000002,0.94774708144775155,0.96549882028990197,501.98537859007831,9.1887988619579719
CUSUM,0.070000000000000007,0.12,2000,0.95899999999999996,0.94939364134508408,0.96684650925072546,297.52815432742437,4.8923830428904456
CUSUM,0.070000000000000007,0.14000000000000001,2000,0.95899999999999996,0.94939364134508408,0.96684650925072546,198.67987486965589,2.7798690124116376
CUSUM,0.070000000000000007,0.16,2000,0.95899999999999996,0.94939364134508408,0.96684650925072546,146.05109489051094,1.7603709154337308
CUSUM,0.070000000000000007,0.17999999999999999,2000,0.95899999999999996,0.94939364134508408,0.96684650925072546,116.0177267987487,1.2924688757083036
CUSUM,0.070000000000000007,0.20000000000000001,2000,0.95899999999999996,0.94939364134508408,0.96684650925072546,94.908759124087595,0.97320536745452269
CUSUM,0.050000000000000003,0.02,2000,0.057000000000000002,0.047662768878229574,0.068035735012960508,1339.921052631579,64.662021309309594
CUSUM,0.050000000000000003,0.040000000000000001,2000,0.20000000000000001,0.18305203450854435,0.2180981938602074,1240.0825,33.318986917887749
CUSUM,0.050000000000000003,0.059999999999999998,2000,0.53800000000000003,0.51609829719805422,0.55975600720857066,1150.1040892193309,20.532171563597533
CUSUM,0.050000000000000003,0.080000000000000002,2000,0.87,0.85454887563586091,0.88403250937601185,892.42183908045979,14.855783159825474
CUSUM,0.050000000000000003,0.10000000000000001,2000,0.97099999999999997,0.96269454307718949,0.97749959838387002,532.85118434603498,9.5451159479157646
CUSUM,0.050000000000000003,0.12,2000,0.97250000000000003,0.964376888484893,0.97881150183432297,311.59794344473005,5.104367321106384
CUSUM,0.050000000000000003,0.14000000000000001,2000,0.97250000000000003,0.964376888484893,0.97881150183432297,207.52442159383034,2.8548286950047386
CUSUM,0.050000000000000003,0.16,2000,0.97250000000000003,0.964376888484893,0.97881150183432297,152.44678663239074,1.7919270360717205
CUSUM,0.050000000000000003,0.17999999999999999,2000,0.97250000000000003,0.964376888484893,0.97881150183432297,120.28329048843187,1.3000596433037084
CUSUM,0.050000000000000003,0.20000000000000001,2000,0.97250000000000003,0.964376888484893,0.97881150183432297,98.921850899742935,0.98753769581354289
CUSUM,0.035000000000000003,0.02,2000,0.044499999999999998,0.036302665128406818,0.054443764944814586,1337.5955056179776,72.439729322523334
CUSUM,0.035000000000000003,0.040000000000000001,2000,0.16900000000000001,0.15321410271973138,0.18605498258045802,1259.292899408284,36.300484875889744
CUSUM,0.035000000000000003,0.059999999999999998,2000,0.48999999999999999,0.46813149167646367,0.51190684926916119,1177.0581632653061,21.399673217889546
CUSUM,0.035000000000000003,0.080000000000000002,2000,0.85199999999999998,0.83576282968253535,0.86688756903146247,933.34859154929575,15.335258805463106
CUSUM,0.035000000000000003,0.10000000000000001,2000,0.97850000000000004,0.97116616626091556,0.98399921949092539,566.88298415942768,9.8598747468464474
CUSUM,0.035000000000000003,0.12,2000,0.98150000000000004,0.97460523328226334,0.98654865018589011,329.62710137544576,5.317109405144981
CUSUM,0.035000000000000003,0.14000000000000001,2000,0.98150000000000004,0.97460523328226334,0.98654865018589011,218.65257259296993,2.9874921229767217
CUSUM,0.035000000000000003,0.16,2000,0.98150000000000004,0.97460523328226334,0.98654865018589011,160.13295975547632,1.8800119336961638
CUSUM,0.035000000000000003,0.17999999999999999,2000,0.98150000000000004,0.97460523328226334,0.98654865018589011,125.8380030565461,1.3373153300316936
CUSUM,0.035000000000000003,0.20000000000000001,2000,0.98150000000000004,0.97460523328226334,0.98654865018589011,103.02292409577178,1.0026850772677969
CUSUM,0.025000000000000001,0.02,2000,0.033000000000000002,0.026022752700289677,0.041767769460400554,1336.7424242424242,83.052657659243934
CUSUM,0.025000000000000001,0.040000000000000001,2000,0.13500000000000001,0.1207213108764002,0.15067813363891441,1276.0407407407408,41.003552750460948
CUSUM,0.025000000000000001,0.059999999999999998,2000,0.4355,0.41391416513447038,0.45733313396481118,1199.5717566016074,22.69111146614598
CUSUM,0.025000000000000001,0.080000000000000002,2000,0.81499999999999995,0.79738415013112596,0.83140811008168447,984.32392638036811,15.938766948274553
CUSUM,0.025000000000000001,0.10000000000000001,2000,0.97999999999999998,0.97288136081126253,0.98527827379873445,613.42653061224485,10.599269434832189
CUSUM,0.025000000000000001,0.12,2000,0.98650000000000004,0.98042920699300018,0.99070550600234075,348.99898631525593,5.5136110304019157
CUSUM,0.025000000000000001,0.14000000000000001,2000,0.98650000000000004,0.98042920699300018,0.99070550600234075,230.04612265585402,3.1194482827225616
CUSUM,0.025000000000000001,0.16,2000,0.98650000000000004,0.98042920699300018,0.99070550600234075,167.55195134313229,1.9341693251660188
CUSUM,0.025000000000000001,0.17999999999999999,2000,0.98650000000000004,0.98042920699300018,0.99070550600234075,131.41155600608212,1.3884219261471191
CUSUM,0.025000000000000001,0.20000000000000001,2000,0.98650000000000004,0.98042920699300018,0.99070550600234075,107.2524075012671,1.0318940141466879
CUSUM,0.014999999999999999,0.02,2000,0.02,0.014721726201265444,0.027118639188737373,1263.5999999999999,98.805204822418133
CUSUM,0.014999999999999999,0.040000000000000001,2000,0.10349999999999999,0.090901356687796378,0.11761886180623717,1333.7777777777778,45.182131411631516
CUSUM,0.014999999999999999,0.059999999999999998,2000,0.36899999999999999,0.34812232726921355,0.39037993911847457,1225.0840108401085,24.49402149542583
CUSUM,0.014999999999999999,0.080000000000000002,2000,0.76700000000000002,0.74797168465398811,0.78500461209782291,1028.638852672751,16.368855080582811
CUSUM,0.014999999999999999,0.10000000000000001,2000,0.97950000000000004,0.97230871052102708,0.98485284113625138,673.37161817253696,11.376963199443029
CUSUM,0.014999999999999999,0.12,2000,0.99150000000000005,0.98642931026221392,0.9946862322603145,380.17347453353506,6.0433902272059266
CUSUM,0.014999999999999999,0.14000000000000001,2000,0.99150000000000005,0.98642931026221392,0.9946862322603145,243.31971759959657,3.2329817604620494
CUSUM,0.014999999999999999,0.16,2000,0.99150000000000005,0.98642931026221392,0.9946862322603145,177.42309631870901,1.9987051707911712
CUSUM,0.014999999999999999,0.17999999999999999,2000,0.99150000000000005,0.98642931026221392,0.9946862322603145,138.96671709531014,1.4074718232034171
CUSUM,0.014999999999999999,0.20000000000000001,2000,0.99150000000000005,0.98642931026221392,0.9946862322603145,113.21028744326777,1.0410577036461346
CUSUM,0.01,0.02,2000,0.016500000000000001,0.011772823607253371,0.023080961113718216,1253.2727272727273,112.16023295378999
CUSUM,0.01,0.040000000000000001,2000,0.083000000000000004,0.071693730713001919,0.095905086719563021,1340.7048192771085,49.780774495461586
CUSUM,0.01,0.059999999999999998,2000,0.32650000000000001,0.30629812422609665,0.34736709118049808,1252.1301684532925,26.316466504943456
CUSUM,0.01,0.080000000000000002,2000,0.72699999999999998,0.70705412388184152,0.74607553665246962,1058.1176066024759,16.8751753961254
CUSUM,0.01,0.10000000000000001,2000,0.97750000000000004,0.97002709533040388,0.98314212451599958,712.97493606138107,11.878804875268958
CUSUM,0.01,0.12,2000,0.99350000000000005,0.98891047082747752,0.99619740350592589,396.30246602918976,6.2800455528444505
CUSUM,0.01,0.14000000000000001,2000,0.99350000000000005,0.98891047082747752,0.99619740350592589,254.31655762455964,3.3232081846851558
CUSUM,0.01,0.16,2000,0.99350000000000005,0.98891047082747752,0.99619740350592589,185.3663814796175,2.0759960515633789
CUSUM,0.01,0.17999999999999999,2000,0.99350000000000005,0.98891047082747752,0.99619740350592589,144.49672873678912,1.4231061523087281
CUSUM,0.01,0.20000000000000001,2000,0.99350000000000005,0.98891047082747752,0.99619740350592589,118.03019627579265,1.054781673203764
MIX,0.10000000000000001,0.02,2000,0.22750000000000001,0.20965987989545992,0.24638491087282288,1472.868131868132,30.016442307194293
MIX,0.10000000000000001,0.040000000000000001,2000,0.78649999999999998,0.76800061486405602,0.80390091704378597,1250.9421487603306,14.474785506525601
MIX,0.10000000000000001,0.059999999999999998,2000,0.95299999999999996,0.94282455752835337,0.96143859763483142,803.47219307450155,9.4340722994331827
MIX,0.10000000000000001,0.080000000000000002,2000,0.95550000000000002,0.94555623505518538,0.96369733487159315,511.91627420198847,5.3848784605703734
MIX,0.10000000000000001,0.10000000000000001,2000,0.95550000000000002,0.94555623505518538,0.96369733487159315,373.46624803767662,3.5042477616433589
MIX,0.10000000000000001,0.12,2000,0.95550000000000002,0.94555623505518538,0.96369733487159315,292.60387231815804,2.5135485146862986
MIX,0.10000000000000001,0.14000000000000001,2000,0.95550000000000002,0.94555623505518538,0.96369733487159315,240.72736787022501,1.9450839429955566
MIX,0.10000000000000001,0.16,2000,0.95550000000000002,0.94555623505518538,0.96369733487159315,205.94034536891681,1.6543726634983238
MIX,0.10000000000000001,0.17999999999999999,2000,0.95550000000000002,0.94555623505518538,0.96369733487159315,179.0204081632653,1.440501819115469
MIX,0.10000000000000001,0.20000000000000001,2000,0.95550000000000002,0.94555623505518538,0.96369733487159315,157.51439037153324,1.2665052771085226
MIX,0.070000000000000007,0.02,2000,0.187,0.17051756940286192,0.20468250219520237,1510.1951871657755,32.667894076267842
MIX,0.070000000000000007,0.040000000000000001,2000,0.76449999999999996,0.74540795183375619,0.78257793015446087,1311.0274689339437,14.574693488671871
MIX,0.070000000000000007,0.059999999999999998,2000,0.96550000000000002,0.95656692312887515,0.97264830585227835,857.11289487312274,9.7273044593715063
MIX,0.070000000000000007,0.080000000000000002,2000,0.96850000000000003,0.95990176928184046,0.97530195741562553,544.63345379452767,5.6355274925240684
MIX,0.070000000000000007,0.10000000000000001,2000,0.96850000000000003,0.95990176928184046,0.97530195741562553,393.0614352090862,3.5837092842242542
MIX,0.070000000000000007,0.12,2000,0.96850000000000003,0.95990176928184046,0.97530195741562553,306.34279814145589,2.5728928486520752
MIX,0.070000000000000007,0.14000000000000001,2000,0.96850000000000003,0.95990176928184046,0.97530195741562553,251.75993804852865,1.9840496294444026
MIX,0.070000000000000007,0.16,2000,0.96850000000000003,0.95990176928184046,0.97530195741562553,214.49870934434693,1.6736910588474407
MIX,0.070000000000000007,0.17999999999999999,2000,0.96850000000000003,0.95990176928184046,0.97530195741562553,186.18998451213216,1.4500622430574328
MIX,0.070000000000000007,0.20000000000000001,2000,0.96850000000000003,0.95990176928184046,0.97530195741562553,163.82447083118225,1.2752819347078792
MIX,0.050000000000000003,0.02,2000,0.1615,0.14602368167570329,0.17827415933370488,1551.8018575851393,34.58336947642951
MIX,0.050000000000000003,0.040000000000000001,2000,0.73850000000000005,0.71879635848081802,0.75728920996602433,1369.4421123899797,14.863390204624841
MIX,0.050000000000000003,0.059999999999999998,2000,0.97150000000000003,0.96325474046830761,0.97793748394547086,899.39114770972719,9.9209363063313365
MIX,0.050000000000000003,0.080000000000000002,2000,0.97599999999999998,0.96832452769154154,0.98185044329670546,574.79303278688519,5.7936056788164541
MIX,0.050000000000000003,0.10000000000000001,2000,0.97599999999999998,0.96832452769154154,0.98185044329670546,410.40266393442624,3.6591421176848629
MIX,0.050000000000000003,0.12,2000,0.97599999999999998,0.96832452769154154,0.98185044329670546,319.8027663934426,2.6451125678694494
