arm,alpha,stopping_protocol,guarantee_type,threshold,N_streams,FPR,CI_low,CI_high,bound_target,bound_respected,binom_p_one_sided
CUSUM,0.10000000000000001,nominal,fixed_horizon,0.10000000000000001,20000,0.10055,0.096458547689650814,0.10479486991557116,0.10000000000000001,FPR~alpha at calibration point,0.40112557950541661
CUSUM,0.10000000000000001,extended,fixed_horizon,0.10000000000000001,20000,0.00025000000000000001,0.00010678963454394949,0.00058515040353262376,0.10000000000000001,True,1
CUSUM,0.10000000000000001,peeking,fixed_horizon,0.10000000000000001,20000,0.34905000000000003,0.34247337360398578,0.35568460208135222,0.10000000000000001,False,0
CUSUM,0.070000000000000007,nominal,fixed_horizon,0.070000000000000007,20000,0.070499999999999993,0.067034116819577494,0.074130842152616366,0.070000000000000007,FPR~alpha at calibration point,0.39474497112014356
CUSUM,0.070000000000000007,extended,fixed_horizon,0.070000000000000007,20000,0.0001,2.7424035272726838e-05,0.0003645736136206778,0.070000000000000007,True,1
CUSUM,0.070000000000000007,peeking,fixed_horizon,0.070000000000000007,20000,0.25850000000000001,0.25247915411792793,0.2646135992971706,0.070000000000000007,False,0
CUSUM,0.050000000000000003,nominal,fixed_horizon,0.050000000000000003,20000,0.053449999999999998,0.050417572723548507,0.056653934678158532,0.050000000000000003,FPR~alpha at calibration point,0.013766619519390831
CUSUM,0.050000000000000003,extended,fixed_horizon,0.050000000000000003,20000,0,0,0.00019203605610462553,0.050000000000000003,True,1
CUSUM,0.050000000000000003,peeking,fixed_horizon,0.050000000000000003,20000,0.1988,0.19332696681786141,0.20438871570233599,0.050000000000000003,False,0
CUSUM,0.035000000000000003,nominal,fixed_horizon,0.035000000000000003,20000,0.039050000000000001,0.03645262860052563,0.041824409439597227,0.035000000000000003,FPR~alpha at calibration point,0.0011497944356420116
CUSUM,0.035000000000000003,extended,fixed_horizon,0.035000000000000003,20000,0,0,0.00019203605610462553,0.035000000000000003,True,1
CUSUM,0.035000000000000003,peeking,fixed_horizon,0.035000000000000003,20000,0.1482,0.14334347728930244,0.15319163927977272,0.035000000000000003,False,0
CUSUM,0.025000000000000001,nominal,fixed_horizon,0.025000000000000001,20000,0.0275,0.025322698790526222,0.029858775282492641,0.025000000000000001,FPR~alpha at calibration point,0.013402800753891596
CUSUM,0.025000000000000001,extended,fixed_horizon,0.025000000000000001,20000,0,0,0.00019203605610462553,0.025000000000000001,True,1
CUSUM,0.025000000000000001,peeking,fixed_horizon,0.025000000000000001,20000,0.1051,0.10092524587308975,0.10942642420402167,0.025000000000000001,False,0
CUSUM,0.014999999999999999,nominal,fixed_horizon,0.014999999999999999,20000,0.016400000000000001,0.014730380087505717,0.018255357185958672,0.014999999999999999,FPR~alpha at calibration point,0.056388736323432345
CUSUM,0.014999999999999999,extended,fixed_horizon,0.014999999999999999,20000,0,0,0.00019203605610462553,0.014999999999999999,True,1
CUSUM,0.014999999999999999,peeking,fixed_horizon,0.014999999999999999,20000,0.064549999999999996,0.061227339234777391,0.068039904966484113,0.014999999999999999,False,0
CUSUM,0.01,nominal,fixed_horizon,0.01,20000,0.01125,0.0098793063870207323,0.012808408857821536,0.01,FPR~alpha at calibration point,0.042805316195993016
CUSUM,0.01,extended,fixed_horizon,0.01,20000,0,0,0.00019203605610462553,0.01,True,1
CUSUM,0.01,peeking,fixed_horizon,0.01,20000,0.044650000000000002,0.041874017542767476,0.047600869693527011,0.01,False,3.8636769324137795e-287
MIX,0.10000000000000001,nominal,ville_anytime,0.10000000000000001,20000,0.083199999999999996,0.079451922722338864,0.08710815853402995,0.10000000000000001,True,0.99999999999999978
MIX,0.10000000000000001,extended,ville_anytime,0.10000000000000001,20000,0,0,0.00019203605610462553,0.10000000000000001,True,1
MIX,0.10000000000000001,peeking,ville_anytime,0.10000000000000001,20000,0.094799999999999995,0.090817611381248275,0.098938014638618899,0.10000000000000001,True,0.99342019879486587
MIX,0.070000000000000007,nominal,ville_anytime,0.070000000000000007,20000,0.058700000000000002,0.055526217994886488,0.062043273028231462,0.070000000000000007,True,0.99999999994082422
MIX,0.070000000000000007,extended,ville_anytime,0.070000000000000007,20000,0,0,0.00019203605610462553,0.070000000000000007,True,1
MIX,0.070000000000000007,peeking,ville_anytime,0.070000000000000007,20000,0.067650000000000002,0.064251751833962922,0.071214301743750763,0.070000000000000007,True,0.90648002855361764
MIX,0.050000000000000003,nominal,ville_anytime,0.050000000000000003,20000,0.042450000000000002,0.039742584076003895,0.045333148118937447,0.050000000000000003,True,0.99999976244496513
MIX,0.050000000000000003,extended,ville_anytime,0.050000000000000003,20000,0,0,0.00019203605610462553,0.050000000000000003,True,1
MIX,0.050000000000000003,peeking,ville_anytime,0.050000000000000003,20000,0.049099999999999998,0.046191008049740606,0.052182170065654537,0.050000000000000003,True,0.72478044799549124
MIX,0.035000000000000003,nominal,ville_anytime,0.035000000000000003,20000,0.028549999999999999,0.02633092569335942,0.030950145103941621,0.035000000000000003,True,0.99999986067598656
MIX,0.035000000000000003,extended,ville_anytime,0.035000000000000003,20000,0,0,0.00019203605610462553,0.035000000000000003,True,1
