Gamma,detector,FPR,CI_low,CI_high
1.0,CUSUM,0.0485,0.03991995050443902,0.05881120668882416
1.0,ADWIN,0.0055,0.003073865015608807,0.009822164291298487
11.58,CUSUM,0.0485,0.03991995050443902,0.05881120668882416
11.58,ADWIN,0.0055,0.003073865015608807,0.009822164291298487
50.0,CUSUM,0.049,0.040373396150675284,0.0593558439249874
50.0,ADWIN,0.006,0.0034355600294584893,0.01045855215984829
200.0,CUSUM,0.0485,0.03991995050443902,0.05881120668882416
200.0,ADWIN,0.006,0.0034355600294584893,0.01045855215984829
