nu,f0_hat,lambda_Eco,lambda_Oracle,lambda_ML,ADD_Eco_L1,ADD_Oracle,ADD_Concept,ratio,ratio_oracle,ratio_pred
3.0,0.6366197723675815,34.1806533203125,31.25096875,7.8134921875,133.13768844221104,120.9655,54.222,0.4072625913400568,0.448243507446338,0.6168502750680847
4.0,0.5303300858899107,23.4384765625,22.706055419921874,9.034194091796873,90.713,87.09,70.5955,0.7782291402555312,0.810603972901596,0.8888888888888887
4.5,0.5065322136413911,20.997072753906252,20.02051123046875,9.27833447265625,80.881,76.402,74.5685,0.9219532399451046,0.9760019371220648,0.9743744073158122
5.0,0.4900701292638151,20.02051123046875,19.288090087890627,9.522474853515625,76.789,72.795,78.537,1.0227636770891664,1.0788790438903773,1.0409348391773936
7.0,0.4555280277869933,18.799809326171875,18.311528564453127,10.132825805664062,71.878,69.1755,88.9025,1.236852722668967,1.2851732188419311,1.2047856934923535
30.0,0.409518217444174,17.823247802734375,17.579107421875,10.743176757812499,68.242,65.8955,101.6735,1.4898962515752763,1.5429505808439121,1.4907113440564062
