statistic,block,n_cells,n_trajectories,n_observations,columns_bit_identical,rho_bar,rho_bar_numeric,rho_min_numeric,rho_max_numeric,design_effect,n_eff,pooled_rate,se_naive,se_deff,se_inflation
lb_reject,ORACLE,7,10000,70000,True,1,0.99999999999996159,0.99999999999989897,1,7,10000,0.049200000000000001,0.00081748184776701393,0.0021628536705010815,2.6457513110645912
lb_reject,NAIVE,7,10000,70000,False,0.21270292259522247,0.21270292259522247,-0.0097646424433674491,0.63503073999060555,2.2762175355713348,30752.772485969745,0.51782857142857142,0.0018886205927714102,0.0028493880797520591,1.5087138680251253
lb_reject,OLS,28,10000,280000,False,0.64642992111657349,0.64642992111657349,0.49232989875133804,0.94876021430658997,18.453607870147483,15173.184667750405,0.051046428571428569,0.00041593565222421212,0.0017867623464615156,4.2957662727559427
lb_reject,ALL,42,10000,420000,False,0.50860698923067893,0.50860698923067893,-0.0097646424433654629,1,21.852886558457836,19219.42892425098,0.12853571428571428,0.00051643070903576197,0.0024141623070299688,4.674707109376782
fpr_concept,ORACLE,7,10000,70000,True,1,0.99999999999998324,0.99999999999991207,1,7,10000,0.0516,0.00083612575950887057,0.0022121808244354711,2.6457513110645907
fpr_concept,NAIVE,7,10000,70000,False,0.60151910131774411,0.60151910131774411,0.36140481102105287,0.80618912573803592,4.6091146079064647,15187.298636471776,0.1187,0.0012224700405326914,0.0026245024234771591,2.1468848613529472
fpr_concept,OLS,28,10000,280000,False,0.65786392180650066,0.65786392180650066,0.44452074488102489,0.98831582557163367,18.762325888775518,14923.522896887151,0.053132142857142857,0.00042388137766424626,0.0018360634052147964,4.3315500561318139
fpr_concept,ALL,42,10000,420000,False,0.60845008852672655,0.60845008852672655,0.33413993618679855,0.99999999999999989,25.946453629595787,16187.183265805836,0.063804761904761906,0.00037712481912188019,0.0019209856394008817,5.0937661537997387
