phi,n_ols,eta_rmse_over_sigma,eta_se,eta_ci_low,eta_ci_high,mean_phi_hat,sd_phi_hat,bias_phi_hat,bias_phi_hat_se
0,125,0.11477257822145909,0.00036912576957625265,0.11404909171308963,0.11549606472982854,5.6073927473292648e-05,0.10140438260419694,5.6073927473292648e-05,0.00015873649418933318
0,250,0.087363532155617332,0.00034922087177584544,0.086679059246936668,0.088048005064297996,0.00011861741508473138,0.07613735251242254,0.00011861741508473138,0.0001713974245720733
0,500,0.065818881661064005,0.00032231689053468973,0.065187140555616016,0.066450622766511994,0.00020919344948752564,0.056583681020073516,0.00020919344948752564,0.00018699025800954827
0,1000,0.048872335174130373,0.00029006866010231698,0.048303800600329828,0.049440869747930917,0.00033802213960729859,0.040647180206287742,0.00033802213960729859,0.000202935041150958
0.02,125,0.11477603021466826,0.00036881773201486801,0.11405314745991911,0.1154989129694174,0.019631357449364659,0.10138648827011626,-0.00036864255063534176,0.00015878588793681093
0.02,250,0.087367389278852875,0.00034882995327248833,0.086683682570438791,0.088051095987266959,0.019866849711017376,0.0761259380330018,-0.00013315028898262457,0.000171456817465198
0.02,500,0.065825122580728257,0.00032183150660352363,0.065194332827785348,0.066455912333671166,0.02005659220043212,0.056576043264258746,5.659220043211996e-05,0.00018704252225263548
0.02,1000,0.048876715495076953,0.00028952405044199383,0.048309248356210643,0.049444182633943262,0.020243763989568366,0.040639139939292288,0.00024376398956836576,0.00020296932428661839
0.050000000000000003,125,0.1147830763094725,0.00036835375096867557,0.11406110295757389,0.11550504966137111,0.04899428720491425,0.10128574595221705,-0.0010057127950857531,0.0001587415481946414
0.050000000000000003,250,0.087373405826214237,0.00034824379389522943,0.086690847990179593,0.088055963662248882,0.049489002023249191,0.076051323354799999,-0.00051099797675081132,0.00017141389412868465
0.050000000000000003,500,0.065833970110347889,0.0003210971165457771,0.065204619761918173,0.066463320458777606,0.049827327920357718,0.056521030321166121,-0.00017267207964228454,0.00018697389139618668
0.050000000000000003,1000,0.04888269074808297,0.00028869863355311448,0.048316841426318868,0.049448540069847072,0.050101863480884877,0.040595496601349292,0.00010186348088487424,0.00020285820534823412
0.074999999999999997,125,0.1147906913507904,0.00036796704372147319,0.11406947594509631,0.11551190675648448,0.073463523754341481,0.10113386169239549,-0.0015364762456585163,0.0001585951728408837
0.074999999999999997,250,0.087378639457575305,0.0003477576424925871,0.086697034478289831,0.08806024443686078,0.074174033405181264,0.075936262603456137,-0.00082596659481873336,0.00017125611012324923
0.074999999999999997,500,0.065840863722742476,0.00032048255034244265,0.065212717924071295,0.066469009521413658,0.074636011079038028,0.056435128131600711,-0.000363988920961969,0.00018678096214568934
0.074999999999999997,1000,0.04888710780799943,0.00028800655342971931,0.04832261496327718,0.049451600652721681,0.074983198843490195,0.040530120713434217,-1.6801156509801962e-05,0.00020261570460224307
0.10000000000000001,125,0.11479992141543453,0.00036758231631586167,0.11407946007545544,0.11552038275541363,0.097932998606969496,0.10091992166010852,-0.0020670013930305098,0.00015834833349160092
0.10000000000000001,250,0.087384076669633826,0.00034727600023527511,0.086703415709172685,0.088064737630094966,0.098859059730241436,0.075772862396404919,-0.0011409402697585697,0.00017098625299951617
0.10000000000000001,500,0.065847306337729505,0.00031986923233822963,0.065220362642346569,0.066474250033112442,0.099444521237101235,0.056312612344566255,-0.00055547876289877007,0.00018646347972495265
0.10000000000000001,1000,0.048890982103206408,0.00028731457775592112,0.048327845530804804,0.049454118675608012,0.099864210956157148,0.040438271559015804,-0.00013578904384285717,0.00020223578976616522
0.125,125,0.11481079657257971,0.00036720183581302426,0.11409108097438618,0.11553051217077324,0.12240282809361056,0.1006435295624518,-0.002597171906389445,0.00015799995798764925
0.125,250,0.087389718089288318,0.00034680146161046371,0.086709987224531812,0.088069448954044824,0.12354415867019347,0.075560783158228589,-0.0014558413298065287,0.00017060306790831248
0.125,500,0.06585327783773913,0.00031926097026711945,0.06522752633601557,0.066479029339462689,0.12425292056502545,0.056153227672201843,-0.00074707943497455409,0.00018602014153724336
0.125,1000,0.048894271589951417,0.00028662686891390492,0.048332482926880166,0.049456060253022668,0.12474494881983829,0.040319801104341434,-0.00025505118016171113,0.00020171713455775515
0.14999999999999999,125,0.11482335030427646,0.00036682820867107101,0.11410436701528116,0.11554233359327175,0.14687313225156165,0.10030417481395708,-0.0031268677484383445,0.00015754882900151143
0.14999999999999999,250,0.087395563349124933,0.00034633693032460141,0.086716742965688709,0.088074383732561157,0.14822940974689833,0.07529959556190792,-0.0017705902531016671,0.00017010512928638535
0.14999999999999999,500,0.065858754359927441,0.00031866195872306456,0.065234176920830236,0.066483331799024645,0.14906127169876121,0.055956649170430715,-0.0009387283012387837,0.00018544943516124159
0.14999999999999999,1000,0.048896926252271967,0.00028594796627863208,0.048336468238365848,0.049457384266178087,0.14962546078129918,0.040174511122827453,-0.00037453921870081452,0.0002010581673270342
