dgp_arm,phi,n_trajectories,innovation_law,alpha,beta,persistence,e_z4,moment_product,isolates,eta_exponent,eta_exponent_se,eta_exponent_ci_low,eta_exponent_ci_high,sd_phi_hat_exponent,sd_phi_hat_exponent_se,sd_phi_hat_exponent_ci_low,sd_phi_hat_exponent_ci_high,eta_n125,eta_n250,eta_n500,eta_n1000
t7_garch,0,2000,standardized_t7,0.10580000000000001,0.87419999999999998,0.97999999999999998,5,1.0051745599999999,the campaign's own DGP at the reduced trajectory count,-0.4412608552113127,0.0026727157861653849,-0.44649937815219687,-0.43602233227042853,-0.46099692396954278,0.0028981889581450636,-0.46667737432750711,-0.45531647361157845,0.11595679867642064,0.088347427514432322,0.06667120837402464,0.049807440274969965
t7_garch,0.14999999999999999,2000,standardized_t7,0.10580000000000001,0.87419999999999998,0.97999999999999998,5,1.0051745599999999,the campaign's own DGP at the reduced trajectory count,-0.44196098126126082,0.002674327696841589,-0.44720266354707033,-0.43671929897545131,-0.46201384237918897,0.0028949225594540684,-0.46768789059571891,-0.45633979416265902,0.11612433725656618,0.08845397122095279,0.066729695559931093,0.049880360860204774
gauss_garch,0,2000,gaussian,0.10580000000000001,0.87419999999999998,0.97999999999999998,3,0.98278727999999993,the fourth moment of the innovations alone,-0.45936592399483178,0.0025154090366109748,-0.46429612570658929,-0.45443572228307427,-0.49382791576320462,0.0026723687420722492,-0.49906575849766621,-0.48859007302874302,0.10396741540385383,0.077322249035752535,0.057235196030972615,0.041512671240826492
gauss_garch,0.14999999999999999,2000,gaussian,0.10580000000000001,0.87419999999999998,0.97999999999999998,3,0.98278727999999993,the fourth moment of the innovations alone,-0.46012143468010802,0.0025202962228343512,-0.46506121527686334,-0.4551816540833527,-0.49424419856515595,0.0026722012881243407,-0.49948171308987965,-0.48900668404043224,0.10402917592958824,0.077348537181462923,0.057204332788790876,0.041486986126532469
gauss_iid,0,2000,gaussian,0,0,0,3,0,volatility clustering alone,-0.51934080225137635,0.0024414784063712868,-0.52412609992786408,-0.51455550457488863,-0.56312085705483039,0.0024769669617904591,-0.56797571229993971,-0.55826600180972108,0.088989614059787905,0.062804923321126679,0.044329440103325339,0.031025242050990165
gauss_iid,0.14999999999999999,2000,gaussian,0,0,0,3,0,volatility clustering alone,-0.51880191192548342,0.0024289250166275806,-0.5235626049580735,-0.51404121889289334,-0.56345327473287132,0.002491751455952203,-0.56833710758653766,-0.55856944187920499,0.089014608507783269,0.0628371311941536,0.044363965165042034,0.031062388959771349
