n_warmup,gamma_lev,FPR_Eco,FPR_ML,share_nonconverged,alpha_hat_10,alpha_hat_50,alpha_hat_90,beta_hat_10,beta_hat_50,beta_hat_90
250,0.0,0.095,0.075,0.0,1.0000000042413582e-06,0.04788122278064488,0.14269285290092892,1.0000000000287557e-06,0.5733493362375925,0.8881026915065033
500,0.0,0.03,0.03,0.0,0.009805203048382439,0.05049880478409114,0.11962487386689177,0.23885847424465928,0.7149443541744807,0.9007232143462389
1000,0.0,0.03,0.055,0.0,0.01961054929260399,0.052736149986769884,0.10438996474186274,0.34692464005448276,0.7439033442112083,0.8907020428365862
2000,0.0,0.03,0.08,0.0,0.028208053159525646,0.055300497572424986,0.08605509695363453,0.5986651757938671,0.7729214184199524,0.8884449782807058
250,0.28,0.115,0.075,0.005,0.11350075670844624,0.18982384739677735,0.3023902749401016,0.6316606468802307,0.7529254533525636,0.8512990300391134
500,0.28,0.06,0.03,0.005,0.1322546525590575,0.19226830416663648,0.2707814304768115,0.6675872228743785,0.7604042099569173,0.8299876170145247
1000,0.28,0.045,0.055,0.0,0.15170962955748052,0.20245208515639918,0.2590858851940002,0.7096533124874831,0.7646139992143044,0.814943856966999
2000,0.28,0.035,0.08,0.0,0.1658167146965416,0.20321636511652608,0.24046810446437397,0.7313834386286046,0.7681551342254561,0.8099429410304517
