b,N_seeds,lb_reject_biased,lb_ci_low,lb_ci_high,fpr_biased,fpr_ci_low,fpr_ci_high,lb_reject_naive_ref,fpr_naive_ref,delta_lb_pp,delta_fpr_pp,z_lb,pval_lb,z_fpr,pval_fpr
0,10000,0.048500000000000001,0.044460214954962919,0.052886535573758033,0.054600000000000003,0.05031560891015105,0.059226456838447655,0.050900000000000001,0.053499999999999902,-0.0023999999999999994,0.0011000000000001009,-0.78088608660656167,0.43486949594516933,0.34398994444645431,0.73085384833180633
0.02,10000,0.064199999999999993,0.059561308911996062,0.06917338406788566,0.0441,0.040247885698054653,0.048302244016328252,0.068500000000000005,0.064000000000000001,-0.0043000000000000121,-0.019900000000000001,-1.2216335275942205,0.22184624385364149,-6.2230908131671034,4.8745496528113108e-10
0.050000000000000003,10000,0.1918,0.1842022188540291,0.19963447774165594,0.030700000000000002,0.027495050002468435,0.034265370868248615,0.2044999999999999,0.083599999999999897,-0.012699999999999906,-0.052899999999999892,-2.2529166155954301,0.024264407013021572,-16.114292931180564,0
0.074999999999999997,10000,0.46999999999999997,0.46023122717202541,0.47979181273021504,0.0235,0.020708857111790654,0.026657093335464139,0.49840000000000001,0.1134,-0.028400000000000036,-0.089900000000000008,-4.0183733116679567,5.8601302606486882e-05,-25.174153881982143,0
0.10000000000000001,10000,0.80310000000000004,0.79519032075463381,0.81077689943306197,0.016799999999999999,0.014460231994417769,0.019510864031004091,0.80759999999999987,0.13689999999999991,-0.0044999999999998375,-0.12009999999999992,-0.80367041349546064,0.42158734547258248,-31.883789751705063,0
0.14999999999999999,10000,0.99839999999999995,0.99740236308380303,0.99901486734030642,0.0086,0.0069694684051106025,0.010607925193590355,0.99790000000000001,0.20760000000000001,0.00049999999999994493,-0.19900000000000001,0.8227563384511688,0.41064657021032636,-45.317625865860869,0
