xi,skewness,q
1,0.0028673787489797158,0.49968162499999996
0.84999999999999998,-0.47768986469681796,0.52957175000000012
0.65000000000000002,-1.09724965840891,0.56426937500000007
0.5,-1.4428470211200355,0.58230024999999996
