xi,lb_ebin_rate,lb_ebin_low,lb_ebin_high,lb_sign_rate,lb_sign_low,lb_sign_high,fpr_half_rate,fpr_half_low,fpr_half_high,fpr_oracle_rate,fpr_oracle_low,fpr_oracle_high,fpr_qhat_rate,fpr_qhat_low,fpr_qhat_high
1,0.050999999999999997,0.039000942775266841,0.066435486344761652,0.050999999999999997,0.039000942775266841,0.066435486344761652,0.0060000000000000001,0.0027526691418763745,0.01302816824185209,0.0050000000000000001,0.0021375355273244596,0.011650955373375113,0.017999999999999999,0.011415740009567788,0.028273255170507345
0.84999999999999998,0.044999999999999998,0.03379951228563171,0.059682837936223455,0.055,0.042497427374768443,0.070908387677375631,0.047,0.035527105106384502,0.061939938081528451,0.002,0.00054864358812072803,0.0072628078634921767,0.017999999999999999,0.011415740009567788,0.028273255170507345
0.65000000000000002,0.055,0.042497427374768443,0.070908387677375631,0.052999999999999999,0.040746505248594522,0.068674616837491764,0.63,0.59963171812774119,0.65937332466601439,0.002,0.00054864358812072803,0.0072628078634921767,0.01,0.0054407544455292488,0.018309468870314774
0.5,0.058000000000000003,0.045133278234998242,0.074249576266232506,0.056000000000000001,0.043374813385442003,0.072023348149730965,0.96899999999999997,0.95633450398770781,0.97807599655284139,0.0030000000000000001,0.0010207838811386186,0.0087830140535031728,0.010999999999999999,0.0061531740980866377,0.019589395700786275
