Date,Close,log_ret
2007-10-09,20.5369,-0.0007641855347006619
2007-10-10,20.5448,0.00038459947360395657
2007-10-15,20.3287,-0.0105741868726548
2007-10-17,20.4073,0.0038589992901491644
2007-10-18,20.5644,0.007668745495826437
2007-10-19,20.639,0.003621064354571835
2007-10-22,20.5565,-0.004005297194669714
2007-10-24,20.7215,0.007994615960801008
2007-10-25,20.7765,0.002650731707756112
2007-10-26,20.8433,0.0032100133763236097
2007-10-29,20.8904,0.0022571696253696843
2007-10-30,20.859,-0.0015042135178287511
2007-10-31,20.8787,0.0009439907547811725
2007-11-02,21.0226,0.006868548982012331
2007-11-05,20.9715,-0.002433676407932249
2007-11-06,21.0423,0.0033703243704972007
2007-11-07,21.235,0.009116066280885222
2007-11-08,21.3215,0.004065189530304404
2007-11-09,21.3923,0.0033150908998950965
2007-11-12,21.4119,0.0009157980464464871
2007-11-13,21.2468,-0.0077405464462954
2007-11-14,21.3136,0.0031390708194763356
2007-11-15,21.294,-0.0009200237226468634
2007-11-16,21.2979,0.00018313341320296987
2007-11-19,21.3844,0.004053207930314494
2007-11-20,21.4709,0.004036845732866506
2007-11-21,21.585,0.005300099038642438
2007-11-26,21.6675,0.003814813018922158
2007-11-27,21.5732,-0.004361638433051346
2007-11-28,21.3765,-0.009159615794072118
2007-11-29,21.4001,0.0011034071148444697
2007-11-30,21.2389,-0.0075611889586592795
2007-12-03,21.3383,0.004669174139512952
2007-12-04,21.4328,0.004418878811677026
2007-12-05,21.2162,-0.010157418099932852
2007-12-06,21.1808,-0.0016699298642150423
2007-12-07,21.1059,-0.003542488693990041
2007-12-10,21.1178,0.0005636644971934157
2007-12-11,21.2517,0.0063206054249263675
2007-12-12,21.1178,-0.006320605424926439
2007-12-13,20.9996,-0.005612896822702746
2007-12-14,20.716,-0.013597041361322148
2007-12-19,20.7594,0.002092807584275665
2007-12-21,20.6964,-0.0030393840427024193
2007-12-27,20.9169,0.010597672556830567
2007-12-28,21.0582,0.006732588307534704
2007-12-31,21.2597,0.009523228840072066
2008-01-02,21.3901,0.006114936357544459
2008-01-03,21.4612,0.003318455460952495
2008-01-04,21.5047,0.0020248622681122794
2008-01-07,21.4573,-0.0022066020777856596
2008-01-08,21.4336,-0.00110512963878546
2008-01-09,21.3427,-0.004250023345866603
2008-01-10,21.5363,0.00903012269691377
2008-01-11,21.5284,-0.0003668898233874433
2008-01-14,21.7023,0.008045252007844613
2008-01-15,21.6983,-0.00018432924942632966
2008-01-16,21.6074,-0.0041980678525019915
