Date,Close,log_ret
2007-12-27,14.1765,-0.12348123490048192
2007-12-31,14.3075,0.009198211180036817
2008-01-04,14.7212,0.028504756416024034
2008-01-07,14.7454,0.0016425380220879762
2008-01-08,14.7729,0.0018632514715272671
2008-01-09,14.7591,-0.0009345795072771038
2008-01-10,15.128,0.024687489652674012
2008-01-11,15.2384,0.00727122651419554
2008-01-14,15.3418,0.006762571471757046
2008-01-15,15.3245,-0.0011282744794934112
2008-01-16,15.2935,-0.0020249533341689823
2008-01-17,15.0108,-0.018657959501887575
2008-01-18,15.0694,0.003896255618840788
2008-01-22,15.0384,-0.002059267761499711
2008-01-23,15.1487,0.007307789808853219
2008-01-24,15.3073,0.010415119101092477
2008-01-25,15.4314,0.008074555804892167
2008-01-28,15.4452,0.0008938808624574594
2008-01-29,15.6038,0.010216198874721097
2008-01-30,15.6452,0.0026496863401636846
2008-01-31,15.7003,0.0035156597758761697
2008-02-01,15.8495,0.00945813363243115
2008-02-04,15.7492,-0.006348383753580087
2008-02-05,15.6419,-0.006836359216190911
2008-02-06,15.6523,0.0006646599294994202
2008-02-07,15.6696,0.0011046585142806882
2008-02-08,15.6696,0.0
2008-02-11,15.6557,-0.0008874616308409156
2008-02-12,15.6973,0.0026536551151002522
2008-02-13,15.7007,0.00021657430494226862
2008-02-14,15.6627,-0.002423207853387301
2008-02-15,15.6661,0.00021705268081439793
2008-02-19,15.7457,0.0050681699479829066
2008-02-20,15.7319,-0.0008768140445346785
2008-02-21,15.7422,0.0006545064270427424
2008-02-22,15.7803,0.0024173221383419095
2008-02-25,15.9048,0.00785862381613196
2008-02-26,15.7838,-0.007636852879254634
2008-02-27,15.8495,0.0041538565036523135
2008-02-28,15.8391,-0.0006563874941398505
2008-02-29,15.6834,-0.009878738438978784
2008-03-03,15.7567,0.004662843490192759
2008-03-04,15.388,-0.023677686751412776
2008-03-05,15.0507,-0.0221634831488891
2008-03-06,15.0229,-0.001848798143121788
2008-03-07,15.0125,-0.0006925161919358612
2008-03-10,14.543,-0.03177340921052878
2008-03-11,14.8247,0.01918493039577407
2008-03-12,14.7969,-0.001877009220433367
2008-03-14,14.8108,0.0009389450056036426
2008-03-17,14.084,-0.05031724308371136
2008-03-18,14.2926,0.014702519515285182
2008-03-19,14.4908,0.013772044490449872
2008-03-20,14.4665,-0.0016783336639830636
2008-03-24,14.9673,0.03403218980858506
2008-03-25,14.9568,-0.0007017755207961954
2008-03-26,15.0229,0.004409657675690623
2008-03-27,14.9568,-0.004409657675690696
2008-03-28,14.8455,-0.007469256899628653
2008-04-01,15.0789,0.015599626599444721
2008-04-02,15.1489,0.0046315064364541554
2008-04-03,15.1908,0.002762059390028471
2008-04-04,15.2608,0.004597467673122308
2008-04-07,15.2153,-0.002985948583058488
2008-04-08,15.2328,0.0011494971395231855
2008-04-09,15.2643,0.002065770922609098
2008-04-10,15.2433,-0.0013767063496840466
2008-04-11,15.2153,-0.0018385617124481962
2008-04-14,15.0789,-0.009005084916546469
2008-04-15,15.0894,0.0006960949356761764
2008-04-16,15.3658,0.01815175005384187
2008-04-17,15.3623,-0.0002278045186742753
2008-04-18,15.5407,0.01154593287704183
2008-04-21,15.5022,-0.0024804396328646913
2008-04-22,15.5057,0.0002257489230076116
2008-04-23,15.4427,-0.004071298485298113
2008-04-24,15.5407,0.006325989195155271
2008-04-25,15.6457,0.00673372987917711
2008-04-28,15.7086,0.004012214234067377
2008-04-29,15.6596,-0.0031241856310222564
2008-04-30,15.7261,0.004237604992931193
2008-05-01,15.7279,0.00011445285190849517
2008-05-02,15.742,0.0008960944231478412
2008-05-05,15.749,0.0004445714721851564
2008-05-06,15.7033,-0.002905989842429375
2008-05-07,15.7631,0.0038008842443247224
2008-05-08,15.8475,0.005339993581845453
2008-05-09,15.7772,-0.0044458992999710945
2008-05-12,15.7561,-0.0013382679991695567
2008-05-13,15.7631,0.00044417371729531057
2008-05-14,15.8158,0.0033376747716658065
2008-05-15,15.9002,0.0053222473974231825
2008-05-16,16.0233,0.007712225172604758
2008-05-19,15.8545,-0.010590541236110702
2008-05-20,15.8545,0.0
2008-05-21,15.6787,-0.011150268377997166
2008-05-22,15.5872,-0.005853038691838287
2008-05-23,15.5345,-0.003386707690870396
2008-05-27,15.5028,-0.0020427041670972243
2008-05-28,15.5908,0.005660343926477334
2008-05-29,15.5802,-0.0006801193679122622
2008-05-30,15.6681,0.005625920888070735
2008-06-02,15.6315,-0.0023386891002997712
2008-06-03,15.4758,-0.01001059559967238
2008-06-04,15.2141,-0.01705488407188679
2008-06-05,15.4193,0.013397342067733986
2008-06-06,15.3662,-0.0034496794048344305
2008-06-09,15.2778,-0.005769497794992085
2008-06-10,15.2,-0.005105366462572605
2008-06-11,15.009,-0.012645406678052952
2008-06-12,15.0302,0.001411489222065431
2008-06-13,15.0974,0.0044610331685588775
2008-06-16,15.1965,0.006542594614902657
2008-06-17,15.1788,-0.0011654207203452682
2008-06-18,15.0833,-0.006311545928727365
2008-06-19,14.9383,-0.009659786787644334
2008-06-20,14.8322,-0.007127891652256926
2008-06-23,14.4361,-0.02706847920755316
2008-06-24,14.3406,-0.006637338582829492
2008-06-25,14.574,0.016144443947742462
2008-06-26,14.3689,-0.014172970451781057
2008-06-27,14.1956,-0.01213409136029089
2008-06-30,14.185,-0.0007469891752037142
2008-07-01,13.8238,-0.0257933238963641
2008-07-02,13.671,-0.011114943414595435
2008-07-03,13.6852,0.0010381559774647288
