theta,rho_lag1,n_steps,n_streams,lags,reject_rate,wilson_low,wilson_high,ncp_analytic,power_analytic,deviation_emp_minus_analytic
0,0,8000,1000,20,0.044999999999999998,0.03379951228563171,0.059682837936223455,0,0.049999999999999989,-0.0049999999999999906
0.0025000000000000001,0.0050000000000000001,8000,1000,20,0.052999999999999999,0.040746505248594522,0.068674616837491764,0.20000500012500314,0.053883265459051977,-0.00088326545905197812
0.0028869549617236453,0.0057739099234472907,8000,1000,20,0.052999999999999999,0.040746505248594522,0.068674616837491764,0.26671317812614659,0.055214694813918774,-0.0022146948139187758
0.0033338035804083102,0.0066676071608166203,8000,1000,20,0.058999999999999997,0.046014298212800467,0.075360902771459154,0.35567169409904337,0.057018445688431438,0.0019815543115685591
0.0038498163151487303,0.0076996326302974606,8000,1000,20,0.062,0.048664180119980638,0.078688060313365643,0.47430285986559129,0.059474059969199897,0.0025259400308001029
0.0044456985250973073,0.0088913970501946146,8000,1000,20,0.068000000000000005,0.053992457808530153,0.085313861522989476,0.63250553598683557,0.062838072300934758,0.0051619276990652468
0.005133812566142865,0.01026762513228573,8000,1000,20,0.076999999999999999,0.062047907060605895,0.095189530618173729,0.84348193020233231,0.067482884528580506,0.0095171154714194933
0.0059284342641541376,0.011856868528308275,8000,1000,20,0.080000000000000002,0.06474803809836388,0.098466439029502417,1.1248407864953245,0.073958508101721276,0.0060414918982787252
0.0068460490856609027,0.013692098171321805,8000,1000,20,0.091999999999999998,0.075613899567968851,0.11150873535624412,1.5000696420494535,0.08309158612599471,0.0089084138740052887
0.0079056941504209478,0.015811388300841896,8000,1000,20,0.105,0.087487782614416823,0.1255353565891717,2.0005001250312575,0.096144083929118607,0.0088559160708813894
0.0091293531813709423,0.018258706362741885,8000,1000,20,0.126,0.10685291068700914,0.14800950466018614,2.6679323005522342,0.11506266194555098,0.01093733805444902
0.010542412585714556,0.021084825171429112,8000,1000,20,0.14899999999999999,0.12827436093693598,0.17241202351992371,3.5581406621472254,0.14284904514368599,0.006150954856314006
0.012174188129146578,0.024348376258293156,8000,1000,20,0.192,0.16878484731114135,0.21757243591596065,4.7455607858398512,0.18403685529024308,0.0079631447097569252
0.014058533129758726,0.028117066259517452,8000,1000,20,0.255,0.22895853705092251,0.28291657460699948,6.329559276311306,0.24507617801252954,0.0099238219874704658
0.016234540789405283,0.032469081578810566,8000,1000,20,0.34399999999999997,0.31520449220284491,0.37398945644464826,8.4428308491920045,0.33391344479179647,0.010086555208203507
0.018747355233311395,0.03749471046662279,8000,1000,20,0.46700000000000003,0.43626306497354578,0.49798950108650092,11.262660151894442,0.45707781463562791,0.0099221853643721158
0.021649108084001632,0.043298216168003265,8000,1000,20,0.628,0.59760646379003579,0.65741388603766215,15.02605406397835,0.6120322561085102,0.015967743891489805
0.025000000000000001,0.050000000000000003,8000,1000,20,0.78900000000000003,0.76262950635889515,0.81315862723645405,20.05012531328321,0.77642785604386289,0.01257214395613715
0.028869549617236454,0.057739099234472908,8000,1000,20,0.92300000000000004,0.9048104693818263,0.93795209293939419,26.75964002699893,0.90866612110688305,0.014333878893116991
0.033338035804083101,0.066676071608166201,8000,1000,20,0.97699999999999998,0.96572354933777327,0.98462572306700713,35.724408149398215,0.97817661600847539,-0.0011766160084754063
0.038498163151487304,0.076996326302974608,8000,1000,20,0.99299999999999999,0.98562168453423338,0.99660513159900921,47.71032161867106,0.99769321030435409,-0.0046932103043541007
0.044456985250973073,0.088913970501946146,8000,1000,20,1,0.99617324151444497,1,63.749537549464442,0.99992754632020753,7.2453679792472414e-05
0.050000000000000003,0.10000000000000001,8000,1000,20,1,0.99617324151444497,1,80.808080808080817,0.9999988104108799,1.1895891200985886e-06
0.051338125661428646,0.10267625132285729,8000,1000,20,1,0.99617324151444497,1,85.237913942443299,0.99999961408613858,3.8591386142261541e-07
0.059284342641541379,0.11856868528308276,8000,1000,20,1,0.99617324151444497,1,114.07194931671499,0.99999999984127685,1.5872314573783797e-10
0.068460490856609033,0.13692098171321807,8000,1000,20,1,0.99617324151444497,1,152.84426764745331,0.99999999999999911,8.8817841970012523e-16
0.079056941504209485,0.15811388300841897,8000,1000,20,1,0.99617324151444497,1,205.12820512820514,1,0
0.091293531813709417,0.18258706362741883,8000,1000,20,1,0.99617324151444497,1,275.90232812616472,1,0
0.10000000000000001,0.20000000000000001,8000,1000,20,1,0.99617324151444497,1,333.33333333333343,1,0
0.10542412585714557,0.21084825171429114,8000,1000,20,1,0.99617324151444497,1,372.20290088269604,1,0
0.12174188129146579,0.24348376258293158,8000,1000,20,1,0.99617324151444497,1,504.16375811592269,1,0
0.14058533129758727,0.28117066259517454,8000,1000,20,1,0.99617324151444497,1,686.74770519112042,1,0
0.16234540789405283,0.32469081578810566,8000,1000,20,1,0.99617324151444497,1,942.78532568885635,1,0
0.18747355233311397,0.37494710466622794,8000,1000,20,1,0.99617324151444497,1,1308.6612218043713,1,0
0.21649108084001634,0.43298216168003267,8000,1000,20,1,0.99617324151444497,1,1845.8333546821111,1,0
0.25,0.5,8000,1000,20,1,0.99617324151444497,1,2666.6666666642413,1,0
