arm,stream,source_grid,gamma_target,gamma_realised,attainable,alpha,beta,n_steps,n_streams,lags,rho_lag1,rho_ci_low,rho_ci_high,abs_rho_lag1,rho_80_analytic,ratio_rho_to_rho_80,lb_reject_rate,lb_wilson_low,lb_wilson_high,lb_pvalue_median,power_at_measured_rho,power_at_rho_ci_low,power_at_rho_ci_high,mean_rate,degenerate,classifier_version
classifier_error,binary classifier error e_t^bin (HoeffdingTree),R06,1,1,True,0,0,8000,1000,20,0.00021415310590954754,-0.00046025389900248838,0.00087160561134813793,0.00021415310590954754,0.05111997652889267,0.0041892254349629766,0.039,0.028658960904180485,0.052869310419501346,0.50733951939687871,0.050006974501912278,0.049999999999999989,0.05011560321731591,0.50038700000000003,0,0.23.0
classifier_error,binary classifier error e_t^bin (HoeffdingTree),R06,2,1.9999999999999947,True,0.080000000000000002,0.73286140831609869,8000,1000,20,-2.8913948995799728e-05,-0.00069245899232601678,0.00069221744319857492,2.8913948995799728e-05,0.05111997652889267,0.00056560959059630549,0.052999999999999999,0.040746505248594522,0.068674616837491764,0.49669205247306003,0.050000127134235697,0.049999999999999989,0.050072948073917739,0.50020249999999999,0,0.23.0
classifier_error,binary classifier error e_t^bin (HoeffdingTree),R06,5,5.0000000000000009,True,0.080000000000000002,0.85822643703432566,8000,1000,20,-0.00029725491150018099,-0.00099853409318556162,0.00038218342551986714,0.00029725491150018099,0.05111997652889267,0.0058148483564380059,0.048000000000000001,0.036393301020807914,0.063066088650133925,0.49752253369264449,0.050013438114233859,0.049999999999999989,0.050151755317465248,0.49996349999999995,0,0.23.0
classifier_error,binary classifier error e_t^bin (HoeffdingTree),R06,8.1600000000000001,8.1599999999999913,True,0.080000000000000002,0.87937408930795136,8000,1000,20,-0.0005664928395719013,-0.0012663521825999567,0.00013912761010898505,0.0005664928395719013,0.05111997652889267,0.011081633405127314,0.048000000000000001,0.036393301020807914,0.063066088650133925,0.47907541988354591,0.050048815258039829,0.049999999999999989,0.050244203864013334,0.50024787500000001,0,0.23.0
classifier_error,binary classifier error e_t^bin (HoeffdingTree),R06,11.58,11.580000000001663,True,0.080000000000000002,0.8889517521998026,8000,1000,20,0.00026806330828954431,-0.00047338581319464812,0.00099489720479572705,0.00026806330828954431,0.05111997652889267,0.0052438073428698996,0.063,0.049549663211729086,0.079794923704646095,0.50231235906296257,0.050010928205634207,0.049999999999999989,0.050150650941075056,0.50021787500000003,0,0.23.0
classifier_error,binary classifier error e_t^bin (HoeffdingTree),R06,20,19.999999999934765,True,0.080000000000000002,0.89896770043985585,8000,1000,20,-3.9526970442321243e-05,-0.00076263025617112016,0.00070458607504875258,3.9526970442321243e-05,0.05111997652889267,0.00077321965161664076,0.056000000000000001,0.043374813385442003,0.072023348149730965,0.50337695858720122,0.050000237593756068,0.049999999999999989,0.050088489499316859,0.50008387500000007,0,0.23.0
classifier_error,binary classifier error e_t^bin (HoeffdingTree),R06,30.850000000000001,30.84999999998271,True,0.080000000000000002,0.90430899740930015,8000,1000,20,0.00081785984711601524,0.0001602459408023375,0.0015061776647716585,0.00081785984711601524,0.05111997652889267,0.015998830646054119,0.053999999999999999,0.041621313723062728,0.069792154846052445,0.48695751811014598,0.050101777997765981,0.050003905089663202,0.050345655040228379,0.49981262499999995,0,0.23.0
classifier_error,binary classifier error e_t^bin (HoeffdingTree),R06,41,41.000000000000973,True,0.080000000000000002,0.90699680068591038,8000,1000,20,0.00012763635267037959,-0.00058756501052801083,0.00084776333505863868,0.00012763635267037959,0.05111997652889267,0.0024967999075320461,0.058000000000000003,0.045133278234998242,0.074249576266232506,0.46342766695632837,0.050002477434689385,0.049999999999999989,0.05010936136084574,0.50016737499999997,0,0.23.0
classifier_error,binary classifier error e_t^bin (HoeffdingTree),R06,60,59.999999997571685,True,0.080000000000000002,0.90986061553372333,8000,1000,20,-0.00043944624864741642,-0.0010789845771514827,0.00026159683977822526,0.00043944624864741642,0.05111997652889267,0.008596370313257955,0.055,0.042497427374768443,0.070908387677375631,0.47815483213993815,0.050029371811600221,0.049999999999999989,0.050177219176675468,0.50022187500000004,0,0.23.0
classifier_error,binary classifier error e_t^bin (HoeffdingTree),R06,90,89.99999999982353,True,0.080000000000000002,0.91221446928918837,8000,1000,20,-4.9625374708329618e-05,-0.00071612153924752978,0.0006262839485497658,4.9625374708329618e-05,0.05111997652889267,0.00097076286176073819,0.051999999999999998,0.039873036283777419,0.067555739319279981,0.5111694839506189,0.050000374503514945,0.049999999999999989,0.050078021011584352,0.49969387500000001,0,0.23.0
