theta,rho_lag1,n_steps,n_streams,lags,reject_rate,wilson_low,wilson_high,ncp_analytic,power_analytic,deviation_emp_minus_analytic
0,0,2000,1000,20,0.050999999999999997,0.039000942775266841,0.066435486344761652,0,0.049999999999999989,0.0010000000000000078
0.0025000000000000001,0.0050000000000000001,2000,1000,20,0.050000000000000003,0.038130262392748818,0.065313820244250809,0.050001250031250784,0.050955553050701888,-0.00095555305070188501
0.0028869549617236453,0.0057739099234472907,2000,1000,20,0.051999999999999998,0.039873036283777419,0.067555739319279981,0.066678294531536647,0.051276522783424733,0.00072347721657526481
0.0033338035804083102,0.0066676071608166203,2000,1000,20,0.055,0.042497427374768443,0.070908387677375631,0.088917923524760842,0.051706312146963612,0.0032936878530363881
0.0038498163151487303,0.0076996326302974606,2000,1000,20,0.049000000000000002,0.037261034647360615,0.064190701506610132,0.11857571496639782,0.052282592955642214,-0.003282592955642212
0.0044456985250973073,0.0088913970501946146,2000,1000,20,0.058999999999999997,0.046014298212800467,0.075360902771459154,0.15812638399670889,0.053056675276359849,0.0059433247236401476
0.005133812566142865,0.01026762513228573,2000,1000,20,0.055,0.042497427374768443,0.070908387677375631,0.21087048255058308,0.054098893305006834,0.00090110669499316592
0.0059284342641541376,0.011856868528308275,2000,1000,20,0.059999999999999998,0.046896472675931958,0.07647107479135655,0.28121019662383112,0.055506440305110448,0.0044935596948895498
0.0068460490856609027,0.013692098171321805,2000,1000,20,0.065000000000000002,0.051323770569062045,0.082005509313370903,0.37501741051236337,0.057414977297860756,0.0075850227021392463
0.0079056941504209478,0.015811388300841896,2000,1000,20,0.070000000000000007,0.055776364146294041,0.087514648151283361,0.50012503125781438,0.060016173312536739,0.0099838266874632681
0.0091293531813709423,0.018258706362741885,2000,1000,20,0.071999999999999995,0.057563921680914412,0.089711783582720764,0.66698307513805855,0.063584737080095668,0.0084152629199043261
0.010542412585714556,0.021084825171429112,2000,1000,20,0.071999999999999995,0.057563921680914412,0.089711783582720764,0.88953516553680634,0.068520851934479751,0.0034791480655202434
0.012174188129146578,0.024348376258293156,2000,1000,20,0.079000000000000001,0.06384721576082919,0.097374914884008235,1.1863901964599628,0.075417800063091733,0.0035821999369082674
0.014058533129758726,0.028117066259517452,2000,1000,20,0.092999999999999999,0.07652372564174531,0.11259125576549656,1.5823898190778265,0.085170652801420776,0.0078293471985792229
0.016234540789405283,0.032469081578810566,2000,1000,20,0.114,0.095761657097216929,0.13519260045363163,2.1107077122980011,0.099150445454373987,0.014849554545626018
0.018747355233311395,0.03749471046662279,2000,1000,20,0.13300000000000001,0.11335116065727396,0.15545768007112354,2.8156650379736106,0.11947669861525567,0.013523301384744335
0.021649108084001632,0.043298216168003265,2000,1000,20,0.17000000000000001,0.14799159563855241,0.19453406496191405,3.7565135159945875,0.14941669349082909,0.020583306509170923
0.025000000000000001,0.050000000000000003,2000,1000,20,0.23599999999999999,0.2107233759531616,0.26329715252721153,5.0125313283208026,0.19387947543077147,0.042120524569228518
0.028869549617236454,0.057739099234472908,2000,1000,20,0.29799999999999999,0.27046858673913043,0.32707742368903381,6.6899100067497326,0.25974232214430504,0.038257677855694949
0.033338035804083101,0.066676071608166201,2000,1000,20,0.38900000000000001,0.35926319596566997,0.41958634441812331,8.9311020373495538,0.35513565054097496,0.033864349459025056
0.038498163151487304,0.076996326302974608,2000,1000,20,0.502,0.47106219334840704,0.53292249961765081,11.927580404667765,0.48574696053618288,0.016253039463817121
0.044456985250973073,0.088913970501946146,2000,1000,20,0.68100000000000005,0.6514663972750635,0.70914831615316565,15.937384387366111,0.6460006791655577,0.034999320834442349
0.050000000000000003,0.10000000000000001,2000,1000,20,0.78200000000000003,0.75535652279483856,0.80648518541930836,20.202020202020204,0.78049299030214736,0.0015070096978526681
0.051338125661428646,0.10267625132285729,2000,1000,20,0.80300000000000005,0.77720914609353886,0.82647183826421489,21.309478485610825,0.8085215808242201,-0.0055215808242200515
0.059284342641541379,0.11856868528308276,2000,1000,20,0.92300000000000004,0.9048104693818263,0.93795209293939419,28.517987329178748,0.92965776025848446,-0.0066577602584844131
0.068460490856609033,0.13692098171321807,2000,1000,20,0.97999999999999998,0.96930999477028223,0.98701631708358495,38.211066911863327,0.98591294923858175,-0.0059129492385817661
0.079056941504209485,0.15811388300841897,2000,1000,20,0.998,0.99273719213650791,0.99945135641187932,51.282051282051285,0.99888884957013735,-0.00088884957013735111
0.091293531813709417,0.18258706362741883,2000,1000,20,1,0.99617324151444497,1,68.97558203154118,0.99997855733550234,2.1442664497661745e-05
0.10000000000000001,0.20000000000000001,2000,1000,20,1,0.99617324151444497,1,83.333333333333357,0.99999937214842594,6.2785157406430869e-07
0.10542412585714557,0.21084825171429114,2000,1000,20,1,0.99617324151444497,1,93.050725220674011,0.99999994964177352,5.0358226477698054e-08
0.12174188129146579,0.24348376258293158,2000,1000,20,1,0.99617324151444497,1,126.04093952898067,0.99999999999488565,5.1143533852382461e-12
0.14058533129758727,0.28117066259517454,2000,1000,20,1,0.99617324151444497,1,171.6869262977801,1,0
0.16234540789405283,0.32469081578810566,2000,1000,20,1,0.99617324151444497,1,235.69633142221409,1,0
0.18747355233311397,0.37494710466622794,2000,1000,20,1,0.99617324151444497,1,327.16530545109282,1,0
0.21649108084001634,0.43298216168003267,2000,1000,20,1,0.99617324151444497,1,461.45833867052778,1,0
0.25,0.5,2000,1000,20,1,0.99617324151444497,1,666.66666666606034,1,0
0,0,8000,1000,20,0.044999999999999998,0.03379951228563171,0.059682837936223455,0,0.049999999999999989,-0.0049999999999999906
0.0025000000000000001,0.0050000000000000001,8000,1000,20,0.052999999999999999,0.040746505248594522,0.068674616837491764,0.20000500012500314,0.053883265459051977,-0.00088326545905197812
0.0028869549617236453,0.0057739099234472907,8000,1000,20,0.052999999999999999,0.040746505248594522,0.068674616837491764,0.26671317812614659,0.055214694813918774,-0.0022146948139187758
0.0033338035804083102,0.0066676071608166203,8000,1000,20,0.058999999999999997,0.046014298212800467,0.075360902771459154,0.35567169409904337,0.057018445688431438,0.0019815543115685591
0.0038498163151487303,0.0076996326302974606,8000,1000,20,0.062,0.048664180119980638,0.078688060313365643,0.47430285986559129,0.059474059969199897,0.0025259400308001029
0.0044456985250973073,0.0088913970501946146,8000,1000,20,0.068000000000000005,0.053992457808530153,0.085313861522989476,0.63250553598683557,0.062838072300934758,0.0051619276990652468
0.005133812566142865,0.01026762513228573,8000,1000,20,0.076999999999999999,0.062047907060605895,0.095189530618173729,0.84348193020233231,0.067482884528580506,0.0095171154714194933
0.0059284342641541376,0.011856868528308275,8000,1000,20,0.080000000000000002,0.06474803809836388,0.098466439029502417,1.1248407864953245,0.073958508101721276,0.0060414918982787252
0.0068460490856609027,0.013692098171321805,8000,1000,20,0.091999999999999998,0.075613899567968851,0.11150873535624412,1.5000696420494535,0.08309158612599471,0.0089084138740052887
0.0079056941504209478,0.015811388300841896,8000,1000,20,0.105,0.087487782614416823,0.1255353565891717,2.0005001250312575,0.096144083929118607,0.0088559160708813894
0.0091293531813709423,0.018258706362741885,8000,1000,20,0.126,0.10685291068700914,0.14800950466018614,2.6679323005522342,0.11506266194555098,0.01093733805444902
0.010542412585714556,0.021084825171429112,8000,1000,20,0.14899999999999999,0.12827436093693598,0.17241202351992371,3.5581406621472254,0.14284904514368599,0.006150954856314006
0.012174188129146578,0.024348376258293156,8000,1000,20,0.192,0.16878484731114135,0.21757243591596065,4.7455607858398512,0.18403685529024308,0.0079631447097569252
0.014058533129758726,0.028117066259517452,8000,1000,20,0.255,0.22895853705092251,0.28291657460699948,6.329559276311306,0.24507617801252954,0.0099238219874704658
0.016234540789405283,0.032469081578810566,8000,1000,20,0.34399999999999997,0.31520449220284491,0.37398945644464826,8.4428308491920045,0.33391344479179647,0.010086555208203507
0.018747355233311395,0.03749471046662279,8000,1000,20,0.46700000000000003,0.43626306497354578,0.49798950108650092,11.262660151894442,0.45707781463562791,0.0099221853643721158
0.021649108084001632,0.043298216168003265,8000,1000,20,0.628,0.59760646379003579,0.65741388603766215,15.02605406397835,0.6120322561085102,0.015967743891489805
0.025000000000000001,0.050000000000000003,8000,1000,20,0.78900000000000003,0.76262950635889515,0.81315862723645405,20.05012531328321,0.77642785604386289,0.01257214395613715
0.028869549617236454,0.057739099234472908,8000,1000,20,0.92300000000000004,0.9048104693818263,0.93795209293939419,26.75964002699893,0.90866612110688305,0.014333878893116991
0.033338035804083101,0.066676071608166201,8000,1000,20,0.97699999999999998,0.96572354933777327,0.98462572306700713,35.724408149398215,0.97817661600847539,-0.0011766160084754063
0.038498163151487304,0.076996326302974608,8000,1000,20,0.99299999999999999,0.98562168453423338,0.99660513159900921,47.71032161867106,0.99769321030435409,-0.0046932103043541007
0.044456985250973073,0.088913970501946146,8000,1000,20,1,0.99617324151444497,1,63.749537549464442,0.99992754632020753,7.2453679792472414e-05
0.050000000000000003,0.10000000000000001,8000,1000,20,1,0.99617324151444497,1,80.808080808080817,0.9999988104108799,1.1895891200985886e-06
0.051338125661428646,0.10267625132285729,8000,1000,20,1,0.99617324151444497,1,85.237913942443299,0.99999961408613858,3.8591386142261541e-07
0.059284342641541379,0.11856868528308276,8000,1000,20,1,0.99617324151444497,1,114.07194931671499,0.99999999984127685,1.5872314573783797e-10
0.068460490856609033,0.13692098171321807,8000,1000,20,1,0.99617324151444497,1,152.84426764745331,0.99999999999999911,8.8817841970012523e-16
0.079056941504209485,0.15811388300841897,8000,1000,20,1,0.99617324151444497,1,205.12820512820514,1,0
0.091293531813709417,0.18258706362741883,8000,1000,20,1,0.99617324151444497,1,275.90232812616472,1,0
0.10000000000000001,0.20000000000000001,8000,1000,20,1,0.99617324151444497,1,333.33333333333343,1,0
0.10542412585714557,0.21084825171429114,8000,1000,20,1,0.99617324151444497,1,372.20290088269604,1,0
0.12174188129146579,0.24348376258293158,8000,1000,20,1,0.99617324151444497,1,504.16375811592269,1,0
0.14058533129758727,0.28117066259517454,8000,1000,20,1,0.99617324151444497,1,686.74770519112042,1,0
0.16234540789405283,0.32469081578810566,8000,1000,20,1,0.99617324151444497,1,942.78532568885635,1,0
0.18747355233311397,0.37494710466622794,8000,1000,20,1,0.99617324151444497,1,1308.6612218043713,1,0
0.21649108084001634,0.43298216168003267,8000,1000,20,1,0.99617324151444497,1,1845.8333546821111,1,0
0.25,0.5,8000,1000,20,1,0.99617324151444497,1,2666.6666666642413,1,0
0,0,32000,1000,20,0.051999999999999998,0.039873036283777419,0.067555739319279981,0,0.049999999999999989,0.0020000000000000087
0.0025000000000000001,0.0050000000000000001,32000,1000,20,0.064000000000000001,0.050436200898229526,0.080900732501174535,0.80002000050001254,0.066511225548534947,-0.0025112255485349455
0.0028869549617236453,0.0057739099234472907,32000,1000,20,0.070000000000000007,0.055776364146294041,0.087514648151283361,1.0668527125045864,0.072597651564469581,-0.0025976515644695747
0.0033338035804083102,0.0066676071608166203,32000,1000,20,0.081000000000000003,0.065649621541200298,0.0995572020696949,1.4226867763961735,0.081161861590506701,-0.00016186159050669835
0.0038498163151487303,0.0076996326302974606,32000,1000,20,0.097000000000000003,0.080169161790323046,0.1169152055490344,1.8972114394623651,0.09336936524020259,0.0036306347597974131
0.0044456985250973073,0.0088913970501946146,32000,1000,20,0.121,0.10222378228920963,0.14267690064284116,2.5300221439473423,0.11101519260019167,0.0099848073998083237
0.005133812566142865,0.01026762513228573,32000,1000,20,0.152,0.13108250256297901,0.17558092134296735,3.3739277208093292,0.13686966570716289,0.015130334292837111
0.0059284342641541376,0.011856868528308275,32000,1000,20,0.183,0.16026284116890502,0.20816332371093696,4.4993631459812979,0.17514007815952215,0.0078599218404778459
