n_steps,n_streams,lags,rejections,reject_rate,wilson_low,wilson_high,ks_statistic,ks_pvalue,covers_nominal,max_ks_statistic,max_ks_bootstrap_pvalue
2000,1000,20,51,0.050999999999999997,0.039000942775266841,0.066435486344761652,0.022336998838208999,0.691935740266441,True,0.033253051364055708,0.5665
8000,1000,20,45,0.044999999999999998,0.03379951228563171,0.059682837936223455,0.033253051364055708,0.21398862888896664,True,0.033253051364055708,0.5665
32000,1000,20,52,0.051999999999999998,0.039873036283777419,0.067555739319279981,0.028612847003834374,0.37900567931895879,True,0.033253051364055708,0.5665
128000,1000,20,47,0.047,0.035527105106384502,0.061939938081528451,0.020744784652296011,0.77448555257519214,True,0.033253051364055708,0.5665
