n_steps,n_streams,lags,theta_80_grid,theta_80_analytic,rho_80_grid,rho_80_analytic,ci_low,ci_high,rho_ci_low,rho_ci_high,ncp_at_theta_80_analytic,theta_80_grid_on_analytic,interpolation_bias,ci_covers_analytic,bootstrap_replicates,bootstrap_non_finite
2000,1000,20,0.051144794343726409,0.050920763034139789,0.10228958868745282,0.10184152606827958,0.049609778723832987,0.052491831213005678,0.099219557447665974,0.10498366242601136,20.960791833703901,0.05092754760725509,0.00013323785251917464,True,2000,0
8000,1000,20,0.025297092320187956,0.025559988264446335,0.050594184640375912,0.05111997652889267,0.024684958309534273,0.025915823210942449,0.049369916619068546,0.051831646421884897,20.960791833703905,0.025649620971187261,0.0035067585248309552,True,2000,0
32000,1000,20,0.013226253554653391,0.012792536576517939,0.026452507109306782,0.025585073153035879,0.012955537937969389,0.013490166033728433,0.025911075875938779,0.026980332067456866,20.960791833703905,0.01285763822535364,0.0050890336288114124,False,2000,0
128000,1000,20,0.0063475733804626965,0.0063978389809152382,0.012695146760925393,0.012795677961830476,0.0062197559180970892,0.006470947940719559,0.012439511836194178,0.012941895881439118,20.960791833703905,0.0064277692697725141,0.0046781872670691449,True,2000,0
