Gamma_target,Gamma_realised,attainable,Gamma,alpha,beta,omega,arm,arm_as_submitted,n_seeds,lambda_pht_iid,FPR_raw,FPR_raw_low,FPR_raw_high,FPR_sqrt,FPR_sqrt_low,FPR_sqrt_high,FPR_gamma,FPR_gamma_low,FPR_gamma_high,adwin_impl,river_version
1,1.1739130434782608,False,1.1739130434782608,0.080000000000000002,0,0.036799999999999999,reset,True,5000,41.45153911094868,0.14460000000000001,0.13135878422131919,0.15893174366339574,0.14460000000000001,0.13135878422131919,0.15893174366339574,0.14460000000000001,0.13135878422131919,0.15893174366339574,none,0.23.0
6.4444444444444446,6.4444444444444402,True,6.4444444444444402,0.080000000000000002,0.87066748687546025,0.0019733005249815915,reset,True,5000,41.45153911094868,0.74139999999999995,0.72387480598957143,0.75818446966779995,0.2482,0.23166204992760675,0.26551058631710689,0.034000000000000002,0.027580436513573649,0.041849462176007608,none,0.23.0
11.888888888888889,11.888888888888962,True,11.888888888888962,0.080000000000000002,0.88955104815199215,0.0012179580739203155,reset,True,5000,41.45153911094868,0.81259999999999999,0.79682779283657379,0.8274130090295998,0.28100000000000003,0.26372672544095616,0.29894526557410467,0.0276,0.021867120485280309,0.034782416297891763,none,0.23.0
17.333333333333336,17.333333333333339,True,17.333333333333339,0.080000000000000002,0.89677127575508631,0.00092914896979654936,reset,True,5000,41.45153911094868,0.83240000000000003,0.81725102321020715,0.84652902330391988,0.2928,0.27529121436317483,0.31094456891682787,0.0276,0.021867120485280309,0.034782416297891763,none,0.23.0
22.777777777777779,22.777777777777651,True,22.777777777777651,0.080000000000000002,0.90075900270619313,0.00076963989175227621,reset,True,5000,41.45153911094868,0.84179999999999999,0.82697203159780908,0.85557917146635631,0.3004,0.28274720923749053,0.31866525380637301,0.026599999999999999,0.020981826930600009,0.033670778304695621,none,0.23.0
28.222222222222221,28.222222222222214,True,28.222222222222214,0.080000000000000002,0.90334870668452893,0.00066605173261884425,reset,True,5000,41.45153911094868,0.84379999999999999,0.82904257841779239,0.85750248774212601,0.30559999999999998,0.28785206333347751,0.32394444375934345,0.025999999999999999,0.020451747529616777,0.033002698776952999,none,0.23.0
33.666666666666671,33.666666666666899,True,33.666666666666899,0.080000000000000002,0.90519306814858846,0.00059227727405646306,reset,True,5000,41.45153911094868,0.84560000000000002,0.83090676759598181,0.85923277535011411,0.30499999999999999,0.28726290299909629,0.3233354451649989,0.025000000000000001,0.019570198491595435,0.031887316267097905,none,0.23.0
39.111111111111114,39.111111111111377,True,39.111111111111377,0.080000000000000002,0.90658748647479204,0.00053650054100832015,reset,True,5000,41.45153911094868,0.8488,0.83422254247541217,0.86230718142388829,0.30499999999999999,0.28726290299909629,0.3233354451649989,0.022800000000000001,0.017639864828990201,0.029424400524374984,none,0.23.0
44.555555555555557,44.555555555555131,True,44.555555555555131,0.080000000000000002,0.90768682181279736,0.00049252712748810708,reset,True,5000,41.45153911094868,0.84760000000000002,0.83297887525413117,0.86115453078771775,0.30499999999999999,0.28726290299909629,0.3233354451649989,0.0224,0.017290335242094265,0.028975157492120339,none,0.23.0
50,49.999999999999396,True,49.999999999999396,0.080000000000000002,0.9085808000511808,0.00045676799795276948,reset,True,5000,41.45153911094868,0.84819999999999995,0.83360067085488443,0.86173089411569026,0.30359999999999998,0.28588833585296886,0.32191430814409921,0.022800000000000001,0.017639864828990201,0.029424400524374984,none,0.23.0
60,59.999999999999659,True,59.999999999999659,0.080000000000000002,0.90986061553399056,0.00040557537864037928,reset,True,5000,41.45153911094868,0.84660000000000002,0.83194271719013435,0.86019375730383807,0.30059999999999998,0.28294349931666324,0.31886835003677555,0.0218,0.016766928684527886,0.02830040512096086,none,0.23.0
