Gamma_target,Gamma_realised,attainable,Gamma,arm,c,n_seeds,adwin_impl,river_version,DetRate_CUSUM,ADD_CUSUM,SEM_CUSUM,n_preonset_leak_CUSUM,arm_CUSUM,DetRate_PHT,ADD_PHT,SEM_PHT,n_preonset_leak_PHT,arm_PHT,DetRate_ADWIN,ADD_ADWIN,SEM_ADWIN,n_preonset_leak_ADWIN,arm_ADWIN,DetRate_DDM,ADD_DDM,SEM_DDM,n_preonset_leak_DDM,arm_DDM,DetRate_EDDM,ADD_EDDM,SEM_EDDM,n_preonset_leak_EDDM,arm_EDDM
1,1.1739130434782608,False,1.1739130434782608,reset,1.5,5000,river,0.23.0,1,28.4818,0.054088942973587489,0,reset,0,NaN,NaN,0,reset,0.00020000000000000001,NaN,NaN,0,reset,0.0086,NaN,NaN,0,reset,0.76500000000000001,158.72575163398693,5.4588337547387775,0,reset
6.4444444444444446,6.4444444444444402,True,6.4444444444444402,reset,1.5,5000,river,0.23.0,1,28.522400000000001,0.076734214324511066,0,reset,0,NaN,NaN,0,reset,0.1928,NaN,NaN,0,reset,0.15540000000000001,NaN,NaN,0,reset,0.83720000000000006,190.41710463449593,6.044757749211974,0,reset
11.888888888888889,11.888888888888962,True,11.888888888888962,reset,1.5,5000,river,0.23.0,1,28.517199999999999,0.087616099159914668,0,reset,0.0014,NaN,NaN,0,reset,0.48880000000000001,NaN,NaN,0,reset,0.27979999999999999,NaN,NaN,0,reset,0.84860000000000002,214.34763139288239,6.57373217559336,0,reset
17.333333333333336,17.333333333333339,True,17.333333333333339,reset,1.5,5000,river,0.23.0,1,28.492799999999999,0.095223472064402265,0,reset,0.0022000000000000001,NaN,NaN,0,reset,0.65739999999999998,2491.64131426833,22.156291833728275,0,reset,0.36259999999999998,NaN,NaN,0,reset,0.86040000000000005,247.03649465364947,7.5513315038745157,0,reset
22.777777777777779,22.777777777777651,True,22.777777777777651,reset,1.5,5000,river,0.23.0,1,28.464200000000002,0.1011421953093762,0,reset,0.0047999999999999996,NaN,NaN,0,reset,0.74580000000000002,2344.5510860820596,20.46820295922543,0,reset,0.41920000000000002,NaN,NaN,0,reset,0.86080000000000001,269.12337360594796,8.2402264812591106,0,reset
28.222222222222221,28.222222222222214,True,28.222222222222214,reset,1.5,5000,river,0.23.0,1,28.490600000000001,0.10922519090393021,0,reset,0.0066,NaN,NaN,0,reset,0.80900000000000005,2256.3567367119899,19.439498404223993,0,reset,0.4582,NaN,NaN,0,reset,0.86460000000000004,297.89683090446448,9.1045751722722166,0,reset
33.666666666666671,33.666666666666899,True,33.666666666666899,reset,1.5,5000,river,0.23.0,1,28.498999999999999,0.11481950966625837,0,reset,0.0083999999999999995,NaN,NaN,0,reset,0.8448,2174.621212121212,18.809758472196435,0,reset,0.48520000000000002,NaN,NaN,0,reset,0.86360000000000003,301.15609078276981,8.9784545027269722,0,reset
39.111111111111114,39.111111111111377,True,39.111111111111377,reset,1.5,5000,river,0.23.0,1,28.511399999999998,0.12722253734303524,0,reset,0.0114,NaN,NaN,0,reset,0.86639999999999995,2121.7331486611265,18.412766471555315,0,reset,0.50939999999999996,1800.5445622300747,25.299502582353774,0,reset,0.86080000000000001,312.78461895910783,9.3219280206865935,0,reset
44.555555555555557,44.555555555555131,True,44.555555555555131,reset,1.5,5000,river,0.23.0,1,28.485399999999998,0.13080992839994984,0,reset,0.0126,NaN,NaN,0,reset,0.88119999999999998,2082.7258284157965,18.162529935965445,0,reset,0.53039999999999998,1807.3223981900453,24.708337007883934,0,reset,0.86040000000000005,330.32845188284517,9.6995373620325793,0,reset
50,49.999999999999396,True,49.999999999999396,reset,1.5,5000,river,0.23.0,1,28.4556,0.13501024304844428,0,reset,0.014200000000000001,NaN,NaN,0,reset,0.89359999999999995,2052.4001790510297,17.900173012662314,0,reset,0.54259999999999997,1821.1422779211205,24.697432054611777,0,reset,0.85819999999999996,341.41994872989977,9.9137634132895869,0,reset
60,59.999999999999659,True,59.999999999999659,reset,1.5,5000,river,0.23.0,1,28.457000000000001,0.14805603736423584,0,reset,0.017999999999999999,NaN,NaN,0,reset,0.90839999999999999,1990.4398943196829,17.585205437974125,0,reset,0.56679999999999997,1840.2427664079041,24.339724695670824,0,reset,0.85240000000000005,354.6595495072736,10.071401166332851,0,reset
75.555555555555557,75.555555555556765,True,75.555555555556765,reset,1.5,5000,river,0.23.0,1,28.428000000000001,0.15734574414327196,0,reset,0.021399999999999999,NaN,NaN,0,reset,0.92159999999999997,1938.1666666666667,17.232958787916662,0,reset,0.58560000000000001,1851.7865437158471,24.032735160601842,0,reset,0.85140000000000005,380.75757575757575,10.678074667244356,0,reset
91.111111111111114,91.111111111108841,True,91.111111111108841,reset,1.5,5000,river,0.23.0,1,28.422000000000001,0.16693730320093228,0,reset,0.024,NaN,NaN,0,reset,0.9284,1902.6622145626884,17.085482647724067,0,reset,0.60580000000000001,1858.3621657312644,23.451296075375524,0,reset,0.84299999999999997,402.37651245551604,11.124623610877709,0,reset
106.66666666666666,106.6666666666668,True,106.6666666666668,reset,1.5,5000,river,0.23.0,1,28.395600000000002,0.17508392309975238,0,reset,0.026599999999999999,NaN,NaN,0,reset,0.93200000000000005,1880.2223175965664,16.905319202888005,0,reset,0.60760000000000003,1877.2475312705728,23.739248032568774,0,reset,0.83660000000000001,418.67367917762374,11.290203656202532,0,reset
122.22222222222223,122.22222222222229,True,122.22222222222229,reset,1.5,5000,river,0.23.0,1,28.329799999999999,0.1780066470444292,0,reset,0.028000000000000001,NaN,NaN,0,reset,0.93720000000000003,1868.36406316688,16.787787208564527,0,reset,0.61399999999999999,1883.5234527687296,23.451018012404948,0,reset,0.82940000000000003,432.22305280925968,11.540917698125213,0,reset
