c,arm,Gamma,n_seeds,adwin_impl_Data,adwin_impl_Concept,river_version,DetRate_Data,DetRate_Data_low,DetRate_Data_high,ADD_Data,SEM_Data,n_preonset_leak_Data,DetRate_Concept,DetRate_Concept_low,DetRate_Concept_high,ADD_Concept,SEM_Concept,n_preonset_leak_Concept,Speedup
0,warmstart,11.58,5000,local,river,0.23.0,0.029000000000000001,0.024698062696600596,0.034025112535643227,NaN,NaN,5,0.00059999999999999995,0.00020407465419434642,0.001762706048528709,NaN,NaN,1,NaN
0.5,warmstart,11.58,5000,local,river,0.23.0,0.088200000000000001,0.080652354429916071,0.096379924892032995,NaN,NaN,5,1,0.99923229805494307,1,166.11680000000001,0.8528751324502315,1,NaN
1,warmstart,11.58,5000,local,river,0.23.0,0.66839999999999999,0.65522574761754415,0.68131569036736062,1456.8222621184918,11.830423838104638,5,1,0.99923229805494307,1,81.828800000000001,0.29723347407719741,1,17.803294953836446
1.5,warmstart,11.58,5000,local,river,0.23.0,0.96560000000000001,0.9601801233883408,0.97030499256042202,729.80033140016565,5.0390636649519376,5,1,0.99923229805494307,1,62.955199999999998,0.24537888782859865,1,11.592375711619782
2,warmstart,11.58,5000,local,river,0.23.0,0.99280000000000002,0.99004874896040662,0.99479460400254527,402.9685737308622,3.0700310408405715,5,1,0.99923229805494307,1,53.886400000000002,0.19054862636083209,1,7.478112728459541
3,warmstart,11.58,5000,local,river,0.23.0,0.99880000000000002,0.99738422370737023,0.99944991683224083,171.15178213856629,1.3847148737319304,5,1,0.99923229805494307,1,48.331200000000003,0.090813992930605145,1,3.5412276570531307
5,warmstart,11.58,5000,local,river,0.23.0,1,0.99923229805494307,1,60.159599999999998,0.68860998073510371,5,1,0.99923229805494307,1,47.179200000000002,0.033770659928405312,1,1.2751297181808932
