Gamma_target,Gamma_realised,attainable,Gamma,arm,c,n_seeds,adwin_impl,river_version,FPR_CUSUM,DetRate_CUSUM,ADD_CUSUM,SEM_CUSUM,n_preonset_leak_CUSUM,arm_CUSUM,FPR_PHT,DetRate_PHT,ADD_PHT,SEM_PHT,n_preonset_leak_PHT,arm_PHT,FPR_ADWIN,DetRate_ADWIN,ADD_ADWIN,SEM_ADWIN,n_preonset_leak_ADWIN,arm_ADWIN
1,1.1739130434782608,False,1.1739130434782608,reset,2,1000,local,0.23.0,0.083000000000000004,1,45.082000000000001,0.64777100583462366,0,reset,0.30499999999999999,0.86399999999999999,3336.6782407407409,97.025306869203547,0,reset,0.057000000000000002,0.91100000000000003,829.80351262349063,57.446031115871854,0,reset
6.4444444444444446,6.4444444444444402,True,6.4444444444444402,reset,2,1000,local,0.23.0,0.029000000000000001,0.99399999999999999,347.26257545271631,7.2001604053665273,0,reset,0.098000000000000004,0.13500000000000001,NaN,NaN,0,reset,0.065000000000000002,0.158,NaN,NaN,0,reset
11.888888888888889,11.888888888888962,True,11.888888888888962,reset,2,1000,local,0.23.0,0.033000000000000002,0.98199999999999998,738.68533604887989,28.666809409836155,0,reset,0.079000000000000001,0.094,NaN,NaN,0,reset,0.079000000000000001,0.12,NaN,NaN,0,reset
17.333333333333336,17.333333333333339,True,17.333333333333339,reset,2,1000,local,0.23.0,0.034000000000000002,0.96899999999999997,1059.763673890609,28.365502423558404,0,reset,0.070999999999999994,0.078,NaN,NaN,0,reset,0.090999999999999998,0.122,NaN,NaN,0,reset
22.777777777777779,22.777777777777651,True,22.777777777777651,reset,2,1000,local,0.23.0,0.034000000000000002,0.96099999999999997,1443.7845993756503,42.525974008673266,0,reset,0.070999999999999994,0.073999999999999996,NaN,NaN,0,reset,0.10000000000000001,0.121,NaN,NaN,0,reset
28.222222222222221,28.222222222222214,True,28.222222222222214,reset,2,1000,local,0.23.0,0.036999999999999998,0.94899999999999995,1769.5089567966281,49.57018069008452,0,reset,0.068000000000000005,0.072999999999999995,NaN,NaN,0,reset,0.108,0.121,NaN,NaN,0,reset
33.666666666666671,33.666666666666899,True,33.666666666666899,reset,2,1000,local,0.23.0,0.036999999999999998,0.94199999999999995,2118.975583864119,59.755786594557755,0,reset,0.067000000000000004,0.067000000000000004,NaN,NaN,0,reset,0.11600000000000001,0.13100000000000001,NaN,NaN,0,reset
39.111111111111114,39.111111111111377,True,39.111111111111377,reset,2,1000,local,0.23.0,0.035999999999999997,0.92400000000000004,2349.0790043290044,63.835861819299332,0,reset,0.060999999999999999,0.064000000000000001,NaN,NaN,0,reset,0.11600000000000001,0.13300000000000001,NaN,NaN,0,reset
44.555555555555557,44.555555555555131,True,44.555555555555131,reset,2,1000,local,0.23.0,0.035999999999999997,0.91000000000000003,2570.7296703296702,67.450120876854328,0,reset,0.058999999999999997,0.059999999999999998,NaN,NaN,0,reset,0.12,0.13500000000000001,NaN,NaN,0,reset
50,49.999999999999396,True,49.999999999999396,reset,2,1000,local,0.23.0,0.036999999999999998,0.89500000000000002,2741.3150837988828,67.661250479959392,0,reset,0.053999999999999999,0.058999999999999997,NaN,NaN,0,reset,0.124,0.14000000000000001,NaN,NaN,0,reset
