source,ticker,c,arm,n_onsets,lambda_star,FPR_achieved,DetRate,CI_low,CI_high,ADD,SEM,add_reliable
Real_BTC,BTC,0.10000000000000001,Concept,106,11.231463134765626,0.04716981132075472,0.41509433962264153,0.32586888065797293,0.51025856891110732,174.04545454545453,15.147891956598297,False
Real_BTC,BTC,0.10000000000000001,Eco,106,34.180670410156253,0.04716981132075472,0.52830188679245282,0.43395173468019432,0.62067244879677885,258.82142857142856,11.991655983593883,False
Real_BTC,BTC,0.14999999999999999,Concept,106,11.231463134765626,0.04716981132075472,0.55660377358490565,0.46169918065155957,0.647549186302387,179.47457627118644,17.238102341189148,False
Real_BTC,BTC,0.14999999999999999,Eco,106,34.180670410156253,0.04716981132075472,0.65094339622641506,0.55636588705482359,0.73496309148903372,235.05797101449275,12.081027358487969,False
Real_BTC,BTC,0.20000000000000001,Concept,106,11.231463134765626,0.04716981132075472,0.839622641509434,0.75810040339080709,0.89738979833287214,208.12359550561797,14.492429275520067,False
Real_BTC,BTC,0.20000000000000001,Eco,106,34.180670410156253,0.04716981132075472,0.79245283018867929,0.70569635125160057,0.85875354467712328,210.48809523809524,11.695839304768851,False
Real_BTC,BTC,0.25,Concept,106,11.231463134765626,0.04716981132075472,0.98113207547169812,0.93380072788814128,0.99481039122040427,161.26923076923077,11.301273940216882,True
Real_BTC,BTC,0.25,Eco,106,34.180670410156253,0.04716981132075472,0.89622641509433965,0.82367815661589427,0.94106041206173152,186.08421052631579,10.370976582291927,False
Real_BTC,BTC,0.34999999999999998,Concept,106,11.231463134765626,0.04716981132075472,1,0.96502724142652774,1,101.38679245283019,6.0425624981536963,True
Real_BTC,BTC,0.34999999999999998,Eco,106,34.180670410156253,0.04716981132075472,1,0.96502724142652774,1,136.87735849056602,6.9936998403151218,True
Real_BTC,BTC,0.5,Concept,106,11.231463134765626,0.04716981132075472,1,0.96502724142652774,1,70.169811320754718,3.8073365991223098,True
Real_BTC,BTC,0.5,Eco,106,34.180670410156253,0.04716981132075472,1,0.96502724142652774,1,88.311320754716988,3.1944338830709995,True
Real_BTC,BTC,0.59999999999999998,Concept,106,11.231463134765626,0.04716981132075472,1,0.96502724142652774,1,60.066037735849058,2.8133229816972261,True
Real_BTC,BTC,0.59999999999999998,Eco,106,34.180670410156253,0.04716981132075472,1,0.96502724142652774,1,71.688679245283012,2.3019781611756391,True
