nu,n_streams,n_steps,lags,reject_rate_squared,wilson_low_squared,wilson_high_squared,reject_rate_raw,wilson_low_raw,wilson_high_raw,nominal_level,contains_nominal_squared,contains_nominal_raw
5,1000,8000,20,0.087999999999999995,0.071980997942320851,0.10717225104977657,0.057000000000000002,0.044253440358715937,0.07313706765948591,0.050000000000000003,False,True
6,1000,8000,20,0.079000000000000001,0.06384721576082919,0.097374914884008235,0.042999999999999997,0.032078653411713363,0.057419003844084014,0.050000000000000003,False,True
7,1000,8000,20,0.058000000000000003,0.045133278234998242,0.074249576266232506,0.057000000000000002,0.044253440358715937,0.07313706765948591,0.050000000000000003,True,True
8.5,1000,8000,20,0.060999999999999999,0.047779775126033701,0.077580118824283673,0.042000000000000003,0.031220885546165447,0.056284425226603055,0.050000000000000003,True,True
12,1000,8000,20,0.048000000000000001,0.036393301020807914,0.063066088650133925,0.042000000000000003,0.031220885546165447,0.056284425226603055,0.050000000000000003,True,True
30,1000,8000,20,0.059999999999999998,0.046896472675931958,0.07647107479135655,0.045999999999999999,0.034662492763264982,0.06081220394161907,0.050000000000000003,True,True
