regime,etf,seed,alpha,beta,gamma_penalty,p_data,p_concept,error_rate,classifier_version
Cal. A,BWX,1,0.040000000000000001,0.92000000000000004,3.9200000000000048,4.4581743108426895e-40,0.83349703795909047,0.4995,0.23.0
Cal. A,BWX,2,0.040000000000000001,0.92000000000000004,3.9200000000000048,2.4398589122298947e-70,0.84320538479908058,0.50537500000000002,0.23.0
Cal. A,BWX,3,0.040000000000000001,0.92000000000000004,3.9200000000000048,3.5791552384595303e-136,0.82858378431088653,0.49987500000000001,0.23.0
Cal. A,BWX,4,0.040000000000000001,0.92000000000000004,3.9200000000000048,2.6190212660561356e-46,0.15386395329688021,0.50812500000000005,0.23.0
Cal. A,BWX,5,0.040000000000000001,0.92000000000000004,3.9200000000000048,6.7998664207989313e-28,0.88798489234680034,0.50324999999999998,0.23.0
Cal. A,BWX,6,0.040000000000000001,0.92000000000000004,3.9200000000000048,8.0719656318788086e-50,0.23585892248243162,0.50162499999999999,0.23.0
Cal. A,BWX,7,0.040000000000000001,0.92000000000000004,3.9200000000000048,1.8098551617257698e-38,0.5836899356689812,0.48999999999999999,0.23.0
Cal. A,BWX,8,0.040000000000000001,0.92000000000000004,3.9200000000000048,4.025191588687188e-99,0.304402525969803,0.50424999999999998,0.23.0
Cal. A,BWX,9,0.040000000000000001,0.92000000000000004,3.9200000000000048,3.780508427059617e-29,0.24619565447352376,0.49725000000000003,0.23.0
Cal. A,BWX,10,0.040000000000000001,0.92000000000000004,3.9200000000000048,2.6236790814778474e-170,0.98859248593119131,0.49825000000000003,0.23.0
Cal. A,BWX,11,0.040000000000000001,0.92000000000000004,3.9200000000000048,6.5197146651468289e-50,0.95571603680905015,0.50062499999999999,0.23.0
Cal. A,BWX,12,0.040000000000000001,0.92000000000000004,3.9200000000000048,5.2591303570027998e-18,0.024948395558224229,0.50187499999999996,0.23.0
Cal. A,BWX,13,0.040000000000000001,0.92000000000000004,3.9200000000000048,6.4190786481835374e-106,0.82043527984861586,0.49975000000000003,0.23.0
Cal. A,BWX,14,0.040000000000000001,0.92000000000000004,3.9200000000000048,7.1867093191524512e-22,0.88642211809782001,0.49325000000000002,0.23.0
Cal. A,BWX,15,0.040000000000000001,0.92000000000000004,3.9200000000000048,9.4303639038933235e-36,0.78073774371550653,0.49149999999999999,0.23.0
Cal. A,BWX,16,0.040000000000000001,0.92000000000000004,3.9200000000000048,1.4287407993072368e-63,0.69511890299251189,0.50237500000000002,0.23.0
Cal. A,BWX,17,0.040000000000000001,0.92000000000000004,3.9200000000000048,4.4268615923728623e-102,0.63297539145633708,0.49025000000000002,0.23.0
Cal. A,BWX,18,0.040000000000000001,0.92000000000000004,3.9200000000000048,1.6570361741181915e-105,0.31951634038402765,0.50187499999999996,0.23.0
Cal. A,BWX,19,0.040000000000000001,0.92000000000000004,3.9200000000000048,4.6023433142041848e-74,0.44586797065533057,0.50087499999999996,0.23.0
Cal. A,BWX,20,0.040000000000000001,0.92000000000000004,3.9200000000000048,1.971805821452261e-24,0.54096086188472015,0.50700000000000001,0.23.0
Cal. A,BWX,21,0.040000000000000001,0.92000000000000004,3.9200000000000048,1.1261164580783915e-102,0.69489593118931414,0.4975,0.23.0
Cal. A,BWX,22,0.040000000000000001,0.92000000000000004,3.9200000000000048,2.0764210865109054e-109,0.80031057623362423,0.5,0.23.0
Cal. A,BWX,23,0.040000000000000001,0.92000000000000004,3.9200000000000048,2.0943315576519495e-124,0.95210167200918427,0.49625000000000002,0.23.0
Cal. A,BWX,24,0.040000000000000001,0.92000000000000004,3.9200000000000048,1.0703929124592412e-151,0.30612148842728526,0.50937500000000002,0.23.0
Cal. A,BWX,25,0.040000000000000001,0.92000000000000004,3.9200000000000048,6.983126500439982e-69,0.036862289394302653,0.486375,0.23.0
Cal. A,BWX,26,0.040000000000000001,0.92000000000000004,3.9200000000000048,6.2556777535352226e-20,0.66202989663336442,0.50024999999999997,0.23.0
