phi,arm,n_ols,N_seeds,lb_reject_rate,lb_ci_low,lb_ci_high,fpr_concept,fpr_ci_low,fpr_ci_high
0,NAIVE,,10000,0.050900000000000001,0.046761955957285939,0.055382951379255765,0.053499999999999999,0.049258495902061987,0.058084414642952199
0,OLS-1000,1000,10000,0.053900000000000003,0.049642841383597439,0.05849976196272022,0.054800000000000001,0.05050786586430546,0.059434046284944975
0,OLS-125,125,10000,0.049000000000000002,0.044939516707863926,0.053406849822486356,0.047899999999999998,0.043885215617063954,0.05226199570970181
0,OLS-250,250,10000,0.048500000000000001,0.044460214954962919,0.052886535573758033,0.054600000000000003,0.05031560891015105,0.059226456838447655
0,OLS-500,500,10000,0.051700000000000003,0.047529800932198329,0.056214492006950292,0.055599999999999997,0.051277058635897918,0.06026423911595942
0,ORACLE,,10000,0.050900000000000001,0.046761955957285939,0.055382951379255765,0.053499999999999999,0.049258495902061987,0.058084414642952199
0.02,NAIVE,,10000,0.068500000000000005,0.063712966052583808,0.073618424541310096,0.064000000000000001,0.059368353696983914,0.068966492882246086
0.02,OLS-1000,1000,10000,0.0557,0.051373226116689111,0.060367994835494099,0.055199999999999999,0.050892429427894396,0.059849175522659483
0.02,OLS-125,125,10000,0.049399999999999999,0.045323045605525511,0.05382301372612823,0.048800000000000003,0.04474778133939989,0.053198738790298662
0.02,OLS-250,250,10000,0.050900000000000001,0.046761955957285939,0.055382951379255765,0.054899999999999997,0.050604000564241192,0.0595378347853351
0.02,OLS-500,500,10000,0.053499999999999999,0.049258495902061987,0.058084414642952199,0.058599999999999999,0.054163804894883746,0.063375188866749532
0.02,ORACLE,,10000,0.049500000000000002,0.045418939865401187,0.053927042666578412,0.053699999999999998,0.049450660112119696,0.05829209683354622
0.050000000000000003,NAIVE,,10000,0.20449999999999999,0.19670893897526617,0.21251800406180363,0.083599999999999994,0.078333656827215478,0.089186137015883973
0.050000000000000003,OLS-1000,1000,10000,0.051499999999999997,0.047337812436656745,0.056006634101840147,0.0557,0.051373226116689111,0.060367994835494099
0.050000000000000003,OLS-125,125,10000,0.049399999999999999,0.045323045605525511,0.05382301372612823,0.049399999999999999,0.045323045605525511,0.05382301372612823
0.050000000000000003,OLS-250,250,10000,0.047699999999999999,0.043693589135578498,0.052053775790535536,0.052400000000000002,0.04820190179081859,0.056941853550611092
0.050000000000000003,OLS-500,500,10000,0.048599999999999997,0.044556065508316638,0.052990608220730172,0.057000000000000002,0.05262376832268912,0.061716454233730338
0.050000000000000003,ORACLE,,10000,0.047500000000000001,0.043501982834794957,0.051845535690667348,0.052999999999999999,0.048778160614320124,0.057565133929064732
0.074999999999999997,NAIVE,,10000,0.49840000000000001,0.48860272635910618,0.50819850243567988,0.1134,0.10733319804978393,0.11976370949042321
0.074999999999999997,OLS-1000,1000,10000,0.055199999999999999,0.050892429427894396,0.059849175522659483,0.057299999999999997,0.052912449886274027,0.062027542271123018
0.074999999999999997,OLS-125,125,10000,0.050599999999999999,0.046474089659734416,0.055071048075829687,0.049599999999999998,0.045514838911845511,0.054031066820459946
0.074999999999999997,OLS-250,250,10000,0.051799999999999999,0.047625801936871992,0.056318414202602488,0.054600000000000003,0.05031560891015105,0.059226456838447655
0.074999999999999997,OLS-500,500,10000,0.049599999999999998,0.045514838911845511,0.054031066820459946,0.0574,0.053008684872103438,0.062131230485619464
0.074999999999999997,ORACLE,,10000,0.051999999999999998,0.047817817398564257,0.056526245141561952,0.055300000000000002,0.050988580601897746,0.059952947548982005
0.10000000000000001,NAIVE,,10000,0.80759999999999998,0.79975656794380734,0.81520719625855242,0.13689999999999999,0.13030206608708161,0.14377679352970368
0.10000000000000001,OLS-1000,1000,10000,0.052499999999999998,0.048297933957961212,0.057045744583794328,0.0521,0.047913831831174022,0.056630153909278058
0.10000000000000001,OLS-125,125,10000,0.048800000000000003,0.04474778133939989,0.053198738790298662,0.047199999999999999,0.043214611487335949,0.051533137437148754
0.10000000000000001,OLS-250,250,10000,0.048099999999999997,0.044076862159560894,0.052470195567856599,0.051299999999999998,0.047145842042160484,0.055798758095684679
0.10000000000000001,OLS-500,500,10000,0.046100000000000002,0.042161314109889603,0.050387279611010596,0.050799999999999998,0.04666599590665272,0.055278988229563113
0.10000000000000001,ORACLE,,10000,0.0465,0.042544258319017675,0.050804028203185983,0.049000000000000002,0.044939516707863926,0.053406849822486356
0.125,NAIVE,,10000,0.97009999999999996,0.96657720177986794,0.97326176295202171,0.1681,0.1608983636337315,0.17555653448472364
0.125,OLS-1000,1000,10000,0.055,0.050700139398540928,0.059641619151361236,0.052200000000000003,0.04800985071545024,0.056734058225327712
0.125,OLS-125,125,10000,0.049700000000000001,0.045610742731171307,0.054135086201460021,0.042799999999999998,0.039005358842864282,0.046945769267282375
0.125,OLS-250,250,10000,0.049399999999999999,0.045323045605525511,0.05382301372612823,0.050900000000000001,0.046761955957285939,0.055382951379255765
0.125,OLS-500,500,10000,0.050700000000000002,0.046570040469835497,0.055175020466054478,0.053600000000000002,0.049354575868798316,0.058188257876541742
0.125,ORACLE,,10000,0.0528,0.048586056834707597,0.057357391308025543,0.049000000000000002,0.044939516707863926,0.053406849822486356
0.14999999999999999,NAIVE,,10000,0.99790000000000001,0.99679160612746409,0.99862600829501613,0.20760000000000001,0.199763620910483,0.21566094133668867
0.14999999999999999,OLS-1000,1000,10000,0.053900000000000003,0.049642841383597439,0.05849976196272022,0.051999999999999998,0.047817817398564257,0.056526245141561952
0.14999999999999999,OLS-125,125,10000,0.052600000000000001,0.048393970528870497,0.057149631213210914,0.047600000000000003,0.043597783455069775,0.051949658270718402
0.14999999999999999,OLS-250,250,10000,0.049000000000000002,0.044939516707863926,0.053406849822486356,0.049799999999999997,0.045706651309759511,0.054239100823197675
0.14999999999999999,OLS-500,500,10000,0.052200000000000003,0.04800985071545024,0.056734058225327712,0.053999999999999999,0.049738938389422546,0.058603588157220957
0.14999999999999999,ORACLE,,10000,0.052699999999999997,0.048490011491712198,0.05725351345069507,0.049099999999999998,0.045035391683213966,0.053510898047462174
