Gamma,FPR_raw,FPR_recalib
1.1739130434782608,0.05333333333333334,0.03
6.44444444444444,0.6833333333333333,0.04
11.888888888888962,0.79,0.06666666666666667
17.33333333333334,0.81,0.08
22.77777777777765,0.83,0.1
28.222222222222214,0.85,0.11666666666666667
33.6666666666669,0.8633333333333333,0.12
39.11111111111138,0.86,0.11666666666666667
44.55555555555513,0.8633333333333333,0.11666666666666667
49.999999999999396,0.8633333333333333,0.11666666666666667
59.99999999999966,0.87,0.12
75.55555555555677,0.8666666666666667,0.12666666666666668
91.11111111110884,0.87,0.11666666666666667
106.6666666666668,0.87,0.11333333333333333
122.22222222222229,0.87,0.11333333333333333
137.77777777777555,0.8733333333333333,0.11333333333333333
153.3333333333353,0.87,0.11
168.88888888888508,0.8733333333333333,0.10666666666666667
184.44444444444062,0.8766666666666667,0.10666666666666667
199.99999999999488,0.8733333333333333,0.10666666666666667
