Gamma,FPR_raw,FPR_sqrt,FPR_gamma
1.1739130434782608,0.02666666666666667,0.023333333333333334,0.016666666666666666
6.44444444444444,0.62,0.16333333333333333,0.01
11.888888888888962,0.6933333333333334,0.25333333333333335,0.01
17.33333333333334,0.7333333333333333,0.2866666666666667,0.016666666666666666
22.77777777777765,0.7633333333333333,0.31333333333333335,0.01
28.222222222222214,0.76,0.30666666666666664,0.01
33.6666666666669,0.7833333333333333,0.31333333333333335,0.01
39.11111111111138,0.7933333333333333,0.32,0.006666666666666667
44.55555555555513,0.81,0.32,0.006666666666666667
49.999999999999396,0.8133333333333334,0.31666666666666665,0.006666666666666667
59.99999999999966,0.8166666666666667,0.32,0.01
75.55555555555677,0.8233333333333334,0.32666666666666666,0.01
91.11111111110884,0.8266666666666667,0.33,0.01
106.6666666666668,0.83,0.32666666666666666,0.01
122.22222222222229,0.83,0.3233333333333333,0.01
137.77777777777555,0.8266666666666667,0.32,0.01
153.3333333333353,0.8266666666666667,0.3233333333333333,0.006666666666666667
168.88888888888508,0.8266666666666667,0.32,0.006666666666666667
184.44444444444062,0.8233333333333334,0.32,0.0033333333333333335
199.99999999999488,0.8233333333333334,0.31333333333333335,0.0033333333333333335
