gamma_lev,alpha_sym,persistence,omega,n_seeds,concept_arm,data_arm,fp_data,fp_concept,lb_reject_data,lb_reject_concept,fpr_data,fpr_concept,lb_data_pct,lb_concept_pct,fp_data_ci_low,fp_data_ci_high,fp_concept_ci_low,fp_concept_ci_high,lb_reject_data_ci_low,lb_reject_data_ci_high,lb_reject_concept_ci_low,lb_reject_concept_ci_high,ci_data,ci_concept,deff_within_cell,lb_data_binom_p,lb_concept_binom_p
0,0.050000000000000003,0.85000000000000009,0.0059999999999999967,10000,expA_concept_indep,expA,0.034599999999999999,0.080600000000000005,0.054100000000000002,0.0521,3.46,8.0600000000000005,5.4100000000000001,5.21,0.031192827397953683,0.038364598285472083,0.07542423209623754,0.086097865737085985,0.049835039627169592,0.058707410119799783,0.047913831831174022,0.056630153909278058,0.35821829956606072,0.53355088175730714,1,0.063067834177318899,0.33521271628171984
0.02,0.060000000000000005,0.8600000000000001,0.0055999999999999965,10000,expA_concept_indep,expA,0.035099999999999999,0.0785,0.054300000000000001,0.051400000000000001,3.5099999999999998,7.8499999999999996,5.4299999999999997,5.1400000000000006,0.031667825248973859,0.038889216436081224,0.073388926783396924,0.083934783843083449,0.050027254754326837,0.058915041393294267,0.047241824970550322,0.055902698367620712,0.36070385412967237,0.52715529059281951,1,0.051116220147088054,0.52058101562742554
0.040000000000000001,0.070000000000000007,0.87000000000000011,0.0051999999999999954,10000,expA_concept_indep,expA,0.039899999999999998,0.079200000000000007,0.055899999999999998,0.049399999999999999,3.9899999999999998,7.9200000000000008,5.5899999999999999,4.9399999999999995,0.036237221863908251,0.043916133436788338,0.074067240698382747,0.084655932330378686,0.051565573220770801,0.060575494132064138,0.045323045605525511,0.05382301372612823,0.38361956986577206,0.52929929735075221,1,0.0077643688358099601,0.80077825662937685
0.059999999999999998,0.080000000000000002,0.88,0.0047999999999999996,10000,expA_concept_indep,expA,0.047600000000000003,0.080699999999999994,0.058099999999999999,0.051900000000000002,4.7600000000000007,8.0700000000000003,5.8099999999999996,5.1900000000000004,0.043597783455069775,0.051949658270718402,0.075521178370485095,0.086200842663164287,0.053682437969896135,0.062856939790107827,0.047721807429738479,0.056422331910061872,0.41732004071695378,0.53385273101858344,1,0.00028697282122806041,0.38326674641105157
0.080000000000000002,0.089999999999999997,0.89000000000000001,0.0043999999999999994,10000,expA_concept_indep,expA,0.059799999999999999,0.080500000000000002,0.059999999999999998,0.049700000000000001,5.9799999999999995,8.0500000000000007,6,4.9699999999999998,0.055319468121093569,0.064618604044450093,0.075327288246283902,0.085994886386713765,0.055512130389364867,0.064825788176830518,0.045610742731171307,0.054135086201460021,0.46474720519439383,0.53324878959074995,1,8.4245985890053901e-06,0.90868369791138082
0.10000000000000001,0.10000000000000001,0.90000000000000002,0.0039999999999999992,10000,expA_concept_indep,expA,0.074099999999999999,0.079899999999999999,0.065000000000000002,0.049099999999999998,7.4100000000000001,7.9900000000000002,6.5,4.9100000000000001,0.069128122420068397,0.07939896739207393,0.074745676288184557,0.085376959142857908,0.060333261979173609,0.07000081660331503,0.045035391683213966,0.053510898047462174,0.51338977814522169,0.5314311123598241,1,4.2720365925804504e-11,0.69654700257308
0.12,0.11,0.91000000000000003,0.003599999999999999,10000,expA_concept_indep,expA,0.088099999999999998,0.076700000000000004,0.070000000000000007,0.0465,8.8100000000000005,7.6700000000000008,7.0000000000000009,4.6500000000000004,0.082701656688919961,0.093814681168843422,0.071645260221053358,0.082079832799561464,0.065162564120876898,0.075167674477904983,0.042544258319017675,0.050804028203185983,0.55554294075615784,0.52158509351399218,1,3.5391195186890412e-18,0.11335344574001796
0.14000000000000001,0.12000000000000001,0.92000000000000004,0.0031999999999999984,10000,expA_concept_indep,expA,0.1028,0.084699999999999998,0.077100000000000002,0.0516,10.280000000000001,8.4699999999999989,7.71,5.1600000000000001,0.096999351655652738,0.10890569665001276,0.079400971500642847,0.090317977546041123,0.072032669965901561,0.082492115856016693,0.047433804428009561,0.056110565310813203,0.59524706287053619,0.5457321099733824,1,5.9747395911172893e-31,0.46280976474303565
0.16,0.13,0.93000000000000005,0.0027999999999999982,10000,expA_concept_indep,expA,0.11749999999999999,0.083199999999999996,0.086499999999999994,0.046800000000000001,11.75,8.3200000000000003,8.6499999999999986,4.6799999999999997,0.11133500132024066,0.1239587574333269,0.077945611332200779,0.088774489709595214,0.081148075622246768,0.092169491030302753,0.042831521462622445,0.051116534660558814,0.63114967321547433,0.54132120115140503,1,1.4239354214766535e-52,0.14829477807130415
0.17999999999999999,0.14000000000000001,0.94000000000000006,0.0023999999999999976,10000,expA_concept_indep,expA,0.13150000000000001,0.082500000000000004,0.10009999999999999,0.048800000000000003,13.15,8.25,10.01,4.8799999999999999,0.12501763646775332,0.13826537033143532,0.077266621241936562,0.088054017397578399,0.094370181787148108,0.10613694010971901,0.04474778133939989,0.053198738790298662,0.66237488811095491,0.53924494434347736,1,3.1690992063981825e-92,0.59775001882851964
0.20000000000000001,0.15000000000000002,0.95000000000000007,0.0019999999999999974,10000,expA_concept_indep,expA,0.14810000000000001,0.078299999999999995,0.1166,0.052499999999999998,14.81,7.8299999999999992,11.66,5.25,0.14127338010499871,0.15519687794828349,0.073195145363636069,0.083728718862192561,0.11045634170459838,0.12303810824603641,0.048297933957961212,0.057045744583794328,0.6961902066418344,0.5265404571122716,1,3.1170675629917596e-152,0.25129621770766608
0.22,0.16,0.96000000000000008,0.001599999999999997,10000,expA_concept_indep,expA,0.16009999999999999,0.077299999999999994,0.14069999999999999,0.053699999999999998,16.009999999999998,7.7299999999999995,14.069999999999999,5.3700000000000001,0.1530435519484678,0.1674174901439181,0.072226390314545363,0.082698241908024606,0.13402285603450767,0.1476530851946605,0.049450660112119696,0.05829209683354622,0.71872959476008769,0.52345105400218639,1,3.1726485892800355e-260,0.089574892156448899
