gamma_lev,arm,n_seeds,n_eff,fp_concept,fpr_concept,fp_concept_ci_low,fp_concept_ci_high,lb_reject_concept,lb_concept_pct,n_identity_seeds,n_distinct_e_bin_digests,supports_published_claim
0,expA,10000,10000,0.080500000000000002,8.0500000000000007,0.075327288246283902,0.085994886386713765,0.050299999999999997,5.0300000000000002,50,50,False
0.02,expA,10000,10000,0.080500000000000002,8.0500000000000007,0.075327288246283902,0.085994886386713765,0.050299999999999997,5.0300000000000002,50,50,False
0.040000000000000001,expA,10000,10000,0.080500000000000002,8.0500000000000007,0.075327288246283902,0.085994886386713765,0.050299999999999997,5.0300000000000002,50,50,False
0.059999999999999998,expA,10000,10000,0.080500000000000002,8.0500000000000007,0.075327288246283902,0.085994886386713765,0.050299999999999997,5.0300000000000002,50,50,False
0.080000000000000002,expA,10000,10000,0.080500000000000002,8.0500000000000007,0.075327288246283902,0.085994886386713765,0.050299999999999997,5.0300000000000002,50,50,False
0.10000000000000001,expA,10000,10000,0.080500000000000002,8.0500000000000007,0.075327288246283902,0.085994886386713765,0.050299999999999997,5.0300000000000002,50,50,False
0.12,expA,10000,10000,0.080500000000000002,8.0500000000000007,0.075327288246283902,0.085994886386713765,0.050299999999999997,5.0300000000000002,50,50,False
0.14000000000000001,expA,10000,10000,0.080500000000000002,8.0500000000000007,0.075327288246283902,0.085994886386713765,0.050299999999999997,5.0300000000000002,50,50,False
0.16,expA,10000,10000,0.080500000000000002,8.0500000000000007,0.075327288246283902,0.085994886386713765,0.050299999999999997,5.0300000000000002,50,50,False
0.17999999999999999,expA,10000,10000,0.080500000000000002,8.0500000000000007,0.075327288246283902,0.085994886386713765,0.050299999999999997,5.0300000000000002,50,50,False
0.20000000000000001,expA,10000,10000,0.080500000000000002,8.0500000000000007,0.075327288246283902,0.085994886386713765,0.050299999999999997,5.0300000000000002,50,50,False
0.22,expA,10000,10000,0.080500000000000002,8.0500000000000007,0.075327288246283902,0.085994886386713765,0.050299999999999997,5.0300000000000002,50,50,False
0.23999999999999999,expA,10000,10000,0.080500000000000002,8.0500000000000007,0.075327288246283902,0.085994886386713765,0.050299999999999997,5.0300000000000002,50,50,False
0.26000000000000001,expA,10000,10000,0.080500000000000002,8.0500000000000007,0.075327288246283902,0.085994886386713765,0.050299999999999997,5.0300000000000002,50,50,False
0.28000000000000003,expA,10000,10000,0.080500000000000002,8.0500000000000007,0.075327288246283902,0.085994886386713765,0.050299999999999997,5.0300000000000002,50,50,False
