Gamma,ADD_Data,SEM_Data,ADD_Concept,SEM_Concept
1.1739130434782608,37.827500000000001,0.16080068213474719,24,0
11.473684210526338,372.88249999999999,1.5774494395621685,24,0
21.947368421052467,708.91499999999996,3.1622945684265407,24,0
32.421052631578888,1040.6424999999999,5.037679201217065,24,0
42.894736842105793,1375.405,6.7547235278359095,24,0
53.368421052631376,1704.655,8.7130148305566415,24,0
63.842105263158579,2027.9175,10.731950625789098,24,0
74.315789473683211,2356.5799999999999,12.791026502982472,24,0
84.789473684211373,2680.1025,15.092404711787154,24,0
95.263157894736082,3002.1100000000001,17.44473293719339,24,0
105.73684210526504,3317.2775000000001,20.214963238511594,24,0
116.21052631578722,3634.2874999999999,22.845188762830894,24,0
126.68421052631615,3951.3225000000002,25.658221318602251,24,0
137.15789473683955,4264.1000000000004,28.508417616556692,24,0
147.63157894736406,4580.9399999999996,31.248644226590056,24,0
158.10526315789355,4894.3649999999998,34.069105387983114,24,0
168.57894736841507,5201.8774999999996,36.81638706112232,24,0
179.05263157894476,5514.3374999999996,39.720133704261052,24,0
189.52631578947731,5823.8024999999998,42.689901572085816,24,0
199.99999999999488,6138.4925000000003,45.845166728449961,24,0
