w,ADD_Data,SEM_Data,ADD_Concept,SEM_Concept
50,393.29500000000002,2.2252544657858797,25.782499999999999,0.080625581393252613
100,423.8775,1.9529768903842668,27.9175,0.12787390028852644
200,469.29750000000001,2.2579825031153362,31.52,0.2034367223487441
500,621.66750000000002,2.5231438443685685,42.0625,0.33627962230114389
1000,851.08249999999998,4.2934618007355088,57.612499999999997,0.53111284994339958
2000,1180.3499999999999,7.6741045894618862,83.327500000000001,0.88195839435599233
5000,1846.98,14.978110244620314,137.96250000000001,1.5843303741249801
10000,2629.6599999999999,24.209456282618163,209.23249999999999,2.635528146192903
20000,3611.2375000000002,46.21799679491069,337.27749999999997,4.1306704945293076
50000,5581.3299999999999,91.789410488084087,624.95749999999998,8.2445285938236026
