detector,Gamma,n_streams,alarms,FPR,wilson_low,wilson_high,contains_nominal
StrictCUSUM,1,300,6,0.02,0.0091976315577036172,0.042939620817860576,False
ADWIN,1,300,15,0.050000000000000003,0.030531640629347281,0.080847033472744148,True
