census_source,ticker,phase_id,phase_type,start_date,end_date,T_days,sharpe,q_ref,q_phase,delta_q,kl_sign_nats_day,ADD_min_unc_g20,ADD_min_unc_g252,ADD_min_unc_g1260,ADD_min_sign_g20,ADD_min_sign_g252,ADD_min_sign_g1260,detectable_unc_g20,detectable_unc_g252,detectable_unc_g1260,detectable_sign_g20,detectable_sign_g252,detectable_sign_g1260,episode_label
refined,SPY,0,bear,2000-03-24,2001-04-04,259,-1.4106674446136587,0.54115996258185217,0.45945945945945948,-0.081700503122392687,0.013380226682272289,758.72474264788514,1400.4304384766394,1808.0504306565927,223.89249036588387,413.25376757909987,533.53856922349019,False,False,False,True,False,False,NaN
refined,SPY,1,bull,2001-04-04,2001-05-21,32,5.9312761163216718,0.54115996258185217,0.625,0.083840037418147828,0.014357101593949539,42.917780131760324,79.216298441262708,102.27360001368278,208.6585689981097,385.1354712041371,497.23594649173691,False,False,False,False,False,False,NaN
refined,SPY,2,bear,2001-05-21,2001-09-21,82,-5.0262319393263377,0.54115996258185217,0.41463414634146339,-0.12652581624038878,0.032132619647637764,59.765214628496445,110.3127669670297,142.42124445582411,93.230253443535304,172.08149065175644,222.16884518689838,True,False,False,False,False,False,NaN
refined,SPY,3,bull,2001-09-21,2001-12-05,52,4.8743469411495539,0.54115996258185217,0.51923076923076927,-0.021929193351082898,0.00096631301238159911,63.5478203631288,117.29458251854103,151.43524063003363,3100.1675804516331,5722.1925159462098,7387.737625876417,False,False,False,False,False,False,NaN
refined,SPY,4,bear,2001-12-05,2002-07-23,157,-2.982652912054037,0.54115996258185217,0.42038216560509556,-0.12077779697675661,0.029269943889846425,169.71807559559315,313.26032441524256,404.44026986639312,102.34841190089172,188.9115028139685,243.89752938412553,False,False,False,True,False,False,NaN
refined,SPY,5,bull,2002-07-23,2002-08-22,22,5.4588569589727323,0.54115996258185217,0.63636363636363635,0.095203673781784182,0.018563415082035253,50.667573452277992,93.520624961681264,120.74145319290137,161.3782949050744,297.86701762988258,384.56646949914744,False,False,False,False,False,False,NaN
refined,SPY,6,bear,2002-08-22,2002-10-09,33,-5.5520264574425919,0.54115996258185217,0.36363636363636365,-0.17752359894548853,0.063567033526120642,48.98131952658018,90.408190119624351,116.72308926566983,47.127136620635284,86.985797209481206,112.30454850487961,False,False,False,False,False,False,NaN
refined,SPY,7,bull,2002-10-09,2002-11-27,35,4.8963513960314771,0.54115996258185217,0.62857142857142856,0.087411465989576387,0.015619391474786096,62.977929463492629,116.24269569107834,150.07718357904241,191.79570973618976,354.01053212843863,457.05154464369355,False,False,False,False,False,False,NaN
refined,SPY,8,bear,2002-11-27,2003-03-11,69,-2.8418640445681387,0.54115996258185217,0.37681159420289856,-0.16434836837895361,0.054393069524477672,186.95063298318831,345.0676407473311,445.50566691304726,55.075624518779321,101.65686797695982,131.24589331611318,False,False,False,True,False,False,NaN
refined,SPY,9,bull,2003-03-11,2007-10-09,1154,1.3299929248039501,0.54115996258185217,0.55372616984402079,0.012566207262168616,0.00031845026750682535,853.56160883956534,1575.4773647717552,2034.0478538611846,9407.2217210173421,17363.556108154033,22417.525523958044,True,False,False,False,False,False,NaN
