episode_id,ticker,phase_id,role,sigma_oracle,oracle_contaminated,oracle_certified,detector,detector_family,delta,operating_point,lambda_star,FPR_H,ARL0,arl0_censored_frac,arl0_right_censored,tau_realized_days,alarm_date,T_days_phase,alarm_within_T,oracle_verdict,ADD_min_census,detectable_flag_census,op_attainable,breakeven_exists
E1,SPY,22,TARGET,V1,False,True,D1,standardized_mean,0.25,OP3_breakeven,11.903269817194102,0.0027499999999999998,NaN,0.13600000000000001,True,16,2020-03-12,23,True,detected_within_T,42.075066132431338,False,True,True
E1,SPY,22,TARGET,V1,False,True,D1,standardized_mean,0.29999999999999999,OP1_isoFPR5_H,6.85363864776697,0.044949999999999997,367.52420000000001,0,False,4,2020-02-25,23,True,detected_within_T,42.075066132431338,False,True,True
E1,SPY,22,TARGET,V1,False,True,D1,standardized_mean,0.29999999999999999,OP2_ARL0_20,1.7777786479191604,0.69235000000000002,20.119399999999999,0,False,2,2020-02-21,23,True,detected_within_T,42.075066132431338,False,True,True
E1,SPY,22,TARGET,V1,False,True,D1,standardized_mean,0.29999999999999999,OP2b_ARL0_252,6.445889573454612,0.057250000000000002,297.77159999999998,0,False,3,2020-02-24,23,True,detected_within_T,42.075066132431338,False,True,True
E1,SPY,22,TARGET,V1,False,True,D1,standardized_mean,0.29999999999999999,OP3_breakeven,11.195098946406727,0.0029499999999999999,NaN,0.20000000000000001,True,16,2020-03-12,23,True,detected_within_T,42.075066132431338,False,True,True
E1,SPY,22,TARGET,V1,False,True,D1,standardized_mean,0.40000000000000002,OP1_isoFPR5_H,6.445889573454612,0.037949999999999998,483.33760000000001,0,False,4,2020-02-25,23,True,detected_within_T,42.075066132431338,False,True,True
E1,SPY,22,TARGET,V1,False,True,D1,standardized_mean,0.40000000000000002,OP2_ARL0_20,1.5725374697020222,0.67800000000000005,20.673400000000001,0,False,2,2020-02-21,23,True,detected_within_T,42.075066132431338,False,True,True
E1,SPY,22,TARGET,V1,False,True,D1,standardized_mean,0.40000000000000002,OP2b_ARL0_252,5.7017238291636287,0.065750000000000003,290.69279999999998,0,False,3,2020-02-24,23,True,detected_within_T,42.075066132431338,False,True,True
E1,SPY,22,TARGET,V1,False,True,D1,standardized_mean,0.40000000000000002,OP3_breakeven,9.3134998375452991,0.0051000000000000004,NaN,0.1628,True,16,2020-03-12,23,True,detected_within_T,42.075066132431338,False,True,True
E1,SPY,22,TARGET,V1,False,True,D1,standardized_mean,0.5,OP1_isoFPR5_H,6.062399045025292,0.033550000000000003,576.50220000000002,0,False,4,2020-02-25,23,True,detected_within_T,42.075066132431338,False,True,True
E1,SPY,22,TARGET,V1,False,True,D1,standardized_mean,0.5,OP2_ARL0_20,1.3909909968326304,0.68335000000000001,20.210999999999999,0,False,2,2020-02-21,23,True,detected_within_T,42.075066132431338,False,True,True
E1,SPY,22,TARGET,V1,False,True,D1,standardized_mean,0.5,OP2b_ARL0_252,5.0434706107801173,0.076799999999999993,261.44959999999998,0,False,3,2020-02-24,23,True,detected_within_T,42.075066132431338,False,True,True
E1,SPY,22,TARGET,V1,False,True,D1,standardized_mean,0.5,OP3_breakeven,8.2382739188291012,0.0066,NaN,0.14999999999999999,True,6,2020-02-27,23,True,detected_within_T,42.075066132431338,False,True,True
E1,SPY,22,TARGET,V1,False,True,D1,standardized_mean,0.4285355425525495,OP1_isoFPR5_H,6.445889573454612,0.033099999999999997,551.02539999999999,0,False,4,2020-02-25,23,True,detected_within_T,42.075066132431338,False,True,True
E1,SPY,22,TARGET,V1,False,True,D1,standardized_mean,0.4285355425525495,OP2_ARL0_20,1.5725374697020222,0.66164999999999996,21.445599999999999,0,False,2,2020-02-21,23,True,detected_within_T,42.075066132431338,False,True,True
E1,SPY,22,TARGET,V1,False,True,D1,standardized_mean,0.4285355425525495,OP2b_ARL0_252,5.3625065560026526,0.071400000000000005,269.54680000000002,0,False,3,2020-02-24,23,True,detected_within_T,42.075066132431338,False,True,True
