episode_id,ticker,phase_id,role,sigma_oracle,oracle_contaminated,ref_start,ref_end,n_ref,p_lb_z,p_lb_z2,mean_z_ref,std_z_ref,kurt_z_ref,oracle_certified,omega,alpha,beta,persistence,gamma_exact,qmle_recovery_pass,mu_0,mu_1,Delta_std,delta_opt,sigma_bar_ref,sigma_bar_phase,vol_ratio,sum_inv_sigma2_phase,KL_path,KL_corollary,jensen_ratio,SR_daily_realized,sharpe_csv,sharpe_recomputed,T_days_csv,T_days_recomputed,sigma_path_sha256,sigma_path_len
E1,SPY,22,TARGET,V1,False,2016-02-29,2020-02-18,1000,0.84885563216074544,0.61482324286061685,-0.013316990773771806,0.97381723452200197,7.1901811156789348,True,4.1649471932219516e-06,0.273725,0.69635800000000003,0.97008300000000003,45.355007097331161,True,0.00062392101109153182,-0.018227213745619277,-0.857071085105099,0.4285355425525495,0.0073664431552642635,0.039031818255514404,5.2985976315613312,98105.778788869226,17.431693853715583,1.637593202465164,10.644703353357015,-0.37735846208878671,-5.9903798748763499,-5.9903798748763508,23,23,09d9aa0e0f1d131a22ece3c197627194880fb9debc537b1fef0857d8e85b4095,23
E1,SPY,22,TARGET,V2,False,2016-02-29,2020-02-18,1000,0.68240902045199392,0.03122887684521455,0.036209990472048884,1.0610742271824882,5.4344213978864557,True,NaN,NaN,NaN,NaN,NaN,True,0.00062392101109153182,-0.018227213745619277,-0.44019713237769215,0.22009856618884607,0.0068653634293320553,0.047155941864272057,6.8686737926793118,14290.368374143733,2.5391503908346285,1.637593202465164,1.5505379400771193,-0.37735846208878671,-5.9903798748763499,-5.9903798748763508,23,23,312421670ec9229d66db06e41ff704fb62a7b44662edba44f38bea86e1867ba8,23
E1,SPY,22,TARGET,V3,True,2016-02-29,2020-02-18,1000,0.65674278871482539,0.00019317456533627181,0.041012209446082713,0.97482753988525561,3.4938447563050472,False,NaN,NaN,NaN,NaN,NaN,True,0.00062392101109153182,-0.018227213745619277,-0.44301835486453156,0.22150917743226578,0.006868353489042002,0.047126787783834535,6.8614388963850175,14592.390986152264,2.592814566119984,1.637593202465164,1.5833080903223522,-0.37735846208878671,-5.9903798748763499,-5.9903798748763508,23,23,d125e610479ae0fc847e033d2b2db05cbf1963e52994a349d3664bf1d16e666f,23
E2,SPY,15,POSITIVE CONTROL A,V1,False,2005-03-17,2009-03-06,1000,0.070056271299760109,0.77795322667716182,0.045117795347203053,0.99071283007650535,5.3136022403819254,True,1.6235772021107164e-06,0.101796,0.89008900000000002,0.99188500000000002,111.78329803047265,True,-0.00047194098621731404,0.0021452247328076421,0.23560542414948607,0.11780271207474304,0.011799220104000602,0.012858341731256488,1.0897620027358235,2588969.684844987,8.8666469382045943,3.743345273072316,2.3686425620384668,0.16236251547104935,2.5774250290516418,2.5774250290516423,284,284,7af74c52e096c11228f71c357499d6f481d3b7cbb83060d1a39b9208defbd33b,284
E2,SPY,15,POSITIVE CONTROL A,V2,False,2005-03-17,2009-03-06,1000,0.14972384470350078,0.0061559456672868476,0.09463868589368124,1.0555860824573449,4.0761229978125595,False,NaN,NaN,NaN,NaN,NaN,True,-0.00047194098621731404,0.0021452247328076421,0.26222380264634682,0.13111190132317341,0.011497348642330108,0.012054743796801576,1.0484803211428495,3432783.186264737,11.756521023086778,3.743345273072316,3.1406456432584755,0.16236251547104935,2.5774250290516418,2.5774250290516423,284,284,dacd6f4dc334a4cbaf9e57db70127331791888fe9176552cb829a0bb4bc97cac,284
E2,SPY,15,POSITIVE CONTROL A,V3,True,2005-03-17,2009-03-06,1000,0.14132336957489652,0.00086772847018157782,0.094957154232103838,0.98872779167886715,3.1298877570565589,False,NaN,NaN,NaN,NaN,NaN,True,-0.00047194098621731404,0.0021452247328076421,0.26190550083693453,0.13095275041846727,0.011501534000838195,0.01206162871772902,1.0486973926130208,3423423.7267795363,11.724466950274151,3.743345273072316,3.1320826947527078,0.16236251547104935,2.5774250290516418,2.5774250290516423,284,284,493476ecbf345de27b9857c2985224997d72ef17f3db2db9d88935a9d1c4765e,284
E3,SPY,21,POSITIVE CONTROL B,V1,False,2015-01-05,2018-12-21,1000,0.24336690395994159,0.64545580994759222,-3.8596819645690059e-05,0.96509725636443988,6.3169561974578681,True,4.8305313606726348e-06,0.24196100000000001,0.71850000000000003,0.96046100000000001,28.877495077560116,True,0.00024002270779959034,0.0013544554169909416,0.1548539366334247,0.07742696831671235,0.0079397449410674361,0.0081970502674605268,1.0324072534197173,6085905.3205359504,3.7792262872032438,3.8816633268205307,0.97361001431796168,0.16389851123459656,2.60180820588281,2.6018082058828105,289,289,4cd2053179bc70a84cd4700f67d74b6e5a708a5f8b895fbf473647e9e0eb0542,289
E3,SPY,21,POSITIVE CONTROL B,V2,False,2015-01-05,2018-12-21,1000,0.28673310026239718,0.0021757532110252185,0.05796670649795075,1.0610766027929048,5.0518623976553867,False,NaN,NaN,NaN,NaN,NaN,True,0.00024002270779959034,0.0013544554169909416,0.17358375354372266,0.086791876771861329,0.0074381081126430179,0.0076987661444342329,1.0350435927851276,8139022.8133927798,5.054171458226385,3.8816633268205307,1.3020633250968356,0.16389851123459656,2.60180820588281,2.6018082058828105,289,289,68cd82cea8cf2e61f21cd8da4b89716f428833eccd84a6f4e8d7a8760f3a27ba,289
E3,SPY,21,POSITIVE CONTROL B,V3,True,2015-01-05,2018-12-21,1000,0.26398325993624944,4.6893151046415045e-06,0.061236833600030911,0.98241848236258278,3.3254569863049963,False,NaN,NaN,NaN,NaN,NaN,True,0.00024002270779959034,0.0013544554169909416,0.17354633066739944,0.08677316533369972,0.0074413325458520538,0.0076980379337630795,1.0344972337050196,8138578.6898476705,5.0538956663288701,3.8816633268205307,1.3019922751694477,0.16389851123459656,2.60180820588281,2.6018082058828105,289,289,af06ce8b168c6406e39f5bf5b2b931971d3bdec72e4618312170ee13febc3a89,289
E4,SPY,18,NEGATIVE CONTROL,V1,False,2007-05-11,2011-04-28,1000,0.34880746843989252,0.088739292362719935,0.010884601227929792,1.0019668711413321,3.6498963378161817,True,2.7881169729120916e-06,0.109116,0.87994300000000003,0.98905900000000002,77.828850335208742,True,-8.7908356935151302e-06,-0.001930677556502411,-0.15947640724765774,0.079738203623828871,0.014572681657703776,0.014517959038141452,0.99624484903686927,851327.43088465033,1.5722521728320205,0.69985605055442979,2.2465365150254453,-0.11384330121921729,-1.8072063807399914,-1.8072063807399916,108,108,6941cf4d820129c25795271f5275db66325a24f03f0750d7fdbf56bab401e07e,108
E4,SPY,18,NEGATIVE CONTROL,V2,False,2007-05-11,2011-04-28,1000,0.56795539799954675,0.0008445133594689343,0.058733651587241129,1.0472780619325861,3.7378607071634207,False,NaN,NaN,NaN,NaN,NaN,True,-8.7908356935151302e-06,-0.001930677556502411,-0.15563651408611404,0.077818257043057018,0.01418149573445149,0.015393197013207759,1.0854424174604269,848459.84121650585,1.566956238596886,0.69985605055442979,2.2389693385597433,-0.11384330121921729,-1.8072063807399914,-1.8072063807399916,108,108,3fa6178b62e46339fbf7da5adfcc12b8c799700f901825fa702f8aaba8b7a280,108
