episode_id,ticker,phase_id,sigma_oracle,oracle_contaminated,detector,detector_family,delta,lambda,FPR_H,FPR_H_ci_low,FPR_H_ci_high,ARL0,arl0_available,arl0_right_censored,arl0_censored_frac,tau_realized_days,alarm_date,T_days_phase,lambda_grid_rescaled
E1,SPY,22,V1,False,D1,standardized_mean,0,0.001,1,0.99980795688764112,1,2.0621999999999998,True,False,0,1,2020-02-20,23,False
E1,SPY,22,V1,False,D1,standardized_mean,0,0.0010632572230203177,1,0.99980795688764112,1,2.0621999999999998,True,False,0,1,2020-02-20,23,False
E1,SPY,22,V1,False,D1,standardized_mean,0,0.0011305159223048776,1,0.99980795688764112,1,2.0621999999999998,True,False,0,1,2020-02-20,23,False
E1,SPY,22,V1,False,D1,standardized_mean,0,0.0012020292201301375,1,0.99980795688764112,1,2.0621999999999998,True,False,0,1,2020-02-20,23,False
E1,SPY,22,V1,False,D1,standardized_mean,0,0.001278066250584848,1,0.99980795688764112,1,2.0621999999999998,True,False,0,1,2020-02-20,23,False
E1,SPY,22,V1,False,D1,standardized_mean,0,0.0013589131724328352,1,0.99980795688764112,1,2.0621999999999998,True,False,0,1,2020-02-20,23,False
E1,SPY,22,V1,False,D1,standardized_mean,0,0.0014448742460466649,1,0.99980795688764112,1,2.0621999999999998,True,False,0,1,2020-02-20,23,False
E1,SPY,22,V1,False,D1,standardized_mean,0,0.0015362729784651522,1,0.99980795688764112,1,2.0646,True,False,0,1,2020-02-20,23,False
E1,SPY,22,V1,False,D1,standardized_mean,0,0.00163345334088401,1,0.99980795688764112,1,2.0646,True,False,0,1,2020-02-20,23,False
E1,SPY,22,V1,False,D1,standardized_mean,0,0.0017367810631615931,1,0.99980795688764112,1,2.0646,True,False,0,1,2020-02-20,23,False
E1,SPY,22,V1,False,D1,standardized_mean,0,0.0018466450102114704,1,0.99980795688764112,1,2.0646,True,False,0,1,2020-02-20,23,False
E1,SPY,22,V1,False,D1,standardized_mean,0,0.0019634586454617743,1,0.99980795688764112,1,2.0646,True,False,0,1,2020-02-20,23,False
E1,SPY,22,V1,False,D1,standardized_mean,0,0.0020876615868889205,1,0.99980795688764112,1,2.0646,True,False,0,1,2020-02-20,23,False
E1,SPY,22,V1,False,D1,standardized_mean,0,0.0022197212614817035,1,0.99980795688764112,1,2.0646,True,False,0,1,2020-02-20,23,False
E1,SPY,22,V1,False,D1,standardized_mean,0,0.0023601346643621927,1,0.99980795688764112,1,2.0646,True,False,0,1,2020-02-20,23,False
E1,SPY,22,V1,False,D1,standardized_mean,0,0.0025094302291837319,1,0.99980795688764112,1,2.0646,True,False,0,1,2020-02-20,23,False
E1,SPY,22,V1,False,D1,standardized_mean,0,0.0026681698168451343,1,0.99980795688764112,1,2.0646,True,False,0,1,2020-02-20,23,False
E1,SPY,22,V1,False,D1,standardized_mean,0,0.0028369508300053873,1,0.99980795688764112,1,2.0646,True,False,0,1,2020-02-20,23,False
