gamma_lev,fp_data,fp_concept,lb_reject_data,lb_reject_concept,fpr_data,fpr_concept,lb_data_pct,lb_concept_pct,ci_data,ci_concept
0,0.032399999999999998,0.082500000000000004,0.051299999999999998,0.046300000000000001,3.2399999999999998,8.25,5.1299999999999999,4.6299999999999999,0.34703758007455043,0.53924494434347736
0.02,0.037900000000000003,0.079000000000000001,0.057099999999999998,0.050599999999999999,3.7900000000000005,7.9000000000000004,5.71,5.0599999999999996,0.37427066054394381,0.52868797451805161
0.040000000000000001,0.041799999999999997,0.079500000000000001,0.0499,0.047300000000000002,4.1799999999999997,7.9500000000000002,4.9900000000000002,4.7300000000000004,0.39225843880788586,0.5302144166278393
0.059999999999999998,0.050599999999999999,0.079399999999999998,0.052600000000000001,0.0511,5.0599999999999996,7.9399999999999995,5.2599999999999998,5.1100000000000003,0.42959176088933548,0.52990962495882254
0.080000000000000002,0.060600000000000001,0.083199999999999996,0.058500000000000003,0.048500000000000001,6.0600000000000005,8.3200000000000003,5.8500000000000005,4.8500000000000005,0.46764647098422535,0.54132120115140503
0.10000000000000001,0.075899999999999995,0.082799999999999999,0.062300000000000001,0.052600000000000001,7.5899999999999999,8.2799999999999994,6.2300000000000004,5.2599999999999998,0.51908256790610874,0.54013617269721903
0.12,0.088700000000000001,0.076300000000000007,0.065000000000000002,0.050700000000000002,8.870000000000001,7.6300000000000008,6.5,5.0700000000000003,0.55724806154530493,0.52033592581715904
0.14000000000000001,0.1037,0.079799999999999996,0.079100000000000004,0.051299999999999998,10.369999999999999,7.9799999999999995,7.9100000000000001,5.1299999999999999,0.59754710650793053,0.53112730821903709
0.16,0.1229,0.077499999999999999,0.084500000000000006,0.052999999999999999,12.289999999999999,7.75,8.4500000000000011,5.2999999999999998,0.64351187910092222,0.52407097801729108
0.17999999999999999,0.13819999999999999,0.078799999999999995,0.099599999999999994,0.0511,13.819999999999999,7.8799999999999999,9.9599999999999991,5.1100000000000003,0.67641516808540003,0.52807565300437787
0.20000000000000001,0.14419999999999999,0.078399999999999997,0.1201,0.053699999999999998,14.42,7.8399999999999999,12.01,5.3700000000000001,0.68853313106632708,0.52684800000000009
0.22,0.17319999999999999,0.078200000000000006,0.13619999999999999,0.050799999999999998,17.32,7.8200000000000003,13.619999999999999,5.0800000000000001,0.74170336470586407,0.52623266148729309
0.23999999999999999,0.17599999999999999,0.078899999999999998,0.1651,0.051799999999999999,17.599999999999998,7.8899999999999997,16.509999999999998,5.1799999999999997,0.74640752836503466,0.52838193881320361
0.26000000000000001,0.19339999999999999,0.083699999999999997,0.20960000000000001,0.049500000000000002,19.34,8.3699999999999992,20.960000000000001,4.9500000000000002,0.77412913903560043,0.54279725616108265
0.28000000000000003,0.2064,0.078100000000000003,0.246,0.054399999999999997,20.640000000000001,7.8100000000000005,24.600000000000001,5.4399999999999995,0.793253044156781,0.52592461268132329
