w,Gamma,s_max,v_max,dmu_std_target,delta_P,lambda_star_Data,lambda_star_Concept,lambda_iid_H,w_star,w_over_wstar,mon_len,regime,FPR_Data_val,FPR_Concept_val,censored_Data,DetRate_Data,ADD_Data,MED_Data,SEM_Data,DetRate_Concept,ADD_Concept,MED_Concept,SEM_Concept
91,1.999999999999993,2.2700464519816634,5.153110894154538,2.0,0.5,626.3244713188411,19.020000000000003,303.0210426690922,1077.408151712324,0.08446195608913276,3000000,saturated,0.0325,0.055,0.0,1.0,490.605,461.5,12.847167361349596,0.0525,1706533.8095238095,1848320.0,202146.4190779335
149,1.999999999999993,2.2700464519816634,5.153110894154538,2.0,0.5,626.3244713188411,19.020000000000003,303.0210426690922,1077.408151712324,0.1382948511789097,3000000,saturated,0.0325,0.055,0.0,1.0,524.5725,495.5,12.843849619252788,0.0525,1706533.8095238095,1848320.0,202146.4190779335
244,1.999999999999993,2.2700464519816634,5.153110894154538,2.0,0.5,626.3244713188411,19.020000000000003,303.0210426690922,1077.408151712324,0.2264694207225098,3000000,saturated,0.0325,0.055,0.0,1.0,581.9025,553.0,12.824781969522505,0.0525,1706533.8095238095,1848320.0,202146.4190779335
399,1.999999999999993,2.2700464519816634,5.153110894154538,2.0,0.5,626.3244713188411,19.020000000000003,303.0210426690922,1077.408151712324,0.37033319208312054,3000000,saturated,0.0325,0.055,0.0,1.0,676.43,644.0,12.61530429701423,0.0525,1706533.8095238095,1848320.0,202146.4190779335
653,1.999999999999993,2.2700464519816634,5.153110894154538,2.0,0.5,626.3244713188411,19.020000000000003,303.0210426690922,1077.408151712324,0.6060841464417988,3000000,saturated,0.0325,0.055,0.0,1.0,827.6525,788.0,12.387859561711082,0.0525,1706533.8095238095,1848320.0,202146.4190779335
1070,1.999999999999993,2.2700464519816634,5.153110894154538,2.0,0.5,626.3244713188411,19.020000000000003,303.0210426690922,1077.408151712324,0.9931240990700225,3000000,saturated,0.0325,0.055,0.0,1.0,1081.84,1045.5,13.608066437979025,0.0525,1706533.8095238095,1848320.0,202146.4190779335
1751,1.999999999999993,2.2700464519816634,5.153110894154538,2.0,0.5,626.3244713188411,19.020000000000003,303.0210426690922,1077.408151712324,1.625196539693093,3000000,ramp,0.0325,0.055,0.0,1.0,1463.8125,1427.0,14.361632378347597,0.0525,1706533.8095238095,1848320.0,202146.4190779335
2867,1.999999999999993,2.2700464519816634,5.153110894154538,2.0,0.5,626.3244713188411,19.020000000000003,303.0210426690922,1077.408151712324,2.66101569348949,3000000,ramp,0.0325,0.055,0.0,1.0,2018.09,1989.5,16.663717049769748,0.0525,1706533.8095238095,1848320.0,202146.4190779335
4694,1.999999999999993,2.2700464519816634,5.153110894154538,2.0,0.5,626.3244713188411,19.020000000000003,303.0210426690922,1077.408151712324,4.356751888817463,3000000,ramp,0.0325,0.055,0.0,1.0,2809.935,2757.0,24.894854113668796,0.0525,1706533.8095238095,1848320.0,202146.4190779335
7686,1.999999999999993,2.2700464519816634,5.153110894154538,2.0,0.5,626.3244713188411,19.020000000000003,303.0210426690922,1077.408151712324,7.133786752759059,3000000,ramp,0.0325,0.055,0.0,1.0,3991.25,3923.0,35.784124835261295,0.0525,1706533.8095238095,1848320.0,202146.4190779335
12584,1.999999999999993,2.2700464519816634,5.153110894154538,2.0,0.5,626.3244713188411,19.020000000000003,303.0210426690922,1077.408151712324,11.679881927754359,3000000,ramp,0.0325,0.055,0.0,1.0,5782.1275,5683.0,51.60856105866293,0.0525,1706533.8095238095,1848320.0,202146.4190779335
