Gamma,alpha,beta,s_scale,dmu_std_target,lambda_star_Data,lambda_star_Concept,FPR_Data_val,FPR_Concept_val,DetRate_Data,ADD_Data,SEM_Data,DetRate_Concept,ADD_Concept,SEM_Concept,ratio_lam_star,FPR_rule_xGamma,FPR_rule_xSqrtGamma
1.0,0.0,0.0,2.23133041180186,2.0,43.88688754674146,10.800000000000017,0.065,0.095,1.0,33.0425,1.1294149723748848,0.0925,2179.4594594594596,229.50904185278642,1.0,0.065,0.065
1.999999999999993,0.08,0.7328614083160985,2.2700464519816634,2.0,86.00874093932902,10.800000000000017,0.05,0.095,1.0,66.715,2.5128361070216814,0.0925,2179.4594594594596,229.50904185278642,1.9597821979908219,0.05,0.1425
3.999999999941683,0.08,0.8432923008593723,2.3209658439803,2.0,167.40389248127482,10.800000000000017,0.04,0.095,1.0,141.7625,12.66096175714605,0.0925,2179.4594594594596,229.50904185278642,3.814439843859566,0.0325,0.2175
5.999999999999995,0.08,0.86754265399638,2.3595838601987076,2.0,219.61863125944825,10.800000000000017,0.0425,0.095,0.9975,179.48370927318297,5.770012298697337,0.0925,2179.4594594594596,229.50904185278642,5.004197005894865,0.0275,0.26
7.999999999758865,0.08,0.878725641782997,2.390990461570558,2.0,262.7627065920324,10.800000000000017,0.055,0.095,0.9975,230.6315789473684,13.084403977586442,0.0925,2179.4594594594596,229.50904185278642,5.987271398824502,0.025,0.26
10.000000000000218,0.08,0.8853297818041963,2.417757388343573,2.0,329.0301305686654,10.800000000000017,0.0475,0.095,0.995,287.6608040201005,14.641786248224825,0.0925,2179.4594594594596,229.50904185278642,7.4972309261675,0.025,0.2725
11.999999999586763,0.08,0.8897594067107524,2.4412290602698836,2.0,373.4581194461303,10.800000000000017,0.0575,0.095,0.995,340.7462311557789,20.489303553964284,0.0925,2179.4594594594596,229.50904185278642,8.509560379472822,0.03,0.275
15.000000000000218,0.08,0.8942745871104578,2.4719087742543935,2.0,456.9896644751648,10.800000000000017,0.055,0.095,0.9925,405.22166246851384,21.12369121617438,0.0925,2179.4594594594596,229.50904185278642,10.412897565097335,0.035,0.295
17.99999999995111,0.08,0.8973753767865099,2.4985121779748165,2.0,552.220327961136,10.800000000000017,0.055,0.095,0.99,491.14141414141415,24.056358847026473,0.0925,2179.4594594594596,229.50904185278642,12.582809099255378,0.035,0.295
20.999999998095124,0.08,0.8996611128572906,2.5220058980218223,2.0,620.5461817696499,10.800000000000017,0.0575,0.095,0.985,541.6878172588832,23.96996547593566,0.0925,2179.4594594594596,229.50904185278642,14.139671698266161,0.035,0.3
23.999999995772367,0.08,0.9014297085298018,2.543029072700445,2.0,696.7817993203686,10.800000000000017,0.055,0.095,0.9825,602.6259541984733,26.437826885836685,0.0925,2179.4594594594596,229.50904185278642,15.876764980844571,0.0325,0.3
27.000000000000334,0.08,0.9028472687400642,2.5620336891630937,2.0,784.7184874888056,10.800000000000017,0.055,0.095,0.98,669.5816326530612,28.608361609106122,0.0925,2179.4594594594596,229.50904185278642,17.880477093597626,0.03,0.305
30.00000005635698,0.08,0.9040143180672006,2.5793543034586803,2.0,847.7016679891591,10.800000000000017,0.055,0.095,0.98,721.8801020408164,30.79773008741838,0.0925,2179.4594594594596,229.50904185278642,19.31560234446609,0.03,0.31
