ticker,phase_id,start_date,end_date,T_days_before,T_days_after,r_boundary,sharpe_before,sharpe_after,ADD_min_before,ADD_min_after,q_phase_before,q_phase_after,kl_sign_before,kl_sign_after,detectable_before,detectable_after,flipped
SPY,0,2000-03-24,2001-04-04,260,259,0.0030642539048808455,-1.3944941599699361,-1.4106674446136587,776.42611604548915,758.72474264788514,0.46153846153846156,0.45945945945945948,0.01270798632621703,0.013380226682272289,False,False,False
SPY,1,2001-04-04,2001-05-21,33,32,-0.00045316904589393374,5.8136466925040766,5.9312761163216718,44.672089233405011,42.917780131760324,0.60606060606060608,0.625,0.0085679422353753323,0.014357101593949539,False,False,False
SPY,2,2001-05-21,2001-09-21,83,82,0.01637035994964061,-4.6498235243755497,-5.0262319393263377,69.832983013791392,59.765214628496445,0.42168674698795183,0.41463414634146339,0.028639124328056889,0.032132619647637764,True,True,False
SPY,3,2001-09-21,2001-12-05,53,52,-0.020440462090806744,4.1699020313049999,4.8743469411495539,86.832405283184457,63.5478203631288,0.50943396226415094,0.51923076923076927,0.0020210985563915256,0.00096631301238159911,False,False,False
SPY,4,2001-12-05,2002-07-23,158,157,0.023544652454752721,-2.7593136560500513,-2.982652912054037,198.30396326152066,169.71807559559315,0.42405063291139239,0.42038216560509556,0.027513862670705352,0.029269943889846425,False,False,False
SPY,5,2002-07-23,2002-08-22,23,22,-0.030848507418139815,4.2658922639732566,5.4588569589727323,82.968601258245499,50.667573452277992,0.60869565217391308,0.63636363636363635,0.0092828101706171964,0.018563415082035253,False,False,False
SPY,6,2002-08-22,2002-10-09,34,33,0.014769975123343233,-5.0008232359414952,-5.5520264574425919,60.374080153099136,48.98131952658018,0.38235294117647056,0.36363636363636365,0.050756059168871548,0.063567033526120642,False,False,False
SPY,7,2002-10-09,2002-11-27,36,35,-0.026057764413034323,3.9895390680186953,4.8963513960314771,94.861085501456444,62.977929463492629,0.61111111111111116,0.62857142857142856,0.0099637130266750501,0.015619391474786096,False,False,False
SPY,8,2002-11-27,2003-03-11,70,69,0.027611743369231032,-2.2434262981905611,-2.8418640445681387,299.99217145764857,186.95063298318831,0.38571428571428573,0.37681159420289856,0.048613277555634243,0.054393069524477672,False,False,False
SPY,9,2003-03-11,2007-10-09,1155,1154,-0.0086541882107822165,1.3130320342133879,1.3299929248039501,875.755535512336,853.56160883956534,0.55324675324675321,0.55372616984402079,0.00029459722065023827,0.00031845026750682535,True,True,False
SPY,10,2007-10-09,2008-10-27,266,265,0.0080236111088313918,-1.8374593287910301,-1.8672022159664103,447.19615895227895,433.06274700950337,0.48496240601503759,0.48301886792452831,0.0063335468358846556,0.0067787583494051881,False,False,False
SPY,11,2008-10-27,2008-11-04,7,6,-0.02966906703250817,7.5553636544336804,11.39092524646712,26.449824172969659,11.636316655098002,0.5714285714285714,0.66666666666666663,0.0018522315315481555,0.032530618639272257,False,False,False
SPY,12,2008-11-04,2008-11-20,13,12,0.037014047447803018,-7.3712467743115049,-9.6470564850869973,27.78763804000215,16.223475296592873,0.30769230769230771,0.25,0.11103854917288172,0.17546517049374069,False,False,False
SPY,13,2008-11-20,2009-01-06,31,30,-0.074012735675899929,2.2429276604029966,3.8208927223500453,300.12557215809255,103.41983627970079,0.58064516129032262,0.59999999999999998,0.0031565717867812412,0.0070340044333829163,False,False,False
SPY,14,2009-01-06,2009-03-09,43,42,0.0059015200903950417,-4.9513295179493699,-5.1231884792319695,61.58711696161442,57.52450197190435,0.41860465116279072,0.40476190476190477,0.030140689501096093,0.037367273759577296,False,False,False
SPY,15,2009-03-09,2010-04-23,285,284,-0.010821919730847201,2.5229380971129163,2.5774250290516418,237.20309155559644,227.28012075441202,0.61754385964912284,0.61971830985915488,0.01189696819697067,0.012590029610348413,True,True,False
SPY,16,2010-04-23,2010-07-02,50,49,0.0068407239650208904,-3.0962278536646988,-3.2692259764886069,157.49533993404694,141.26795309838241,0.40000000000000002,0.38775510204081631,0.040036657959045499,0.047335578176124798,False,False,False
SPY,17,2010-07-02,2011-04-29,209,208,-0.0067372991869323632,2.5681119043173375,2.6375146055584193,228.9315489032598,217.04200268224125,0.60765550239234445,0.61057692307692313,0.0089971468831133092,0.009811016356351912,False,False,False
SPY,18,2011-04-29,2011-10-03,109,108,0.0040337129798231159,-1.7631636409117721,-1.8072063807399914,485.67784370527045,462.29376067767311,0.48623853211009177,0.48148148148148145,0.0060494462595682072,0.0071416468466141622,False,False,False
SPY,19,2011-10-03,2018-09-20,1754,1753,-0.028461838208297993,1.2170545072478451,1.2537368794890222,1019.3268791355868,960.55167223337094,0.55359179019384264,0.553907586993725,0.00031167049262051903,0.00032771911791226564,True,True,False
SPY,20,2018-09-20,2018-12-24,66,65,0.0079693817679176021,-3.9441313149890505,-4.1478987666776099,97.057880459470653,87.756084499161403,0.40909090909090912,0.40000000000000002,0.035022243859999219,0.040036657959045499,False,False,False
SPY,21,2018-12-24,2020-02-19,290,289,-0.031109186407965728,2.3295261660340842,2.60180820588281,278.22640788262379,223.04011300388913,0.58620689655172409,0.58823529411764708,0.0041123226100619192,0.0044925995542652447,True,True,False
SPY,22,2020-02-19,2020-03-23,24,23,0.0053304312608063601,-5.7653767692732201,-5.9903798748763499,45.423243984372142,42.075066132431338,0.29166666666666669,0.2608695652173913,0.12728751079437639,0.16204220124500471,False,False,False
SPY,23,2020-03-23,2022-01-03,451,450,-0.039771416653784031,2.1568257702916092,2.3037145166231245,324.56628660159953,284.49603409432746,0.58980044345898008,0.59111111111111114,0.0047976374976379799,0.0050608678038262939,True,True,False
SPY,24,2022-01-03,2022-06-16,115,114,0.0046161615577729178,-2.2554379911352416,-2.308080435228681,296.80536819607704,283.42075807140299,0.44347826086956521,0.43859649122807015,0.019129746742600151,0.021092062791891741,False,False,False
SPY,25,2022-06-16,2022-08-16,42,41,-0.03253501895200292,3.7772951878069345,5.3243717674181488,105.82095677887799,53.25946392368715,0.5714285714285714,0.58536585365853655,0.0018522315315481555,0.0039596227354865912,False,False,False
SPY,26,2022-08-16,2022-10-12,41,40,0.0016311876510687953,-4.6274255129182071,-4.7357058258158657,70.510640745730981,67.323099266801407,0.34146341463414637,0.32500000000000001,0.080706254338102801,0.094843291654410883,False,False,False
SPY,27,2022-10-12,2025-02-19,590,589,-0.0026311571816729712,1.7418632495159745,1.7516342194783856,497.62870255184612,492.09243982919065,0.56949152542372883,0.57045840407470294,0.001622274182966673,0.0017351435676772366,True,True,False
SPY,28,2025-02-19,2025-04-08,35,34,0.0018141836810846913,-5.5854803369533821,-5.7331878230172277,48.396335649642651,45.934732864269684,0.42857142857142855,0.41176470588235292,0.025425555478449879,0.033612587959261628,False,False,False
SPY,29,2025-04-08,2025-07-03,60,59,-0.017112646809128152,3.5168992141115409,3.8814758698312186,122.07133364013532,100.2166205023604,0.68333333333333335,0.69491525423728817,0.041963259235495765,0.049272161067242498,False,False,False
PFF,0,2009-03-06,2011-05-19,557,556,-0.029465138969776997,2.25643450982558,2.3278675017137935,296.54326727183286,278.62303580491789,0.63734290843806107,0.63848920863309355,0.012754119321644067,0.013132860048168452,True,True,False
PFF,1,2011-05-19,2011-08-08,56,55,0.00049638193747767118,-3.2973734612444052,-3.3385065027345333,138.86642598720385,135.46561769947425,0.44642857142857145,0.43636363636363634,0.025331524072099265,0.030076479477024451,False,False,False
PFF,2,2011-08-08,2013-05-08,440,439,-0.098942257612159579,1.0254448952062858,1.9799929814747144,1435.8493625693404,385.12900976469376,0.625,0.62642369020501143,0.0090346060022264765,0.0094303010377878166,False,True,True
