ticker,phase_id,phase_type,start_date,end_date,T_days,ann_return,ann_vol,vol_pct,sharpe,q_ref,q_phase,delta_q,alpha,ADD_min_days,detectable_flag,pathology_class,episode_label,source_scale,dating_algorithm
SPY,0,bull,2002-10-09,2007-10-09,1258,0.15458325288761204,0.13483431266650645,0.25,1.1464682085038087,0.54115996258185217,0.54610492845786962,0.0049449658760174486,0.050000000000000003,1148.707620233539,True,neither,,MACRO,pagan_sossounov
SPY,1,bear,2007-10-09,2009-03-09,355,-0.57054293225992614,0.36245484666843908,1,-1.5741076095523665,0.54115996258185217,0.47887323943661969,-0.062286723145232481,0.050000000000000003,609.34702880715645,False,neither,GFC_2008,MACRO,pagan_sossounov
SPY,2,bull,2009-03-09,2010-04-23,284,0.54059663266752578,0.20974291262564373,0.58333333333333337,2.5774250290516418,0.54115996258185217,0.61971830985915488,0.078558347277302709,0.050000000000000003,227.28012075441202,True,location,,MESO_SPLIT,pagan_sossounov
SPY,3,bear,2010-04-23,2010-07-02,49,-0.88189302289825278,0.26975590835279972,0.91666666666666663,-3.2692259764886069,0.54115996258185217,0.38775510204081631,-0.15340486054103586,0.050000000000000003,141.26795309838241,False,both,,MESO_SPLIT,pagan_sossounov
SPY,4,bull,2010-07-02,2011-04-29,208,0.37138248781441202,0.14080774644119259,0.33333333333333331,2.6375146055584193,0.54115996258185217,0.61057692307692313,0.069416960495070956,0.050000000000000003,217.04200268224125,False,location,,MESO_SPLIT,pagan_sossounov
SPY,5,bear,2011-04-29,2011-10-03,108,-0.48653074423860759,0.26921703543310271,0.83333333333333337,-1.8072063807399914,0.54115996258185217,0.48148148148148145,-0.059678481100370717,0.050000000000000003,462.29376067767311,False,neither,,MACRO,pagan_sossounov
SPY,6,bull,2011-10-03,2015-07-20,953,0.19506000086895015,0.13085608892954062,0.16666666666666666,1.49064520011736,0.54115996258185217,0.56348373557187825,0.022323772990026081,0.050000000000000003,679.49296174608992,True,neither,Calm_2015_or_2019,MACRO,pagan_sossounov
SPY,7,bear,2015-07-20,2016-02-11,143,-0.24473795354765643,0.19064035580357175,0.41666666666666669,-1.2837678177637515,0.54115996258185217,0.45454545454545453,-0.086614508036397642,0.050000000000000003,916.13730082956931,False,neither,,MACRO,pagan_sossounov
SPY,8,bull,2016-02-11,2018-09-20,657,0.2000227147271994,0.10580263916057495,0.083333333333333329,1.8905267043823755,0.54115996258185217,0.56164383561643838,0.020483873034586209,0.050000000000000003,422.44278977256806,True,neither,,MESO_SPLIT,pagan_sossounov
SPY,9,bear,2018-09-20,2018-12-24,65,-0.85135884031772968,0.20525063127315721,0.5,-4.1478987666776099,0.54115996258185217,0.40000000000000002,-0.14115996258185215,0.050000000000000003,87.756084499161403,False,location,,MESO_SPLIT,pagan_sossounov
