ticker,phase_id,phase_type,start_date,end_date,T_days,ann_return,ann_vol,vol_pct,sharpe,q_ref,q_phase,delta_q,alpha,ADD_min_days,detectable_flag,pathology_class,episode_label,source_scale,dating_algorithm
SPY,0,bear,2000-03-24,2001-04-04,259,-0.31757745497679934,0.22512567096476427,0.46666666666666667,-1.4106674446136587,0.54115996258185217,0.45945945945945948,-0.081700503122392687,0.050000000000000003,758.72474264788514,False,neither,,MACRO,lunde_timmermann
SPY,1,bull,2001-04-04,2001-05-21,32,1.3839678629345284,0.23333391260038103,0.5,5.9312761163216718,0.54115996258185217,0.625,0.083840037418147828,0.050000000000000003,42.917780131760324,False,location,,MACRO,lunde_timmermann
SPY,2,bear,2001-05-21,2001-09-21,82,-0.94667946766427169,0.18834774819228786,0.23333333333333334,-5.0262319393263377,0.54115996258185217,0.41463414634146339,-0.12652581624038878,0.050000000000000003,59.765214628496445,True,location,,MACRO,lunde_timmermann
SPY,3,bull,2001-09-21,2001-12-05,52,0.94694097255562848,0.19427032666909513,0.29999999999999999,4.8743469411495539,0.54115996258185217,0.51923076923076927,-0.021929193351082898,0.050000000000000003,63.5478203631288,False,location,,MACRO,lunde_timmermann
SPY,4,bear,2001-12-05,2002-07-23,157,-0.62444680125130958,0.20935952645635772,0.40000000000000002,-2.982652912054037,0.54115996258185217,0.42038216560509556,-0.12077779697675661,0.050000000000000003,169.71807559559315,False,location,,MACRO,lunde_timmermann
SPY,5,bull,2002-07-23,2002-08-22,22,2.218055328343767,0.40632230245526874,0.8666666666666667,5.4588569589727323,0.54115996258185217,0.63636363636363635,0.095203673781784182,0.050000000000000003,50.667573452277992,False,both,,MACRO,lunde_timmermann
SPY,6,bear,2002-08-22,2002-10-09,33,-1.6499858907732063,0.29718624423364742,0.76666666666666672,-5.5520264574425919,0.54115996258185217,0.36363636363636365,-0.17752359894548853,0.050000000000000003,48.98131952658018,False,both,,MACRO,lunde_timmermann
SPY,7,bull,2002-10-09,2002-11-27,35,1.3689408446424416,0.27958386437541566,0.73333333333333328,4.8963513960314771,0.54115996258185217,0.62857142857142856,0.087411465989576387,0.050000000000000003,62.977929463492629,False,location,,MACRO,lunde_timmermann
SPY,8,bear,2002-11-27,2003-03-11,69,-0.57876276558295103,0.20365603579424651,0.33333333333333331,-2.8418640445681387,0.54115996258185217,0.37681159420289856,-0.16434836837895361,0.050000000000000003,186.95063298318831,False,location,,MACRO,lunde_timmermann
SPY,9,bull,2003-03-11,2007-10-09,1154,0.16160089548990828,0.12150507906929604,0.033333333333333333,1.3299929248039501,0.54115996258185217,0.55372616984402079,0.012566207262168616,0.050000000000000003,853.56160883956534,True,neither,,MACRO,lunde_timmermann
