episode_id,ticker,phase_id,sigma_oracle,oracle_contaminated,detector,delta,lambda,FPR_H,FPR_H_ci_low,FPR_H_ci_high,ARL0,arl0_available,arl0_right_censored,arl0_censored_frac,tau_realized_days,alarm_date,T_days_phase
E1,SPY,22,V1,False,D1,0.0,0.001,1.0,0.9998079568876411,1.0,2.0652,True,False,0.0,1.0,2020-02-20,23
E1,SPY,22,V1,False,D1,0.0,0.0010632572230203177,1.0,0.9998079568876411,1.0,2.0652,True,False,0.0,1.0,2020-02-20,23
E1,SPY,22,V1,False,D1,0.0,0.0011305159223048776,1.0,0.9998079568876411,1.0,2.0652,True,False,0.0,1.0,2020-02-20,23
E1,SPY,22,V1,False,D1,0.0,0.0012020292201301375,1.0,0.9998079568876411,1.0,2.0652,True,False,0.0,1.0,2020-02-20,23
E1,SPY,22,V1,False,D1,0.0,0.001278066250584848,1.0,0.9998079568876411,1.0,2.0652,True,False,0.0,1.0,2020-02-20,23
E1,SPY,22,V1,False,D1,0.0,0.0013589131724328352,1.0,0.9998079568876411,1.0,2.0652,True,False,0.0,1.0,2020-02-20,23
E1,SPY,22,V1,False,D1,0.0,0.0014448742460466649,1.0,0.9998079568876411,1.0,2.0652,True,False,0.0,1.0,2020-02-20,23
E1,SPY,22,V1,False,D1,0.0,0.0015362729784651522,1.0,0.9998079568876411,1.0,2.068,True,False,0.0,1.0,2020-02-20,23
E1,SPY,22,V1,False,D1,0.0,0.00163345334088401,1.0,0.9998079568876411,1.0,2.068,True,False,0.0,1.0,2020-02-20,23
E1,SPY,22,V1,False,D1,0.0,0.001736781063161593,1.0,0.9998079568876411,1.0,2.068,True,False,0.0,1.0,2020-02-20,23
E1,SPY,22,V1,False,D1,0.0,0.0018466450102114704,1.0,0.9998079568876411,1.0,2.068,True,False,0.0,1.0,2020-02-20,23
E1,SPY,22,V1,False,D1,0.0,0.0019634586454617743,1.0,0.9998079568876411,1.0,2.068,True,False,0.0,1.0,2020-02-20,23
E1,SPY,22,V1,False,D1,0.0,0.0020876615868889205,1.0,0.9998079568876411,1.0,2.068,True,False,0.0,1.0,2020-02-20,23
E1,SPY,22,V1,False,D1,0.0,0.0022197212614817035,1.0,0.9998079568876411,1.0,2.068,True,False,0.0,1.0,2020-02-20,23
E1,SPY,22,V1,False,D1,0.0,0.0023601346643621927,1.0,0.9998079568876411,1.0,2.068,True,False,0.0,1.0,2020-02-20,23
E1,SPY,22,V1,False,D1,0.0,0.002509430229183732,1.0,0.9998079568876411,1.0,2.068,True,False,0.0,1.0,2020-02-20,23
E1,SPY,22,V1,False,D1,0.0,0.0026681698168451343,1.0,0.9998079568876411,1.0,2.068,True,False,0.0,1.0,2020-02-20,23
E1,SPY,22,V1,False,D1,0.0,0.0028369508300053873,1.0,0.9998079568876411,1.0,2.068,True,False,0.0,1.0,2020-02-20,23
E1,SPY,22,V1,False,D1,0.0,0.003016408461356713,1.0,0.9998079568876411,1.0,2.068,True,False,0.0,1.0,2020-02-20,23
E1,SPY,22,V1,False,D1,0.0,0.0032072180841171286,1.0,0.9998079568876411,1.0,2.068,True,False,0.0,1.0,2020-02-20,23
E1,SPY,22,V1,False,D1,0.0,0.0034100977937389218,1.0,0.9998079568876411,1.0,2.0758,True,False,0.0,1.0,2020-02-20,23
E1,SPY,22,V1,False,D1,0.0,0.003625811110398558,1.0,0.9998079568876411,1.0,2.0758,True,False,0.0,1.0,2020-02-20,23
E1,SPY,22,V1,False,D1,0.0,0.0038551698524385857,1.0,0.9998079568876411,1.0,2.0758,True,False,0.0,1.0,2020-02-20,23
E1,SPY,22,V1,False,D1,0.0,0.004099037191575498,1.0,0.9998079568876411,1.0,2.0758,True,False,0.0,1.0,2020-02-20,23
