episode_id,ticker,phase_id,role,sigma_oracle,oracle_contaminated,oracle_certified,detector,delta,operating_point,lambda_star,FPR_H,ARL0,tau_realized_days,alarm_date,T_days_phase,alarm_within_T,ADD_min_census,detectable_flag_census,op_attainable,breakeven_exists
E1,SPY,22,TARGET,V1,False,True,D1,0.5,OP3_breakeven,8.238273918829101,0.0072,,6.0,2020-02-27,23,True,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V1,False,True,D1,0.4285355425525495,OP1_isoFPR5_H,6.062399045025292,0.04945,398.8966,3.0,2020-02-24,23,True,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V1,False,True,D1,0.4285355425525495,OP2_ARL0_20,1.4789812245385263,0.6909,20.4046,2.0,2020-02-21,23,True,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V1,False,True,D1,0.4285355425525495,OP2b_ARL0_252,5.362506556002653,0.0694,283.896,3.0,2020-02-24,23,True,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V1,False,True,D1,0.4285355425525495,OP3_breakeven,9.313499837545299,0.00455,,16.0,2020-03-12,23,True,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V1,False,True,D2,,OP1_isoFPR5_H,5.362506556002653,0.047,97.4892,3.0,2020-02-24,23,True,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V1,False,True,D2,,OP2_ARL0_20,0.1352282210765754,0.99465,20.0286,2.0,2020-02-21,23,True,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V1,False,True,D2,,OP2b_ARL0_252,7.748147617024632,0.01275,258.6958,3.0,2020-02-24,23,True,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V1,False,True,D2,,OP3_breakeven,11.903269817194102,0.0058,591.1228,16.0,2020-03-12,23,True,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V2,False,True,D1,0.0,OP1_isoFPR5_H,9.902645973868596,0.04885,,,,23,False,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V2,False,True,D1,0.0,OP2_ARL0_20,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V2,False,True,D1,0.0,OP2b_ARL0_252,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V2,False,True,D1,0.0,OP3_breakeven,9.313499837545299,0.06385,,23.0,2020-03-23,23,True,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V2,False,True,D1,0.05,OP1_isoFPR5_H,9.313499837545299,0.04395,,,,23,False,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V2,False,True,D1,0.05,OP2_ARL0_20,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V2,False,True,D1,0.05,OP2b_ARL0_252,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V2,False,True,D1,0.05,OP3_breakeven,8.238273918829101,0.0744,,23.0,2020-03-23,23,True,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V2,False,True,D1,0.1,OP1_isoFPR5_H,8.759404249414942,0.03995,,,,23,False,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V2,False,True,D1,0.1,OP2_ARL0_20,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V2,False,True,D1,0.1,OP2b_ARL0_252,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V2,False,True,D1,0.1,OP3_breakeven,7.287180796209435,0.0846,,23.0,2020-03-23,23,True,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V2,False,True,D1,0.15,OP1_isoFPR5_H,7.748147617024632,0.04745,,,,23,False,42.07506613243134,False,True,True
E1,SPY,22,TARGET,V2,False,True,D1,0.15,OP2_ARL0_20,,,,,,23,False,42.07506613243134,False,False,True
E1,SPY,22,TARGET,V2,False,True,D1,0.15,OP2b_ARL0_252,,,,,,23,False,42.07506613243134,False,False,True
