Date,Close,Log_Return
2017-11-10,299.25299072265625,-0.06979035702377218
2017-11-11,314.6809997558594,0.0502700880627902
2017-11-12,307.9079895019531,-0.021758423551602856
2017-11-13,316.71600341796875,0.02820448109814335
2017-11-14,337.6310119628906,0.0639481345244302
2017-11-15,333.35699462890625,-0.012739646901066345
2017-11-16,330.92401123046875,-0.007325195982281953
2017-11-17,332.3940124511719,0.004432274036711217
2017-11-18,347.61199951171875,0.04476586409432523
2017-11-19,354.385986328125,0.01929976215532802
2017-11-20,366.7300109863281,0.03423923644738788
2017-11-21,360.4010009765625,-0.017408609298207502
2017-11-22,380.6520080566406,0.05466828993951428
2017-11-23,410.1659851074219,0.07467632642318547
2017-11-24,474.9110107421875,0.14656552117983035
2017-11-25,466.2760009765625,-0.01834970510458122
2017-11-26,471.3299865722656,0.010780721565864352
2017-11-27,480.3550109863281,0.01896697961097095
2017-11-28,472.9020080566406,-0.01563724084813564
2017-11-29,427.52301025390625,-0.1008800838177914
2017-11-30,447.114013671875,0.04480551414950813
2017-12-01,466.5400085449219,0.0425301536027903
2017-12-02,463.4490051269531,-0.006647422183877487
2017-12-03,465.8529968261719,0.005173769251859075
2017-12-04,470.2040100097656,0.00929653747229843
2017-12-05,463.281005859375,-0.014832870291597655
2017-12-06,428.5880126953125,-0.07783767994929666
2017-12-07,434.4079895019531,0.01348804635476734
2017-12-08,456.031005859375,0.048576642018375776
2017-12-09,473.50201416015625,0.03759536387875813
2017-12-10,441.72100830078125,-0.06947768654136824
2017-12-11,515.135986328125,0.15375243708510006
2017-12-12,651.4310302734375,0.23474061105760555
2017-12-13,702.7670288085938,0.07585391317806586
2017-12-14,695.8159790039062,-0.009940213774400849
2017-12-15,684.447998046875,-0.016472556262746414
2017-12-16,696.208984375,0.017037209041072567
2017-12-17,719.9749755859375,0.033566575104906744
2017-12-18,794.64501953125,0.09867904334789465
2017-12-19,826.822998046875,0.03969514452900347
2017-12-20,819.0859985351562,-0.0094015604954164
2017-12-21,821.06298828125,0.0024107452669923733
2017-12-22,674.8599853515625,-0.1960945876765842
2017-12-23,719.3870239257812,0.06389425349507394
2017-12-24,694.1480102539062,-0.03571428471546085
2017-12-25,765.833984375,0.09828020664323166
2017-12-26,773.8359985351562,0.010394547270593914
2017-12-27,762.8419799804688,-0.01430905666948768
2017-12-28,737.0230102539062,-0.03443179305792983
2017-12-29,753.5919799804688,0.0222319677157144
2017-12-30,717.2570190429688,-0.04941684006742787
2017-12-31,756.7329711914062,0.053576204231864905
2018-01-01,772.6409912109375,0.020804059919352975
