source,nu_hat,Var_z_hat,lb_pvalue,omega,alpha,beta,n_days,qmle_converged,FPR_C_real,FPR_E_real,n_onsets
BTC,2.7791143512276766,1.0475457229902985,0.15436618003792157,5.0493305712353631e-05,0.11141517070293522,0.84749223559711317,4215,True,0.04716981132075472,0.04716981132075472,106
ETH,3.2497912498017185,1.027160192203695,0.018785617996181257,4.3502923784035586e-05,0.063966815534681351,0.91437625154208535,3172,True,0.055555555555555552,0.041666666666666664,72
