xi,skewness,q,skewness_se,q_se,n_streams,q_oracle,q_star_analytic,z_q_against_q_star,z_q_against_one_half,z_skewness_against_zero
1,-0.0002295139273865433,0.49948512499999997,0.0028570095976958561,0.00017681318109910636,1000,0.499774,0.49967357998255779,-1.0658423845232765,-2.9119718156726719,-0.080333621410177802
0.84999999999999998,-0.47421770717161443,0.52947,0.0029636176272116355,0.00017535510232642764,1000,0.52929400000000004,0.52960362394138338,-0.76201912354191548,168.05898208277338,-160.01312140182853
0.65000000000000002,-1.0848382386749604,0.56407937500000005,0.0035644859246103762,0.00017079504876622755,1000,0.56369400000000003,0.56428100868234865,-1.1805592949277068,375.18286076142329,-304.34633818719345
0.5,-1.4279594830035083,0.58219112499999992,0.0043641034111088599,0.00017676949132256229,1000,0.58186099999999996,0.58234793266181373,-0.88707423798414575,464.96216278645426,-327.20569346927618
