xi,nu,mc_size,mc_seed,m_monte_carlo,s_monte_carlo,q_oracle_monte_carlo,m_analytic,s_analytic,q_star_analytic,q_star_at_monte_carlo_m,abs_diff_m,abs_diff_s,abs_diff_q
1,7,1000000,42,0.00084786314457791824,1.1837821058171558,0.499774,0,1.1832159566199232,0.5,0.49967357998255779,0.00084786314457791824,0.0005661491972326349,0.0001004200174422043
0.84999999999999998,7,1000000,42,-0.29333850291300162,1.2098295592007686,0.52929400000000004,-0.29327289931046252,1.2096310468509868,0.5295795630592246,0.52960362394138338,6.5603602539099359e-05,0.00019851234978185417,0.00030962394138334126
0.65000000000000002,7,1000000,42,-0.79834597969550514,1.3665569892860103,0.56369400000000003,-0.79811689230227711,1.3667914594689914,0.5642116999968747,0.56428100868234865,0.00022908739322802241,0.00023447018298106137,0.00058700868234862202
0.5,7,1000000,42,-1.3475760776189629,1.6531130939443468,0.58186099999999996,-1.3474700779129356,1.6535792660556998,0.58232254101212355,0.58234793266181373,0.00010599970602731545,0.00046617211135302483,0.00048693266181376593
