record_type,H,lambda_units,lambda_value,q,exact_level,twin_level,enumerated_level,abs_difference,bit_identical,n_streams,operator,realised_level,disagreements
twin_binding_exact,8000,75,15,0.5,0.0036773861881254804,0.0036773861881254804,NaN,0,True,NaN,,NaN,NaN
twin_binding_exact,10,4,0.80000000000000004,0.5,0.888671875,0.888671875,NaN,0,True,NaN,,NaN,NaN
twin_binding_exact,10,5,1,0.5,0.8359375,0.8359375,NaN,0,True,NaN,,NaN,NaN
twin_binding_exact,10,6,1.2000000000000002,0.5,0.583984375,0.583984375,NaN,0,True,NaN,,NaN,NaN
twin_binding_exact,10,7,1.4000000000000001,0.5,0.505859375,0.505859375,NaN,0,True,NaN,,NaN,NaN
twin_binding_exact,12,4,0.80000000000000004,0.5,0.9365234375,0.9365234375,NaN,0,True,NaN,,NaN,NaN
twin_binding_exact,12,5,1,0.5,0.89501953125,0.89501953125,NaN,0,True,NaN,,NaN,NaN
twin_binding_exact,12,6,1.2000000000000002,0.5,0.6826171875,0.6826171875,NaN,0,True,NaN,,NaN,NaN
twin_binding_exact,12,7,1.4000000000000001,0.5,0.599609375,0.599609375,NaN,0,True,NaN,,NaN,NaN
twin_binding_exact,14,4,0.80000000000000004,0.5,0.9637451171875,0.9637451171875,NaN,0,True,NaN,,NaN,NaN
twin_binding_exact,14,5,1,0.5,0.9332275390625,0.9332275390625,NaN,0,True,NaN,,NaN,NaN
twin_binding_exact,14,6,1.2000000000000002,0.5,0.7567138671875,0.7567138671875,NaN,0,True,NaN,,NaN,NaN
twin_binding_exact,14,7,1.4000000000000001,0.5,0.6759033203125,0.6759033203125,NaN,0,True,NaN,,NaN,NaN
enumeration_validation,10,4,0.80000000000000004,0.5,0.888671875,0.888671875,0.888671875,0,True,1024,>,NaN,NaN
enumeration_validation,10,4,0.80000000000000004,0.56369400000000003,0.89599144974052425,0.89599144974052425,0.89599144974052558,1.3322676295501878e-15,False,1024,>,NaN,NaN
enumeration_validation,10,4,0.80000000000000004,0.58186099999999996,0.90055966620232586,0.90055966620232586,0.90055966620233008,4.2188474935755949e-15,False,1024,>,NaN,NaN
enumeration_validation,10,5,1,0.5,0.8359375,0.8359375,0.8359375,0,True,1024,>,NaN,NaN
enumeration_validation,10,5,1,0.56369400000000003,0.84596642071337769,0.84596642071337769,0.84596642071337869,9.9920072216264089e-16,False,1024,>,NaN,NaN
enumeration_validation,10,5,1,0.58186099999999996,0.85224925381459737,0.85224925381459737,0.85224925381460082,3.4416913763379853e-15,False,1024,>,NaN,NaN
enumeration_validation,10,6,1.2000000000000002,0.5,0.583984375,0.583984375,0.583984375,0,True,1024,>,NaN,NaN
enumeration_validation,10,6,1.2000000000000002,0.56369400000000003,0.60650512877673612,0.60650512877673612,0.6065051287767359,2.2204460492503131e-16,False,1024,>,NaN,NaN
enumeration_validation,10,6,1.2000000000000002,0.58186099999999996,0.6206980772947166,0.6206980772947166,0.62069807729471582,7.7715611723760958e-16,False,1024,>,NaN,NaN
enumeration_validation,10,7,1.4000000000000001,0.5,0.505859375,0.505859375,0.505859375,0,True,1024,>,NaN,NaN
enumeration_validation,10,7,1.4000000000000001,0.56369400000000003,0.53067754948292989,0.53067754948292989,0.53067754948292822,1.6653345369377348e-15,False,1024,>,NaN,NaN
enumeration_validation,10,7,1.4000000000000001,0.58186099999999996,0.54638267934319618,0.54638267934319618,0.54638267934319418,1.9984014443252818e-15,False,1024,>,NaN,NaN
enumeration_validation,12,4,0.80000000000000004,0.5,0.9365234375,0.9365234375,0.9365234375,0,True,4096,>,NaN,NaN
enumeration_validation,12,4,0.80000000000000004,0.56369400000000003,0.94158141337935886,0.94158141337935886,0.94158141337939139,3.2529534621517087e-14,False,4096,>,NaN,NaN
enumeration_validation,12,4,0.80000000000000004,0.58186099999999996,0.94469857120622724,0.94469857120622724,0.94469857120624057,1.3322676295501878e-14,False,4096,>,NaN,NaN
enumeration_validation,12,5,1,0.5,0.89501953125,0.89501953125,0.89501953125,0,True,4096,>,NaN,NaN
enumeration_validation,12,5,1,0.56369400000000003,0.90284160450665396,0.90284160450665396,0.90284160450668438,3.0420110874729289e-14,False,4096,>,NaN,NaN
enumeration_validation,12,5,1,0.58186099999999996,0.90768373743405839,0.90768373743405839,0.90768373743406927,1.0880185641326534e-14,False,4096,>,NaN,NaN
enumeration_validation,12,6,1.2000000000000002,0.5,0.6826171875,0.6826171875,0.6826171875,0,True,4096,>,NaN,NaN
enumeration_validation,12,6,1.2000000000000002,0.56369400000000003,0.70441557001096866,0.70441557001096866,0.70441557001098665,1.7985612998927536e-14,False,4096,>,NaN,NaN
enumeration_validation,12,6,1.2000000000000002,0.58186099999999996,0.71798158698921144,0.71798158698921144,0.71798158698921088,5.5511151231257827e-16,False,4096,>,NaN,NaN
enumeration_validation,12,7,1.4000000000000001,0.5,0.599609375,0.599609375,0.599609375,0,True,4096,>,NaN,NaN
enumeration_validation,12,7,1.4000000000000001,0.56369400000000003,0.62488418115808897,0.62488418115808897,0.62488418115810329,1.4321877017664519e-14,False,4096,>,NaN,NaN
