xi,stream_index,skewness,q,q_hat_warmup,lb_sign_p,lb_ebin_p,fpr_half,fpr_oracle,fpr_qhat,m_units_half,sign_identity,min_h,degenerate_sign,degenerate_ebin,fs_m,fs_s,fs_q_oracle
1,1,-0.012337870814347172,0.49487500000000001,0.48699999999999999,0.40285558016814282,0.74955604717933066,0,0,0,42,True,0.0086484975021431081,False,False,0.00084786314457791824,1.1837821058171558,0.499774
0.84999999999999998,1,-0.5868945107882978,0.53262500000000002,0.53000000000000003,0.8146333511178383,0.35688784096922971,0,0,0,47,True,0.0084045479551168069,False,False,-0.29333850291300162,1.2098295592007686,0.52929400000000004
0.65000000000000002,1,-1.2531054220181241,0.56374999999999997,0.56100000000000005,0.93097378912277928,0.44184300049393549,0,0,0,62,True,0.0082803096695291106,False,False,-0.79834597969550514,1.3665569892860103,0.56369400000000003
0.5,1,-1.6353522614581493,0.58550000000000002,0.58099999999999996,0.6993012062625551,0.7140104698597094,1,0,0,146,True,0.0086592734928579995,False,False,-1.3475760776189629,1.6531130939443468,0.58186099999999996
1,2,0.014800469018512383,0.50475000000000003,0.50700000000000001,0.30636777511222268,0.52207949250955843,0,0,0,37,True,0.0077757339436768979,False,False,0.00084786314457791824,1.1837821058171558,0.499774
0.84999999999999998,2,-0.41457522504669658,0.53037500000000004,0.54800000000000004,0.076074876113891507,0.26938442768519905,0,0,0,58,True,0.0079166644216091906,False,False,-0.29333850291300162,1.2098295592007686,0.52929400000000004
0.65000000000000002,2,-0.93903552796265322,0.55525000000000002,0.56399999999999995,0.28846319357672184,0.410907283262826,0,0,0,56,True,0.0085052713625066514,False,False,-0.79834597969550514,1.3665569892860103,0.56369400000000003
0.5,2,-1.2752587171185477,0.57237499999999997,0.58499999999999996,0.68711727629370623,0.63491525215016342,1,0,0,147,True,0.0082154871592273419,False,False,-1.3475760776189629,1.6531130939443468,0.58186099999999996
1,3,-0.088423823327908421,0.50249999999999995,0.47699999999999998,0.96282533590696295,0.36869989937930925,0,0,1,62,True,0.0080339089982460685,False,False,0.00084786314457791824,1.1837821058171558,0.499774
0.84999999999999998,3,-0.54800000176996999,0.53862500000000002,0.51900000000000002,0.58539672911078999,0.9281906219461884,0,0,0,74,True,0.008067401916437119,False,False,-0.29333850291300162,1.2098295592007686,0.52929400000000004
0.65000000000000002,3,-1.0835910598698593,0.56999999999999995,0.57999999999999996,0.31748424227768685,0.26532781217585744,1,0,0,83,True,0.0084307982329572609,False,False,-0.79834597969550514,1.3665569892860103,0.56369400000000003
0.5,3,-1.5100338676246905,0.59550000000000003,0.59299999999999997,0.59595110400959872,0.5732778234635949,1,0,0,158,True,0.008536788330329604,False,False,-1.3475760776189629,1.6531130939443468,0.58186099999999996
1,4,-0.054096832983407034,0.49412499999999998,0.504,0.45729193885201014,0.42656723361919197,0,0,0,45,True,0.0088449133003261713,False,False,0.00084786314457791824,1.1837821058171558,0.499774
0.84999999999999998,4,-0.47090736871341815,0.52524999999999999,0.53400000000000003,0.84830326183887184,0.27225864433067648,0,0,0,53,True,0.0086396101236285716,False,False,-0.29333850291300162,1.2098295592007686,0.52929400000000004
0.65000000000000002,4,-1.1286213907296798,0.5615,0.56399999999999995,0.9349514342710602,0.89882010362014675,1,0,0,80,True,0.0082791235411574862,False,False,-0.79834597969550514,1.3665569892860103,0.56369400000000003
0.5,4,-1.43611191482009,0.58737499999999998,0.58299999999999996,0.91143406194456422,0.50925147981966457,1,0,0,96,True,0.007813534863052099,False,False,-1.3475760776189629,1.6531130939443468,0.58186099999999996
1,5,0.026853730683835696,0.50237500000000002,0.50800000000000001,0.63556562154905716,0.59642116213084706,0,0,0,39,True,0.008376403064202011,False,False,0.00084786314457791824,1.1837821058171558,0.499774
