xi,n_streams,lb_ebin_rate,lb_ebin_low,lb_ebin_high,lb_sign_rate,lb_sign_low,lb_sign_high,fpr_half_rate,fpr_half_low,fpr_half_high,fpr_oracle_rate,fpr_oracle_low,fpr_oracle_high,fpr_qhat_rate,fpr_qhat_low,fpr_qhat_high,lb_ebin_pvalue_binom,lb_ebin_ks_statistic,lb_ebin_ks_pvalue,lb_sign_pvalue_binom,lb_sign_ks_statistic,lb_sign_ks_pvalue
1,1000,0.047,0.035527105106384502,0.061939938081528451,0.050000000000000003,0.038130262392748818,0.065313820244250809,0.0050000000000000001,0.0021375355273244596,0.011650955373375113,0.0040000000000000001,0.0015565881404084308,0.010239556277262253,0.01,0.0054407544455292488,0.018309468870314774,0.71695757945326766,0.037447541390317918,0.1180181072330917,1,0.023018366548139491,0.65565999203426462
0.84999999999999998,1000,0.048000000000000001,0.036393301020807914,0.063066088650133925,0.063,0.049549663211729086,0.079794923704646095,0.041000000000000002,0.030364971082098315,0.055147993207641299,0.0089999999999999993,0.0047420606674770634,0.017015816165338069,0.014,0.0083575751304239207,0.023362034117535659,0.82782991207042755,0.038021954213966869,0.10817655622563926,0.069057625612437695,0.018518496374260396,0.87626380905375367
0.65000000000000002,1000,0.048000000000000001,0.036393301020807914,0.063066088650133925,0.045999999999999999,0.034662492763264982,0.06081220394161907,0.59599999999999997,0.56527547099158959,0.62598979137918376,0.0050000000000000001,0.0021375355273244596,0.011650955373375113,0.010999999999999999,0.0061531740980866377,0.019589395700786275,0.82782991207042755,0.041876971955757458,0.058264826031989236,0.61170237866562238,0.043437829883832935,0.044588894575613547
0.5,1000,0.057000000000000002,0.044253440358715937,0.07313706765948591,0.050000000000000003,0.038130262392748818,0.065313820244250809,0.96599999999999997,0.9528648097546889,0.97556865133677373,0.0040000000000000001,0.0015565881404084308,0.010239556277262253,0.014999999999999999,0.009110978804081668,0.024600976926906798,0.30919044391488915,0.03895749117126357,0.093606363667850578,1,0.03874859377189932,0.096709064660979283
