w,Gamma,alpha,beta,s_max,v_max,dmu_std_target,delta_P,delta_C,rho,budget,mon_len,warmup,n_calib,n_val,n_drift,lambda_star_Data,lambda_star_Concept,lambda_C_literal,lambda_iid_H,w_star_predicted,w_over_wstar_predicted,regime_predicted,w_delta_applied,w_over_wdelta_applied,regime_applied,FPR_Data_val,FPR_Concept_val,FPR_Concept_literal,n_alarm_Data_null,n_alarm_Concept_null,censored_Data,DetRate_Data,ADD_Data,MED_Data,SEM_Data,DetRate_Concept,ADD_Concept,MED_Concept,SEM_Concept,DetRate_Concept_literal,n_detected_Concept,realised_horizon_margin,horizon_cap_bound
39,1.9999999999999929,0.080000000000000002,0.73286140831609847,2.2634723117296285,5.1233069059666692,2,0.5,0.10000000000000001,0.25,2e5,200000,3000,400,400,400,264.17544587743316,16.000000000000028,10,128.6318525456397,457.35769794005068,0.085272425009258343,saturated,469.64523711543671,0.083041404272591338,saturated,0.044999999999999998,0.042500000000000003,1,18,17,0,1,208.66249999999999,194,5.1236095598395481,0.035000000000000003,91482.71428571429,79650.5,16659.650213809044,1,14,4.7622272489612181,True
64,1.9999999999999929,0.080000000000000002,0.73286140831609847,2.2634723117296285,5.1233069059666692,2,0.5,0.10000000000000001,0.25,2e5,200000,3000,400,400,400,264.17544587743316,16.000000000000028,10,128.6318525456397,457.35769794005068,0.13993423591262907,saturated,469.64523711543671,0.1362730736780986,saturated,0.044999999999999998,0.042500000000000003,1,18,17,0,1,222.16,210.5,5.1383794486584957,0.035000000000000003,91482.71428571429,79650.5,16659.650213809044,1,14,4.7622272489612181,True
107,1.9999999999999929,0.080000000000000002,0.73286140831609847,2.2634723117296285,5.1233069059666692,2,0.5,0.10000000000000001,0.25,2e5,200000,3000,400,400,400,264.17544587743316,16.000000000000028,10,128.6318525456397,457.35769794005068,0.23395255066642673,saturated,469.64523711543671,0.22783154505557113,saturated,0.044999999999999998,0.042500000000000003,1,18,17,0,1,248.24250000000001,234,5.1924802708129718,0.035000000000000003,91482.71428571429,79650.5,16659.650213809044,1,14,4.7622272489612181,True
177,1.9999999999999929,0.080000000000000002,0.73286140831609847,2.2634723117296285,5.1233069059666692,2,0.5,0.10000000000000001,0.25,2e5,200000,3000,400,400,400,264.17544587743316,16.000000000000028,10,128.6318525456397,457.35769794005068,0.38700562119586479,saturated,469.64523711543671,0.37688021939099148,saturated,0.044999999999999998,0.042500000000000003,1,18,17,0,1,291.41250000000002,281,5.2226858010813784,0.035000000000000003,91482.71428571429,79650.5,16659.650213809044,1,14,4.7622272489612181,True
294,1.9999999999999929,0.080000000000000002,0.73286140831609847,2.2634723117296285,5.1233069059666692,2,0.5,0.10000000000000001,0.25,2e5,200000,3000,400,400,400,264.17544587743316,16.000000000000028,10,128.6318525456397,457.35769794005068,0.64282289622363975,saturated,469.64523711543671,0.62600443220876545,saturated,0.044999999999999998,0.042500000000000003,1,18,17,0,1,363.20499999999998,349,5.1822494353828938,0.035000000000000003,91482.71428571429,79650.5,16659.650213809044,1,14,4.7622272489612181,True
489,1.9999999999999929,0.080000000000000002,0.73286140831609847,2.2634723117296285,5.1233069059666692,2,0.5,0.10000000000000001,0.25,2e5,200000,3000,400,400,400,264.17544587743316,16.000000000000028,10,128.6318525456397,457.35769794005068,1.0691850212699314,ramp,469.64523711543671,1.0412114535717223,ramp,0.044999999999999998,0.042500000000000003,1,18,17,0,1,474.7475,464,5.7093125667050177,0.035000000000000003,91482.71428571429,79650.5,16659.650213809044,1,14,4.7622272489612181,True
812,1.9999999999999929,0.080000000000000002,0.73286140831609847,2.2634723117296285,5.1233069059666692,2,0.5,0.10000000000000001,0.25,2e5,200000,3000,400,400,400,264.17544587743316,16.000000000000028,10,128.6318525456397,457.35769794005068,1.7754156181414813,ramp,469.64523711543671,1.7289646222908761,ramp,0.044999999999999998,0.042500000000000003,1,18,17,0,1,646.96249999999998,635.5,6.726371638776163,0.035000000000000003,91482.71428571429,79650.5,16659.650213809044,1,14,4.7622272489612181,True
1350,1.9999999999999929,0.080000000000000002,0.73286140831609847,2.2634723117296285,5.1233069059666692,2,0.5,0.10000000000000001,0.25,2e5,200000,3000,400,400,400,264.17544587743316,16.000000000000028,10,128.6318525456397,457.35769794005068,2.9517377887820193,ramp,469.64523711543671,2.8745101478973925,ramp,0.044999999999999998,0.042500000000000003,1,18,17,0,1,901.1875,885,8.4729020135194393,0.035000000000000003,91482.71428571429,79650.5,16659.650213809044,1,14,4.7622272489612181,True
2243,1.9999999999999929,0.080000000000000002,0.73286140831609847,2.2634723117296285,5.1233069059666692,2,0.5,0.10000000000000001,0.25,2e5,200000,3000,400,400,400,264.17544587743316,16.000000000000028,10,128.6318525456397,457.35769794005068,4.904257674250422,ramp,469.64523711543671,4.7759453790621125,ramp,0.044999999999999998,0.042500000000000003,1,18,17,0,1,1262.1800000000001,1255.5,11.158585442280831,0.035000000000000003,91482.71428571429,79650.5,16659.650213809044,1,14,4.7622272489612181,True
3727,1.9999999999999929,0.080000000000000002,0.73286140831609847,2.2634723117296285,5.1233069059666692,2,0.5,0.10000000000000001,0.25,2e5,200000,3000,400,400,400,264.17544587743316,16.000000000000028,10,128.6318525456397,457.35769794005068,8.1489827694745092,ramp,469.64523711543671,7.9357772749730238,ramp,0.044999999999999998,0.042500000000000003,1,18,17,0,1,1817.145,1788.5,16.789958433480262,0.035000000000000003,91482.71428571429,79650.5,16659.650213809044,1,14,4.7622272489612181,True
6193,1.9999999999999929,0.080000000000000002,0.73286140831609847,2.2634723117296285,5.1233069059666692,2,0.5,0.10000000000000001,0.25,2e5,200000,3000,400,400,400,264.17544587743316,16.000000000000028,10,128.6318525456397,457.35769794005068,13.540823796982998,ramp,469.64523711543671,13.186549145132261,ramp,0.044999999999999998,0.042500000000000003,1,18,17,0,1,2655.6975000000002,2616.5,25.977003083639069,0.035000000000000003,91482.71428571429,79650.5,16659.650213809044,1,14,4.7622272489612181,True
10291,1.9999999999999929,0.080000000000000002,0.73286140831609847,2.2634723117296285,5.1233069059666692,2,0.5,0.10000000000000001,0.25,2e5,200000,3000,400,400,400,264.17544587743316,16.000000000000028,10,128.6318525456397,457.35769794005068,22.500987840263527,ramp,469.64523711543671,21.912284394083013,ramp,0.044999999999999998,0.042500000000000003,1,18,17,0,1,3920.4575,3866.5,39.169859621158054,0.035000000000000003,91482.71428571429,79650.5,16659.650213809044,1,14,4.7622272489612181,True
77,3.9999999999416831,0.080000000000000002,0.84329230085937235,2.3105207325389308,5.3385060554922381,2,0.5,0.10000000000000001,0.25,2e5,200000,3000,400,400,400,507.21751661170555,16.000000000000028,10,128.6318525456397,914.71539586676874,0.084179188792417897,saturated,901.720029531921,0.085392358468482032,saturated,0.055,0.042500000000000003,1,22,17,0,1,411.36250000000001,383.5,11.044288388093342,0.035000000000000003,91482.71428571429,79650.5,16659.650213809044,1,14,4.7622272489612181,True
128,3.9999999999416831,0.080000000000000002,0.84329230085937235,2.3105207325389308,5.3385060554922381,2,0.5,0.10000000000000001,0.25,2e5,200000,3000,400,400,400,507.21751661170555,16.000000000000028,10,128.6318525456397,914.71539586676874,0.13993423591466872,saturated,901.720029531921,0.1419509335579961,saturated,0.055,0.042500000000000003,1,22,17,0,1,440.18000000000001,415,11.060298685729235,0.035000000000000003,91482.71428571429,79650.5,16659.650213809044,1,14,4.7622272489612181,True
