Gamma,alpha,beta,s_scale,dmu_std_target,delta_P,delta_C,mon_len,warmup,n_calib,n_val,n_drift,lambda_star_Data,lambda_star_Concept,lambda_C_literal,FPR_Data_val,FPR_Concept_val,FPR_Concept_literal,FPR_Concept_val_CI_low,FPR_Concept_val_CI_high,DetRate_Data,ADD_Data,SEM_Data,censored_Data,DetRate_Concept,DetRate_Concept_CI_low,DetRate_Concept_CI_high,ADD_Concept,SEM_Concept,DetRate_Concept_literal,n_detected_Concept,n_alarm_Concept_null,ratio_lam_star,FPR_rule_xGamma,FPR_rule_xSqrtGamma
1,0,0,2.2286762920749643,2,0.5,0.10000000000000001,5000,3000,400,400,400,52.386018279327587,11.400000000000022,10,0.057500000000000002,0.055,0.17000000000000001,0.03659849414955068,0.081867447807973226,1,37.659999999999997,0.98830809073158643,0,0.055,0.03659849414955068,0.081867447807973226,2242.9545454545455,308.66817300647415,0.14999999999999999,22,22,1,0.057500000000000002,0.057500000000000002
1.9999999999999929,0.080000000000000002,0.73286140831609847,2.2634723117296285,2,0.5,0.10000000000000001,5000,3000,400,400,400,79.252629157586995,11.400000000000022,10,0.070000000000000007,0.055,0.17000000000000001,0.03659849414955068,0.081867447807973226,1,60.259999999999998,2.2261981933309478,0,0.055,0.03659849414955068,0.081867447807973226,2242.9545454545455,308.66817300647415,0.14999999999999999,22,22,1.5128584259831297,0.02,0.092499999999999999
3.9999999999416831,0.080000000000000002,0.84329230085937235,2.3105207325389308,2,0.5,0.10000000000000001,5000,3000,400,400,400,159.04757885024253,11.400000000000022,10,0.050000000000000003,0.055,0.17000000000000001,0.03659849414955068,0.081867447807973226,1,124.5325,4.7367051627552446,0,0.055,0.03659849414955068,0.081867447807973226,2242.9545454545455,308.66817300647415,0.14999999999999999,22,22,3.0360692427926979,0.02,0.13
5.9999999999999947,0.080000000000000002,0.86754265399637998,2.3467607379259192,2,0.5,0.10000000000000001,5000,3000,400,400,400,222.72841016718456,11.400000000000022,10,0.050000000000000003,0.055,0.17000000000000001,0.03659849414955068,0.081867447807973226,1,181.28749999999999,7.1064445043289952,0,0.055,0.03659849414955068,0.081867447807973226,2242.9545454545455,308.66817300647415,0.14999999999999999,22,22,4.2516766397395198,0.017500000000000002,0.1525
7.9999999997588649,0.080000000000000002,0.87872564178299695,2.3766116087209559,2,0.5,0.10000000000000001,5000,3000,400,400,400,285.09865466755457,11.400000000000022,10,0.050000000000000003,0.055,0.17000000000000001,0.03659849414955068,0.081867447807973226,1,239.7525,9.6321641948768537,0,0.055,0.03659849414955068,0.081867447807973226,2242.9545454545455,308.66817300647415,0.14999999999999999,22,22,5.4422661624592177,0.017500000000000002,0.185
10.000000000000218,0.080000000000000002,0.8853297818041963,2.4021179271858966,2,0.5,0.10000000000000001,5000,3000,400,400,400,347.54780011627895,11.400000000000022,10,0.044999999999999998,0.055,0.17000000000000001,0.03659849414955068,0.081867447807973226,1,310.20749999999998,15.771845608365254,0,0.055,0.03659849414955068,0.081867447807973226,2242.9545454545455,308.66817300647415,0.14999999999999999,22,22,6.6343618303479124,0.02,0.19500000000000001
11.999999999586763,0.080000000000000002,0.88975940671075238,2.4244559990406351,2,0.5,0.10000000000000001,5000,3000,400,400,400,404.64961642354638,11.400000000000022,10,0.044999999999999998,0.055,0.17000000000000001,0.03659849414955068,0.081867447807973226,1,367.25749999999999,17.734506542052426,0,0.055,0.03659849414955068,0.081867447807973226,2242.9545454545455,308.66817300647415,0.14999999999999999,22,22,7.7243819957056745,0.02,0.20250000000000001
15.000000000000218,0.080000000000000002,0.89427458711045782,2.4535653663384593,2,0.5,0.10000000000000001,5000,3000,400,400,400,515.72690793098445,11.400000000000022,10,0.040000000000000001,0.055,0.17000000000000001,0.03659849414955068,0.081867447807973226,1,463.3725,21.928780469775422,0,0.055,0.03659849414955068,0.081867447807973226,2242.9545454545455,308.66817300647415,0.14999999999999999,22,22,9.8447434042624895,0.02,0.20999999999999999
17.999999999951111,0.080000000000000002,0.89737537678650992,2.478714588993769,2,0.5,0.10000000000000001,5000,3000,400,400,400,607.34503162796682,11.400000000000022,10,0.040000000000000001,0.055,0.17000000000000001,0.03659849414955068,0.081867447807973226,0.995,533.64824120603021,23.809770269175878,0.0050000000000000001,0.055,0.03659849414955068,0.081867447807973226,2242.9545454545455,308.66817300647415,0.14999999999999999,22,22,11.593647533766381,0.02,0.20499999999999999
20.999999998095124,0.080000000000000002,0.89966111285729056,2.5008566148099334,2,0.5,0.10000000000000001,5000,3000,400,400,400,664.08869553720683,11.400000000000022,10,0.050000000000000003,0.055,0.17000000000000001,0.03659849414955068,0.081867447807973226,0.99250000000000005,592.5188916876574,29.119548898607086,0.0074999999999999997,0.055,0.03659849414955068,0.081867447807973226,2242.9545454545455,308.66817300647415,0.14999999999999999,22,22,12.676830905456839,0.02,0.22
