H,Gamma,alpha,beta,n_streams,delta_P,target_fpr,lambda_iid_H,loglog_exponent_over_ladder
77000,1,0,0,400,0.5,0.050000000000000003,111.02513030242794,0.26281725076311879
200000,1,0,0,400,0.5,0.050000000000000003,128.6318525456397,0.26281725076311879
3000000,1,0,0,400,0.5,0.050000000000000003,282.536301764813,0.26281725076311879
