c,c_index,is_plotted_c,n_points_budget,r_budget_vs_lambda_boot,n_points_add,r_add_vs_lambda_boot
0.10000000000000001,0,0,8,-0.99074457284872397,10,0.92001420773458509
0.25,1,1,10,-0.9962104605839599,10,0.99306724311838668
0.5,2,0,10,-0.99115117092391625,10,0.99455067959833787
0.75,3,0,10,-0.98956605753854421,10,0.99607795816968348
1,4,0,10,-0.98757466436525598,10,0.99702815622138052
