nu,n_steps,n_streams,lags,reject_rate_squared,wilson_low_squared,wilson_high_squared,reject_rate_raw,wilson_low_raw,wilson_high_raw,contains_nominal_squared,contains_nominal_raw,pval_binom_squared,pval_binom_raw,slope_vs_log_n,slope_ci_low,slope_ci_high
5,2000,1000,20,0.080000000000000002,0.06474803809836388,0.098466439029502417,0.048000000000000001,0.036393301020807914,0.063066088650133925,False,True,5.8910622341236437e-05,0.82782991207042755,-0.002366651938401897,-0.0077362570599712466,0.0030029531831674526
5,8000,1000,20,0.087999999999999995,0.071980997942320851,0.10717225104977657,0.057000000000000002,0.044253440358715937,0.07313706765948591,False,True,4.5095675576850107e-07,0.30919044391488915,-0.002366651938401897,-0.0077362570599712466,0.0030029531831674526
5,32000,1000,20,0.065000000000000002,0.051323770569062045,0.082005509313370903,0.051999999999999998,0.039873036283777419,0.067555739319279981,False,True,0.03496985727714489,0.77137608836877369,-0.002366651938401897,-0.0077362570599712466,0.0030029531831674526
5,128000,1000,20,0.076999999999999999,0.062047907060605895,0.095189530618173729,0.041000000000000002,0.030364971082098315,0.055147993207641299,False,True,0.00026402584656473637,0.21685769249708742,-0.002366651938401897,-0.0077362570599712466,0.0030029531831674526
6,2000,1000,20,0.081000000000000003,0.065649621541200298,0.0995572020696949,0.052999999999999999,0.040746505248594522,0.068674616837491764,False,True,3.1329109230475696e-05,0.6629325141689989,-0.0035621047233356995,-0.0087563008238623705,0.0016320913771909716
6,8000,1000,20,0.079000000000000001,0.06384721576082919,0.097374914884008235,0.042999999999999997,0.032078653411713363,0.057419003844084014,False,True,8.2674465477675164e-05,0.34534882750488838,-0.0035621047233356995,-0.0087563008238623705,0.0016320913771909716
6,32000,1000,20,0.085000000000000006,0.069263318539654561,0.10391289100335621,0.032000000000000001,0.022757107858710962,0.044824738083768648,False,False,2.9147342508731886e-06,0.0071343937749724952,-0.0035621047233356995,-0.0087563008238623705,0.0016320913771909716
6,128000,1000,20,0.064000000000000001,0.050436200898229526,0.080900732501174535,0.049000000000000002,0.037261034647360615,0.064190701506610132,False,True,0.049583229695801048,0.94221201628589324,-0.0035621047233356995,-0.0087563008238623705,0.0016320913771909716
7,2000,1000,20,0.056000000000000001,0.043374813385442003,0.072023348149730965,0.045999999999999999,0.034662492763264982,0.06081220394161907,True,True,0.38336716742019472,0.61170237866562238,-0.0018345969687183126,-0.0062756134159833374,0.0026064194785467118
7,8000,1000,20,0.058000000000000003,0.045133278234998242,0.074249576266232506,0.057000000000000002,0.044253440358715937,0.07313706765948591,True,True,0.24521511704532784,0.30919044391488915,-0.0018345969687183126,-0.0062756134159833374,0.0026064194785467118
7,32000,1000,20,0.063,0.049549663211729086,0.079794923704646095,0.041000000000000002,0.030364971082098315,0.055147993207641299,True,True,0.069057625612437695,0.21685769249708742,-0.0018345969687183126,-0.0062756134159833374,0.0026064194785467118
7,128000,1000,20,0.047,0.035527105106384502,0.061939938081528451,0.042999999999999997,0.032078653411713363,0.057419003844084014,True,True,0.71695757945326766,0.34534882750488838,-0.0018345969687183126,-0.0062756134159833374,0.0026064194785467118
