Gamma,FPR_raw,FPR_sqrt,FPR_gamma
1.1739130434782608,0.040000000000000001,0.026666666666666668,0.02
6.4444444444444402,0.54333333333333333,0.15333333333333332,0.033333333333333333
11.888888888888962,0.68000000000000005,0.23666666666666666,0.040000000000000001
17.333333333333339,0.71666666666666667,0.27000000000000002,0.036666666666666667
22.777777777777651,0.74333333333333329,0.28000000000000003,0.036666666666666667
28.222222222222214,0.76333333333333331,0.28999999999999998,0.036666666666666667
33.666666666666899,0.77666666666666662,0.29666666666666669,0.036666666666666667
39.111111111111377,0.78333333333333333,0.29999999999999999,0.036666666666666667
44.555555555555131,0.79666666666666663,0.30666666666666664,0.033333333333333333
49.999999999999396,0.80000000000000004,0.30666666666666664,0.033333333333333333
59.999999999999659,0.80666666666666664,0.29999999999999999,0.033333333333333333
75.555555555556765,0.81666666666666665,0.31,0.033333333333333333
91.111111111108841,0.81666666666666665,0.30333333333333334,0.033333333333333333
106.6666666666668,0.82333333333333336,0.30333333333333334,0.033333333333333333
122.22222222222229,0.82666666666666666,0.30333333333333334,0.029999999999999999
137.77777777777555,0.82999999999999996,0.29999999999999999,0.026666666666666668
153.3333333333353,0.82999999999999996,0.28999999999999998,0.026666666666666668
168.88888888888508,0.83333333333333337,0.29333333333333333,0.026666666666666668
184.44444444444062,0.83333333333333337,0.29333333333333333,0.023333333333333334
199.99999999999488,0.83333333333333337,0.28999999999999998,0.023333333333333334
