Gamma,ADD_Data,SEM_Data,ADD_Concept,SEM_Concept
1.1739130434782608,39.399999999999999,0.83904707853612126,24,0
11.473684210526338,383.30000000000001,7.8892965465876612,24,0
21.947368421052467,728.20000000000005,17.939230752738535,24,0
32.421052631578888,1066.0999999999999,29.41579507679505,24,0
42.894736842105793,1405.7,40.197773570186691,24,0
53.368421052631376,1745.9000000000001,45.624434243067611,24,0
63.842105263158579,2080.5999999999999,54.858217251383586,24,0
74.315789473683211,2422.9000000000001,60.85449038485163,24,0
84.789473684211373,2776.4000000000001,65.607956834518177,24,0
95.263157894736082,3114.3000000000002,68.015887849825205,24,0
105.73684210526504,3463.5999999999999,78.150393473097751,24,0
116.21052631578722,3801.4000000000001,87.88392344450719,24,0
126.68421052631615,4143.3000000000002,96.364210161241928,24,0
137.15789473683955,4457.1999999999998,115.22506671727292,24,0
147.63157894736406,4811,123.55314645932737,24,0
158.10526315789355,5142.5,129.22493954341786,24,0
168.57894736841507,5458.8000000000002,146.03484515690081,24,0
179.05263157894476,5794.3000000000002,154.84101846732989,24,0
189.52631578947731,6124.8000000000002,171.33807516136045,24,0
199.99999999999488,6472,177.70981964990006,24,0
