Gamma,FPR_raw,FPR_recalib
1.1739130434782608,0.093333333333333338,0.053333333333333337
6.4444444444444402,0.65666666666666662,0.093333333333333338
11.888888888888962,0.78000000000000003,0.089999999999999997
17.333333333333339,0.81999999999999995,0.080000000000000002
22.777777777777651,0.84666666666666668,0.083333333333333329
28.222222222222214,0.85666666666666669,0.08666666666666667
33.666666666666899,0.85666666666666669,0.08666666666666667
39.111111111111377,0.85999999999999999,0.096666666666666665
44.555555555555131,0.85999999999999999,0.093333333333333338
49.999999999999396,0.86333333333333329,0.093333333333333338
59.999999999999659,0.86333333333333329,0.10333333333333333
75.555555555556765,0.86333333333333329,0.10333333333333333
91.111111111108841,0.8666666666666667,0.11
106.6666666666668,0.87,0.10666666666666667
122.22222222222229,0.86333333333333329,0.10666666666666667
137.77777777777555,0.86333333333333329,0.10666666666666667
153.3333333333353,0.86333333333333329,0.10666666666666667
168.88888888888508,0.85999999999999999,0.10333333333333333
184.44444444444062,0.85666666666666669,0.10333333333333333
199.99999999999488,0.85999999999999999,0.10333333333333333
