nu,f0_hat,c,lambda_Eco,lambda_Oracle,lambda_Concept,FPR_Eco,FPR_Oracle,FPR_Concept,ADD_Eco_L1,ADD_Oracle,ADD_Concept,DetRate_Eco_L1,DetRate_Oracle,DetRate_Concept,ratio,ratio_oracle,ratio_pred
3,0.63661977236758149,0.5,44.922830078124996,31.250968749999998,7.8134921874999996,0.049500000000000002,0.050999999999999997,0.051999999999999998,140.69076305220884,90.144499999999994,46.593499999999999,0.996,1,1,0.33117668131993605,0.51687568293129371,0.61685027506808465
4,0.53033008588991071,0.5,28.321284179687499,21.485353515625,8.7900537109374994,0.048000000000000001,0.049500000000000002,0.052999999999999999,101.46023011505753,70.998999999999995,63.128500000000003,0.99950000000000006,1,1,0.62219945616534944,0.88914632600459176,0.88888888888888873
4.5,0.50653221364139112,0.5,25.879880371093748,20.020511230468749,9.0341940917968735,0.052499999999999998,0.049000000000000002,0.051499999999999997,98.794499999999999,68.067499999999995,68.619,1,1,1,0.69456295643988275,1.0081022514415838,0.97437440731581215
5,0.4900701292638151,0.5,24.4150380859375,19.043949707031253,9.4004046630859364,0.050000000000000003,0.052499999999999998,0.048000000000000001,92.521500000000003,64.638999999999996,72.989000000000004,1,1,1,0.7888869073674768,1.1291789786351893,1.0409348391773936
7,0.45552802778699331,0.5,21.485353515625,18.067388183593749,9.8276503295898436,0.051499999999999997,0.050999999999999997,0.051499999999999997,84.794499999999999,64.861999999999995,83.592500000000001,1,1,1,0.98582455229997235,1.2887746292127904,1.2047856934923535
30,0.40951821744417399,0.5,20.508791992187501,18.067388183593749,10.743176757812499,0.049500000000000002,0.047500000000000001,0.050999999999999997,81.716499999999996,64.921999999999997,98.109499999999997,1,1,1,1.2006082003022644,1.5111903514987215,1.4907113440564062
