source,Gamma,horizon,N_streams,lambda_C,delta_C,alarms,FPR,CI_low,CI_high
garch,11.58,5000,40,10,0.10000000000000001,2,0.050000000000000003,0.013820667386148344,0.16503877369140962
bernoulli_iid,1,5000,40,10,0.10000000000000001,4,0.10000000000000001,0.039579528682606377,0.23051775227522298
