Gamma,arm,delta,lambda_star,FPR_achieved,CI_low,CI_high,n_bisection_iter,bisection_converged
1,Recalib,0.125,343.75065625000002,0.050000000000000003,0.013820667386148344,0.16503877369140962,5,True
1,Eco_L1,0.25,19.532230468750001,0.050000000000000003,0.013820667386148344,0.16503877369140962,8,True
1,Oracle_Eco,0.25,20.752932373046875,0.050000000000000003,0.013820667386148344,0.16503877369140962,12,True
1,Concept,0.097857898926720588,11.231457519531249,0.050000000000000003,0.013820667386148344,0.16503877369140962,11,True
11.58,Recalib,0.125,750.00025000000005,0.050000000000000003,0.013820667386148344,0.16503877369140962,2,True
11.58,Eco_L1,0.25,20.508791992187501,0.050000000000000003,0.013820667386148344,0.16503877369140962,10,True
11.58,Oracle_Eco,0.25,19.532230468750001,0.050000000000000003,0.013820667386148344,0.16503877369140962,8,True
11.58,Concept,0.097857898926720588,9.0341940917968735,0.050000000000000003,0.013820667386148344,0.16503877369140962,12,True
50,Recalib,0.125,3000.0002500000001,0.050000000000000003,0.013820667386148344,0.16503877369140962,2,True
50,Eco_L1,0.25,23.4384765625,0.050000000000000003,0.013820667386148344,0.16503877369140962,7,True
50,Oracle_Eco,0.25,18.555668945312501,0.050000000000000003,0.013820667386148344,0.16503877369140962,10,True
50,Concept,0.097857898926720588,11.719738281249999,0.050000000000000003,0.013820667386148344,0.16503877369140962,8,True
200,Recalib,0.125,875.00012500000003,0.050000000000000003,0.013820667386148344,0.16503877369140962,3,True
200,Eco_L1,0.25,23.4384765625,0.050000000000000003,0.013820667386148344,0.16503877369140962,7,True
200,Oracle_Eco,0.25,17.579107421875001,0.050000000000000003,0.013820667386148344,0.16503877369140962,9,True
200,Concept,0.097857898926720588,10.132825805664062,0.050000000000000003,0.013820667386148344,0.16503877369140962,13,True
