Gamma,detector,alarms,N_streams,FPR,CI_low,CI_high,threshold,iso_fpr_calibrated
1,CUSUM,1,40,0.025000000000000001,0.0044268315026814095,0.12881368963474091,19.532230468750001,True
1,ADWIN,0,40,0,0,0.087621601197286639,0.78991981436199621,False
11.58,CUSUM,9,40,0.22500000000000001,0.12316091323540743,0.37503096742310027,19.532230468750001,True
11.58,ADWIN,3,40,0.074999999999999997,0.025836025774588198,0.19864233524310543,0.78991981436199621,False
50,CUSUM,15,40,0.375,0.24222979167233266,0.52967560862698893,19.532230468750001,True
50,ADWIN,4,40,0.10000000000000001,0.039579528682606377,0.23051775227522298,0.78991981436199621,False
200,CUSUM,20,40,0.5,0.35199526933465386,0.64800473066534614,19.532230468750001,True
200,ADWIN,7,40,0.17499999999999999,0.087454137460359196,0.31949990331787714,0.78991981436199621,False
